createfood:blocks/apple_cheesecake | minecraft:block | createfood:apple_cheesecake createfood:apple_cheesecake_slice createfood:blocks/apple_cheesecake minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/plate_block | minecraft:block | createfood:blocks/plate_block minecraft:block minecraft:bowl minecraft:item minecraft:survives_explosion
createfood:blocks/pork_burrito_rice_plate_block | minecraft:block | createfood:blocks/pork_burrito_rice_plate_block createfood:pork_burrito_rice createfood:pork_burrito_rice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_meatball_sandwich_plate_block | minecraft:block | createfood:blocks/pork_meatball_sandwich_plate_block createfood:pork_meatball_sandwich createfood:pork_meatball_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_meatball_stick_3_plate_block | minecraft:block | createfood:blocks/pork_meatball_stick_3_plate_block createfood:pork_meatball_stick_3 createfood:pork_meatball_stick_3_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_stew_bowl_block | minecraft:block | createfood:blocks/pork_stew_bowl_block createfood:pork_stew_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/pork_taco_lettuce_plate_block | minecraft:block | createfood:blocks/pork_taco_lettuce_plate_block createfood:pork_taco_lettuce createfood:pork_taco_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_taco_lettuce_taco_sauce_plate_block | minecraft:block | createfood:blocks/pork_taco_lettuce_taco_sauce_plate_block createfood:pork_taco_lettuce_taco_sauce createfood:pork_taco_lettuce_taco_sauce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_taco_plate_block | minecraft:block | createfood:blocks/pork_taco_plate_block createfood:pork_taco createfood:pork_taco_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pork_wrap_onion_lettuce_plate_block | minecraft:block | createfood:blocks/pork_wrap_onion_lettuce_plate_block createfood:pork_wrap_onion_lettuce createfood:pork_wrap_onion_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/potato_chip_bowl_block | minecraft:block | createfood:blocks/potato_chip_bowl_block createfood:potato_chip_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/potato_cream_soup_bowl_block | minecraft:block | createfood:blocks/potato_cream_soup_bowl_block createfood:potato_cream_soup_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/potato_cream_soup_bowl_cheese_block | minecraft:block | createfood:blocks/potato_cream_soup_bowl_cheese_block createfood:potato_cream_soup_bowl_cheese_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/pumpkin_custard_bottle_block | minecraft:block | createfood:blocks/pumpkin_custard_bottle_block createfood:pumpkin_custard_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/pumpkin_pie_block | minecraft:block | createfood:blocks/pumpkin_pie_block createfood:pumpkin_pie_block createfood:pumpkin_pie_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/pumpkin_pie_plate_block | minecraft:block | createfood:blocks/pumpkin_pie_plate_block createfood:pumpkin_pie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/pumpkin_pie_slice_small_plate_block | minecraft:block | createfood:blocks/pumpkin_pie_slice_small_plate_block createfood:pumpkin_pie_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/pumpkin_puree_bottle_block | minecraft:block | createfood:blocks/pumpkin_puree_bottle_block createfood:pumpkin_puree_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/purple_gelatin_dessert_block | minecraft:block | createfood:blocks/purple_gelatin_dessert_block createfood:purple_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/purple_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/purple_gelatin_dessert_slice_plate_block createfood:purple_gelatin_dessert_slice createfood:purple_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_burrito_rice_plate_block | minecraft:block | createfood:blocks/rabbit_burrito_rice_plate_block createfood:rabbit_burrito_rice createfood:rabbit_burrito_rice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_calzone_plate_block | minecraft:block | createfood:blocks/rabbit_calzone_plate_block createfood:rabbit_calzone createfood:rabbit_calzone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_meatball_sandwich_plate_block | minecraft:block | createfood:blocks/rabbit_meatball_sandwich_plate_block createfood:rabbit_meatball_sandwich createfood:rabbit_meatball_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_meatball_stick_3_plate_block | minecraft:block | createfood:blocks/rabbit_meatball_stick_3_plate_block createfood:rabbit_meatball_stick_3 createfood:rabbit_meatball_stick_3_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_taco_lettuce_plate_block | minecraft:block | createfood:blocks/rabbit_taco_lettuce_plate_block createfood:rabbit_taco_lettuce createfood:rabbit_taco_lettuce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_taco_lettuce_taco_sauce_plate_block | minecraft:block | createfood:blocks/rabbit_taco_lettuce_taco_sauce_plate_block createfood:rabbit_taco_lettuce_taco_sauce createfood:rabbit_taco_lettuce_taco_sauce_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_taco_plate_block | minecraft:block | createfood:blocks/rabbit_taco_plate_block createfood:rabbit_taco createfood:rabbit_taco_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rabbit_wrap_onion_potato_plate_block | minecraft:block | createfood:blocks/rabbit_wrap_onion_potato_plate_block createfood:rabbit_wrap_onion_potato createfood:rabbit_wrap_onion_potato_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/ration_box | minecraft:block | createfood:blocks/ration_box minecraft:block
createfood:blocks/raw_apple_cheesecake | minecraft:block | createfood:blocks/raw_apple_cheesecake createfood:raw_apple_cheesecake minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_apple_pie | minecraft:block | createfood:blocks/raw_apple_pie createfood:raw_apple_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_bacon_pizza | minecraft:block | createfood:blocks/raw_bacon_pizza createfood:raw_bacon_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_berry_cheesecake | minecraft:block | createfood:blocks/raw_berry_cheesecake createfood:raw_berry_cheesecake minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_berry_pie | minecraft:block | createfood:blocks/raw_berry_pie createfood:raw_berry_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_cheese_pizza | minecraft:block | createfood:blocks/raw_cheese_pizza createfood:raw_cheese_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_cheesecake | minecraft:block | createfood:blocks/raw_cheesecake createfood:raw_cheesecake minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_chocolate_graham_cracker_pie_crust | minecraft:block | createfood:blocks/raw_chocolate_graham_cracker_pie_crust createfood:raw_chocolate_graham_cracker_pie_crust minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_chocolate_pie | minecraft:block | createfood:blocks/raw_chocolate_pie createfood:raw_chocolate_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_chocolate_pie_graham_cracker | minecraft:block | createfood:blocks/raw_chocolate_pie_graham_cracker createfood:raw_chocolate_pie_graham_cracker minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_chorus_fruit_cheesecake | minecraft:block | createfood:blocks/raw_chorus_fruit_cheesecake createfood:raw_chorus_fruit_cheesecake minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_chorus_fruit_pie | minecraft:block | createfood:blocks/raw_chorus_fruit_pie createfood:raw_chorus_fruit_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_cream_pie_chocolate_graham_cracker | minecraft:block | createfood:blocks/raw_cream_pie_chocolate_graham_cracker createfood:raw_cream_pie_chocolate_graham_cracker minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_cream_pie_graham_cracker | minecraft:block | createfood:blocks/raw_cream_pie_graham_cracker createfood:raw_cream_pie_graham_cracker minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_fish_bacon_pizza | minecraft:block | createfood:blocks/raw_fish_bacon_pizza createfood:raw_fish_bacon_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_fish_onion_pizza | minecraft:block | createfood:blocks/raw_fish_onion_pizza createfood:raw_fish_onion_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_fish_pizza | minecraft:block | createfood:blocks/raw_fish_pizza createfood:raw_fish_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_glow_berry_cheesecake | minecraft:block | createfood:blocks/raw_glow_berry_cheesecake createfood:raw_glow_berry_cheesecake minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_glow_berry_pie | minecraft:block | createfood:blocks/raw_glow_berry_pie createfood:raw_glow_berry_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_graham_cracker_pie_crust | minecraft:block | createfood:blocks/raw_graham_cracker_pie_crust createfood:raw_graham_cracker_pie_crust minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_meat_pie | minecraft:block | createfood:blocks/raw_meat_pie createfood:raw_meat_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_mushroom_bacon_pizza | minecraft:block | createfood:blocks/raw_mushroom_bacon_pizza createfood:raw_mushroom_bacon_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_mushroom_fish_pizza | minecraft:block | createfood:blocks/raw_mushroom_fish_pizza createfood:raw_mushroom_fish_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_mushroom_onion_pizza | minecraft:block | createfood:blocks/raw_mushroom_onion_pizza createfood:raw_mushroom_onion_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_mushroom_pizza | minecraft:block | createfood:blocks/raw_mushroom_pizza createfood:raw_mushroom_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_onion_bacon_pizza | minecraft:block | createfood:blocks/raw_onion_bacon_pizza createfood:raw_onion_bacon_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_onion_pizza | minecraft:block | createfood:blocks/raw_onion_pizza createfood:raw_onion_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_pie_crust | minecraft:block | createfood:blocks/raw_pie_crust createfood:raw_pie_crust minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_pumpkin_pie | minecraft:block | createfood:blocks/raw_pumpkin_pie createfood:raw_pumpkin_pie minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_sausage_bacon_pizza | minecraft:block | createfood:blocks/raw_sausage_bacon_pizza createfood:raw_sausage_bacon_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_sausage_fish_pizza | minecraft:block | createfood:blocks/raw_sausage_fish_pizza createfood:raw_sausage_fish_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_sausage_mushroom_pizza | minecraft:block | createfood:blocks/raw_sausage_mushroom_pizza createfood:raw_sausage_mushroom_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_sausage_onion_pizza | minecraft:block | createfood:blocks/raw_sausage_onion_pizza createfood:raw_sausage_onion_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/raw_sausage_pizza | minecraft:block | createfood:blocks/raw_sausage_pizza createfood:raw_sausage_pizza minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/red_gelatin_dessert_block | minecraft:block | createfood:blocks/red_gelatin_dessert_block createfood:red_gelatin_dessert_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/red_gelatin_dessert_slice_plate_block | minecraft:block | createfood:blocks/red_gelatin_dessert_slice_plate_block createfood:red_gelatin_dessert_slice createfood:red_gelatin_dessert_slice_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/rice_pudding_bowl_block | minecraft:block | createfood:blocks/rice_pudding_bowl_block createfood:rice_pudding_bowl_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sausage_bacon_pizza | minecraft:block | createfood:blocks/sausage_bacon_pizza createfood:sausage_bacon_pizza createfood:sausage_bacon_pizza_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/sausage_bacon_pizza_plate_block | minecraft:block | createfood:blocks/sausage_bacon_pizza_plate_block createfood:sausage_bacon_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_bacon_pizza_slice_small_plate_block | minecraft:block | createfood:blocks/sausage_bacon_pizza_slice_small_plate_block createfood:sausage_bacon_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sausage_biscuit_sandwich_bacon_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_bacon_plate_block createfood:sausage_biscuit_sandwich_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_cheese_bacon_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_cheese_bacon_plate_block createfood:sausage_biscuit_sandwich_cheese_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_cheese_fried_egg_bacon_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_cheese_fried_egg_bacon_plate_block createfood:sausage_biscuit_sandwich_cheese_fried_egg_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_cheese_fried_egg_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_cheese_fried_egg_plate_block createfood:sausage_biscuit_sandwich_cheese_fried_egg_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_cheese_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_cheese_plate_block createfood:sausage_biscuit_sandwich_cheese_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_fried_egg_bacon_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_fried_egg_bacon_plate_block createfood:sausage_biscuit_sandwich_fried_egg_bacon_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_fried_egg_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_fried_egg_plate_block createfood:sausage_biscuit_sandwich_fried_egg_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_biscuit_sandwich_plate_block | minecraft:block | createfood:blocks/sausage_biscuit_sandwich_plate_block createfood:sausage_biscuit_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_calzone_plate_block | minecraft:block | createfood:blocks/sausage_calzone_plate_block createfood:sausage_calzone createfood:sausage_calzone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_fish_pizza | minecraft:block | createfood:blocks/sausage_fish_pizza createfood:sausage_fish_pizza createfood:sausage_fish_pizza_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/sausage_fish_pizza_plate_block | minecraft:block | createfood:blocks/sausage_fish_pizza_plate_block createfood:sausage_fish_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_fish_pizza_slice_small_plate_block | minecraft:block | createfood:blocks/sausage_fish_pizza_slice_small_plate_block createfood:sausage_fish_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sausage_mushroom_pizza | minecraft:block | createfood:blocks/sausage_mushroom_pizza createfood:sausage_mushroom_pizza createfood:sausage_mushroom_pizza_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/sausage_mushroom_pizza_plate_block | minecraft:block | createfood:blocks/sausage_mushroom_pizza_plate_block createfood:sausage_mushroom_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_mushroom_pizza_slice_small_plate_block | minecraft:block | createfood:blocks/sausage_mushroom_pizza_slice_small_plate_block createfood:sausage_mushroom_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sausage_onion_pizza | minecraft:block | createfood:blocks/sausage_onion_pizza createfood:sausage_onion_pizza createfood:sausage_onion_pizza_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/sausage_onion_pizza_plate_block | minecraft:block | createfood:blocks/sausage_onion_pizza_plate_block createfood:sausage_onion_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_onion_pizza_slice_small_plate_block | minecraft:block | createfood:blocks/sausage_onion_pizza_slice_small_plate_block createfood:sausage_onion_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sausage_pizza | minecraft:block | createfood:blocks/sausage_pizza createfood:sausage_pizza createfood:sausage_pizza_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/sausage_pizza_plate_block | minecraft:block | createfood:blocks/sausage_pizza_plate_block createfood:sausage_pizza_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sausage_pizza_slice_small_plate_block | minecraft:block | createfood:blocks/sausage_pizza_slice_small_plate_block createfood:sausage_pizza_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_apple_jam_plate_block | minecraft:block | createfood:blocks/scone_apple_jam_plate_block createfood:scone_apple_jam createfood:scone_apple_jam_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_apple_jam_small_plate_block | minecraft:block | createfood:blocks/scone_apple_jam_small_plate_block createfood:scone_apple_jam_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_berry_jam_plate_block | minecraft:block | createfood:blocks/scone_berry_jam_plate_block createfood:scone_berry_jam createfood:scone_berry_jam_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_berry_jam_small_plate_block | minecraft:block | createfood:blocks/scone_berry_jam_small_plate_block createfood:scone_berry_jam_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_chorus_fruit_jam_plate_block | minecraft:block | createfood:blocks/scone_chorus_fruit_jam_plate_block createfood:scone_chorus_fruit_jam createfood:scone_chorus_fruit_jam_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_chorus_fruit_jam_small_plate_block | minecraft:block | createfood:blocks/scone_chorus_fruit_jam_small_plate_block createfood:scone_chorus_fruit_jam_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_glow_berry_jam_plate_block | minecraft:block | createfood:blocks/scone_glow_berry_jam_plate_block createfood:scone_glow_berry_jam createfood:scone_glow_berry_jam_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_glow_berry_jam_small_plate_block | minecraft:block | createfood:blocks/scone_glow_berry_jam_small_plate_block createfood:scone_glow_berry_jam_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_melon_jam_plate_block | minecraft:block | createfood:blocks/scone_melon_jam_plate_block createfood:scone_melon_jam createfood:scone_melon_jam_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_melon_jam_small_plate_block | minecraft:block | createfood:blocks/scone_melon_jam_small_plate_block createfood:scone_melon_jam_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scone_plate_block | minecraft:block | createfood:blocks/scone_plate_block createfood:scone createfood:scone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scone_small_plate_block | minecraft:block | createfood:blocks/scone_small_plate_block createfood:scone_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_egg_sandwich_plate_block | minecraft:block | createfood:blocks/scrambled_egg_sandwich_plate_block createfood:scrambled_egg_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/scrambled_eggs_plate_bacon_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_bacon_block createfood:scrambled_eggs_plate_bacon_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_block createfood:scrambled_eggs_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_cheese_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_cheese_block createfood:scrambled_eggs_plate_cheese_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_mushroom_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_mushroom_block createfood:scrambled_eggs_plate_mushroom_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_onion_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_onion_block createfood:scrambled_eggs_plate_onion_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_sausage_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_sausage_block createfood:scrambled_eggs_plate_sausage_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/scrambled_eggs_plate_tomato_block | minecraft:block | createfood:blocks/scrambled_eggs_plate_tomato_block createfood:scrambled_eggs_plate_tomato_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/small_plate_block | minecraft:block | createfood:blocks/small_plate_block minecraft:block minecraft:bowl minecraft:item minecraft:survives_explosion
createfood:blocks/smore_plate_block | minecraft:block | createfood:blocks/smore_plate_block createfood:smore_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/smores_pie | minecraft:block | createfood:blocks/smores_pie createfood:smores_pie createfood:smores_pie_slice minecraft:block minecraft:block_state_property minecraft:inverted minecraft:item minecraft:match_tool minecraft:survives_explosion
createfood:blocks/smores_pie_plate_block | minecraft:block | createfood:blocks/smores_pie_plate_block createfood:smores_pie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/smores_pie_slice_small_plate_block | minecraft:block | createfood:blocks/smores_pie_slice_small_plate_block createfood:smores_pie_slice_small_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sour_cream_bottle_block | minecraft:block | createfood:blocks/sour_cream_bottle_block createfood:sour_cream_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/strider_meatball_sandwich_plate_block | minecraft:block | createfood:blocks/strider_meatball_sandwich_plate_block createfood:strider_meatball_sandwich createfood:strider_meatball_sandwich_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/strider_meatball_stick_3_plate_block | minecraft:block | createfood:blocks/strider_meatball_stick_3_plate_block createfood:strider_meatball_stick_3 createfood:strider_meatball_stick_3_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/sugar_cane_juice_bottle_block | minecraft:block | createfood:blocks/sugar_cane_juice_bottle_block createfood:sugar_cane_juice_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/sweet_roll_base_plate_block | minecraft:block | createfood:blocks/sweet_roll_base_plate_block createfood:sweet_roll_base createfood:sweet_roll_base_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/taco_sauce_bottle_block | minecraft:block | createfood:blocks/taco_sauce_bottle_block createfood:taco_sauce_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/toast_fried_egg_plate_block | minecraft:block | createfood:blocks/toast_fried_egg_plate_block createfood:toast_fried_egg_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/toast_plate_block | minecraft:block | createfood:blocks/toast_plate_block createfood:toast_plate_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/toffee_chip_chocolate_cookie_plate_block | minecraft:block | createfood:blocks/toffee_chip_chocolate_cookie_plate_block createfood:toffee_chip_chocolate_cookie createfood:toffee_chip_chocolate_cookie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/toffee_chip_chocolate_milkshake_bottle_block | minecraft:block | createfood:blocks/toffee_chip_chocolate_milkshake_bottle_block createfood:toffee_chip_chocolate_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/toffee_chip_cookie_plate_block | minecraft:block | createfood:blocks/toffee_chip_cookie_plate_block createfood:toffee_chip_cookie createfood:toffee_chip_cookie_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/toffee_chip_ice_cream_cone_plate_block | minecraft:block | createfood:blocks/toffee_chip_ice_cream_cone_plate_block createfood:toffee_chip_ice_cream_cone createfood:toffee_chip_ice_cream_cone_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/toffee_chip_milkshake_bottle_block | minecraft:block | createfood:blocks/toffee_chip_milkshake_bottle_block createfood:toffee_chip_milkshake_bottle_block minecraft:block minecraft:item minecraft:survives_explosion
createfood:blocks/toffee_chip_mini_waffle_plate_block | minecraft:block | createfood:blocks/toffee_chip_mini_waffle_plate_block createfood:toffee_chip_mini_waffle createfood:toffee_chip_mini_waffle_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
createfood:blocks/toffee_chip_muffin_plate_block | minecraft:block | createfood:blocks/toffee_chip_muffin_plate_block createfood:toffee_chip_muffin createfood:toffee_chip_muffin_plate_block minecraft:block minecraft:block_state_property minecraft:bowl minecraft:inverted minecraft:item
