quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/polished_tuff_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/polished_tuff_vertical_slab quark:polished_tuff_vertical_slab
quark:blocks/potato_crate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/potato_crate quark:potato_crate
quark:blocks/potted_ancient_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:ancient_sapling quark:blocks/potted_ancient_sapling
quark:blocks/potted_beetroot | minecraft:block | minecraft:beetroot_seeds minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_beetroot
quark:blocks/potted_berries | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:sweet_berries quark:blocks/potted_berries
quark:blocks/potted_blue_blossom_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_blue_blossom_sapling quark:blue_blossom_sapling
quark:blocks/potted_carrot | minecraft:block | minecraft:block minecraft:carrot minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_carrot
quark:blocks/potted_cave_vines | minecraft:block | minecraft:block minecraft:flower_pot minecraft:glow_berries minecraft:item minecraft:survives_explosion quark:blocks/potted_cave_vines
quark:blocks/potted_chorus | minecraft:block | minecraft:block minecraft:chorus_flower minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_chorus
quark:blocks/potted_chorus_twist | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_chorus_twist quark:chorus_twist
quark:blocks/potted_chorus_weeds | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_chorus_weeds quark:chorus_weeds
quark:blocks/potted_cocoa_bean | minecraft:block | minecraft:block minecraft:cocoa_beans minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_cocoa_bean
quark:blocks/potted_glow_lichen_growth | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_glow_lichen_growth quark:glow_lichen_growth
quark:blocks/potted_glow_shroom | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_glow_shroom quark:glow_shroom
quark:blocks/potted_large_fern | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:large_fern minecraft:survives_explosion quark:blocks/potted_large_fern
quark:blocks/potted_lavender_blossom_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_lavender_blossom_sapling quark:lavender_blossom_sapling
quark:blocks/potted_lilac | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:lilac minecraft:survives_explosion quark:blocks/potted_lilac
quark:blocks/potted_melon | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:melon_seeds minecraft:survives_explosion quark:blocks/potted_melon
quark:blocks/potted_nether_sprouts | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:nether_sprouts minecraft:survives_explosion quark:blocks/potted_nether_sprouts
quark:blocks/potted_nether_wart | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:nether_wart minecraft:survives_explosion quark:blocks/potted_nether_wart
quark:blocks/potted_orange_blossom_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_orange_blossom_sapling quark:orange_blossom_sapling
quark:blocks/potted_peony | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:peony minecraft:survives_explosion quark:blocks/potted_peony
quark:blocks/potted_pitcher_plant | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:pitcher_plant minecraft:survives_explosion quark:blocks/potted_pitcher_plant
quark:blocks/potted_potato | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:potato minecraft:survives_explosion quark:blocks/potted_potato
quark:blocks/potted_pumpkin | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:pumpkin_seeds minecraft:survives_explosion quark:blocks/potted_pumpkin
quark:blocks/potted_red_blossom_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_red_blossom_sapling quark:red_blossom_sapling
quark:blocks/potted_rose | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:rose_bush minecraft:survives_explosion quark:blocks/potted_rose
quark:blocks/potted_sea_pickle | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:sea_pickle minecraft:survives_explosion quark:blocks/potted_sea_pickle
quark:blocks/potted_short_grass | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:short_grass minecraft:survives_explosion quark:blocks/potted_short_grass
quark:blocks/potted_sugar_cane | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:sugar_cane minecraft:survives_explosion quark:blocks/potted_sugar_cane
quark:blocks/potted_sunflower | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:sunflower minecraft:survives_explosion quark:blocks/potted_sunflower
quark:blocks/potted_tall_grass | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:tall_grass quark:blocks/potted_tall_grass
quark:blocks/potted_twisting_vines | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:twisting_vines quark:blocks/potted_twisting_vines
quark:blocks/potted_vine | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:vine quark:blocks/potted_vine
quark:blocks/potted_weeping_vines | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:weeping_vines quark:blocks/potted_weeping_vines
quark:blocks/potted_wheat | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion minecraft:wheat_seeds quark:blocks/potted_wheat
quark:blocks/potted_yellow_blossom_sapling | minecraft:block | minecraft:block minecraft:flower_pot minecraft:item minecraft:survives_explosion quark:blocks/potted_yellow_blossom_sapling quark:yellow_blossom_sapling
quark:blocks/prismarine_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/prismarine_brick_vertical_slab quark:prismarine_brick_vertical_slab
quark:blocks/prismarine_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/prismarine_chest quark:prismarine_chest
quark:blocks/prismarine_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/prismarine_vertical_slab quark:prismarine_vertical_slab
quark:blocks/purple_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purple_framed_glass quark:purple_framed_glass
quark:blocks/purple_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purple_framed_glass_pane quark:purple_framed_glass_pane
quark:blocks/purple_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purple_shingles quark:purple_shingles
quark:blocks/purple_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/purple_shingles_slab quark:purple_shingles_slab
quark:blocks/purple_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purple_shingles_stairs quark:purple_shingles_stairs
quark:blocks/purple_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/purple_shingles_vertical_slab quark:purple_shingles_vertical_slab
quark:blocks/purple_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purple_stool quark:purple_stool
quark:blocks/purpur_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/purpur_chest quark:purpur_chest
quark:blocks/purpur_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/purpur_vertical_slab quark:purpur_vertical_slab
quark:blocks/quartz_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/quartz_vertical_slab quark:quartz_vertical_slab
quark:blocks/raw_copper_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_copper_bricks quark:raw_copper_bricks
quark:blocks/raw_copper_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_copper_bricks_slab quark:raw_copper_bricks_slab
quark:blocks/raw_copper_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_copper_bricks_stairs quark:raw_copper_bricks_stairs
quark:blocks/raw_copper_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_copper_bricks_vertical_slab quark:raw_copper_bricks_vertical_slab
quark:blocks/raw_copper_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_copper_bricks_wall quark:raw_copper_bricks_wall
quark:blocks/raw_gold_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_gold_bricks quark:raw_gold_bricks
quark:blocks/raw_gold_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_gold_bricks_slab quark:raw_gold_bricks_slab
quark:blocks/raw_gold_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_gold_bricks_stairs quark:raw_gold_bricks_stairs
quark:blocks/raw_gold_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_gold_bricks_vertical_slab quark:raw_gold_bricks_vertical_slab
quark:blocks/raw_gold_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_gold_bricks_wall quark:raw_gold_bricks_wall
quark:blocks/raw_iron_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_iron_bricks quark:raw_iron_bricks
quark:blocks/raw_iron_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_iron_bricks_slab quark:raw_iron_bricks_slab
quark:blocks/raw_iron_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_iron_bricks_stairs quark:raw_iron_bricks_stairs
quark:blocks/raw_iron_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/raw_iron_bricks_vertical_slab quark:raw_iron_bricks_vertical_slab
quark:blocks/raw_iron_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/raw_iron_bricks_wall quark:raw_iron_bricks_wall
quark:blocks/red_blossom_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_blossom_hedge quark:red_blossom_hedge
quark:blocks/red_blossom_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_blossom_leaf_carpet quark:red_blossom_leaf_carpet
quark:blocks/red_blossom_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blocks/red_blossom_leaves quark:red_blossom_leaves quark:red_blossom_sapling
quark:blocks/red_blossom_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_blossom_sapling quark:red_blossom_sapling
quark:blocks/red_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_corundum quark:red_corundum
quark:blocks/red_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_corundum_cluster quark:red_corundum_cluster
quark:blocks/red_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/red_corundum_pane quark:red_corundum_pane
quark:blocks/red_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_crystal_lamp quark:red_crystal_lamp
quark:blocks/red_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_framed_glass quark:red_framed_glass
quark:blocks/red_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_framed_glass_pane quark:red_framed_glass_pane
quark:blocks/red_nether_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_nether_brick_vertical_slab quark:red_nether_brick_vertical_slab
quark:blocks/red_sandstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_sandstone_bricks quark:red_sandstone_bricks
quark:blocks/red_sandstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_sandstone_bricks_slab quark:red_sandstone_bricks_slab
quark:blocks/red_sandstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_sandstone_bricks_stairs quark:red_sandstone_bricks_stairs
quark:blocks/red_sandstone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_sandstone_bricks_vertical_slab quark:red_sandstone_bricks_vertical_slab
quark:blocks/red_sandstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_sandstone_bricks_wall quark:red_sandstone_bricks_wall
quark:blocks/red_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_sandstone_vertical_slab quark:red_sandstone_vertical_slab
quark:blocks/red_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_shingles quark:red_shingles
quark:blocks/red_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_shingles_slab quark:red_shingles_slab
quark:blocks/red_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_shingles_stairs quark:red_shingles_stairs
quark:blocks/red_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/red_shingles_vertical_slab quark:red_shingles_vertical_slab
quark:blocks/red_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/red_stool quark:red_stool
quark:blocks/redstone_randomizer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/redstone_randomizer quark:redstone_randomizer
quark:blocks/rope | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/rope quark:rope
quark:blocks/rusty_iron_plate | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/rusty_iron_plate quark:rusty_iron_plate
quark:blocks/rusty_iron_plate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/rusty_iron_plate_slab quark:rusty_iron_plate_slab
quark:blocks/rusty_iron_plate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/rusty_iron_plate_stairs quark:rusty_iron_plate_stairs
quark:blocks/rusty_iron_plate_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/rusty_iron_plate_vertical_slab quark:rusty_iron_plate_vertical_slab
quark:blocks/sandstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/sandstone_bricks quark:sandstone_bricks
quark:blocks/sandstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/sandstone_bricks_slab quark:sandstone_bricks_slab
quark:blocks/sandstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/sandstone_bricks_stairs quark:sandstone_bricks_stairs
quark:blocks/sandstone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/sandstone_bricks_vertical_slab quark:sandstone_bricks_vertical_slab
quark:blocks/sandstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/sandstone_bricks_wall quark:sandstone_bricks_wall
quark:blocks/sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/sandstone_vertical_slab quark:sandstone_vertical_slab
quark:blocks/shale | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale quark:shale
quark:blocks/shale_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_bricks quark:shale_bricks
quark:blocks/shale_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shale_bricks_slab quark:shale_bricks_slab
quark:blocks/shale_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_bricks_stairs quark:shale_bricks_stairs
quark:blocks/shale_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shale_bricks_vertical_slab quark:shale_bricks_vertical_slab
quark:blocks/shale_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_bricks_wall quark:shale_bricks_wall
quark:blocks/shale_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_pillar quark:shale_pillar
quark:blocks/shale_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shale_slab quark:shale_slab
quark:blocks/shale_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_stairs quark:shale_stairs
quark:blocks/shale_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shale_vertical_slab quark:shale_vertical_slab
quark:blocks/shale_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shale_wall quark:shale_wall
quark:blocks/shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shingles quark:shingles
quark:blocks/shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shingles_slab quark:shingles_slab
quark:blocks/shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/shingles_stairs quark:shingles_stairs
quark:blocks/shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/shingles_vertical_slab quark:shingles_vertical_slab
quark:blocks/smooth_quartz_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_quartz_vertical_slab quark:smooth_quartz_vertical_slab
quark:blocks/smooth_red_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_red_sandstone_vertical_slab quark:smooth_red_sandstone_vertical_slab
quark:blocks/smooth_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_sandstone_vertical_slab quark:smooth_sandstone_vertical_slab
quark:blocks/smooth_soul_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/smooth_soul_sandstone quark:smooth_soul_sandstone
quark:blocks/smooth_soul_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_soul_sandstone_slab quark:smooth_soul_sandstone_slab
quark:blocks/smooth_soul_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/smooth_soul_sandstone_stairs quark:smooth_soul_sandstone_stairs
quark:blocks/smooth_soul_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_soul_sandstone_vertical_slab quark:smooth_soul_sandstone_vertical_slab
quark:blocks/smooth_stone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/smooth_stone_vertical_slab quark:smooth_stone_vertical_slab
quark:blocks/soul_sandstone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone quark:soul_sandstone
quark:blocks/soul_sandstone_bricks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone_bricks quark:soul_sandstone_bricks
quark:blocks/soul_sandstone_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/soul_sandstone_bricks_slab quark:soul_sandstone_bricks_slab
quark:blocks/soul_sandstone_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone_bricks_stairs quark:soul_sandstone_bricks_stairs
quark:blocks/soul_sandstone_bricks_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/soul_sandstone_bricks_vertical_slab quark:soul_sandstone_bricks_vertical_slab
quark:blocks/soul_sandstone_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone_bricks_wall quark:soul_sandstone_bricks_wall
quark:blocks/soul_sandstone_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/soul_sandstone_slab quark:soul_sandstone_slab
quark:blocks/soul_sandstone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone_stairs quark:soul_sandstone_stairs
quark:blocks/soul_sandstone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/soul_sandstone_vertical_slab quark:soul_sandstone_vertical_slab
quark:blocks/soul_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/soul_sandstone_wall quark:soul_sandstone_wall
quark:blocks/spruce_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/spruce_bookshelf quark:spruce_bookshelf
quark:blocks/spruce_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/spruce_chest quark:spruce_chest
quark:blocks/spruce_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/spruce_hedge quark:spruce_hedge
quark:blocks/spruce_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/spruce_ladder quark:spruce_ladder
quark:blocks/spruce_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/spruce_leaf_carpet quark:spruce_leaf_carpet
quark:blocks/spruce_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/spruce_post quark:spruce_post
quark:blocks/spruce_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/spruce_vertical_slab quark:spruce_vertical_slab
quark:blocks/stick_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stick_block quark:stick_block
quark:blocks/stone_brick_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stone_brick_lamp quark:stone_brick_lamp
quark:blocks/stone_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/stone_brick_vertical_slab quark:stone_brick_vertical_slab
quark:blocks/stone_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stone_lamp quark:stone_lamp
quark:blocks/stone_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/stone_vertical_slab quark:stone_vertical_slab
quark:blocks/stripped_acacia_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_acacia_post quark:stripped_acacia_post
quark:blocks/stripped_ancient_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_ancient_log quark:stripped_ancient_log
quark:blocks/stripped_ancient_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_ancient_post quark:stripped_ancient_post
quark:blocks/stripped_ancient_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_ancient_wood quark:stripped_ancient_wood
quark:blocks/stripped_azalea_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_azalea_log quark:stripped_azalea_log
quark:blocks/stripped_azalea_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_azalea_post quark:stripped_azalea_post
quark:blocks/stripped_azalea_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_azalea_wood quark:stripped_azalea_wood
quark:blocks/stripped_bamboo_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_bamboo_post quark:stripped_bamboo_post
quark:blocks/stripped_birch_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_birch_post quark:stripped_birch_post
quark:blocks/stripped_blossom_log | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_blossom_log quark:stripped_blossom_log
quark:blocks/stripped_blossom_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_blossom_post quark:stripped_blossom_post
quark:blocks/stripped_blossom_wood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_blossom_wood quark:stripped_blossom_wood
quark:blocks/stripped_cherry_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_cherry_post quark:stripped_cherry_post
quark:blocks/stripped_crimson_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_crimson_post quark:stripped_crimson_post
quark:blocks/stripped_dark_oak_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_dark_oak_post quark:stripped_dark_oak_post
quark:blocks/stripped_jungle_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_jungle_post quark:stripped_jungle_post
quark:blocks/stripped_mangrove_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_mangrove_post quark:stripped_mangrove_post
