extradelight:blocks/acacia_counter_cabinet | minecraft:block | extradelight:acacia_counter_cabinet extradelight:blocks/acacia_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_light_gray_wallpaper extradelight:jungle_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_lime_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_lime_wallpaper extradelight:jungle_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_magenta_wallpaper extradelight:jungle_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_orange_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_orange_wallpaper extradelight:jungle_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_pink_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_pink_wallpaper extradelight:jungle_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_purple_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_purple_wallpaper extradelight:jungle_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_red_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_red_wallpaper extradelight:jungle_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_white_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_white_wallpaper extradelight:jungle_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/jungle_molded_yellow_wallpaper extradelight:jungle_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_sink | minecraft:block | extradelight:blocks/jungle_sink extradelight:jungle_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_spice_rack | minecraft:block | extradelight:blocks/jungle_spice_rack extradelight:jungle_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_spice_rack_full | minecraft:block | extradelight:blocks/jungle_spice_rack_full extradelight:jungle_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_step_stool | minecraft:block | extradelight:blocks/jungle_step_stool extradelight:jungle_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/jungle_wreath | minecraft:block | extradelight:blocks/jungle_wreath extradelight:jungle_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/keg_block | minecraft:block | extradelight:blocks/keg_block extradelight:keg_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/key_lime_pie | minecraft:block | extradelight:blocks/key_lime_pie minecraft:block
extradelight:blocks/kyiv_cake | minecraft:block | extradelight:blocks/kyiv_cake minecraft:block
extradelight:blocks/lamb_stew_block | minecraft:block | extradelight:blocks/lamb_stew_block extradelight:lamb_stew_block extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/lasagna_block | minecraft:block | extradelight:blocks/lasagna_block extradelight:lasagna_block extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/lemon_crate | minecraft:block | extradelight:blocks/lemon_crate extradelight:lemon_crate_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lemon_cucumber_cake | minecraft:block | extradelight:blocks/lemon_cucumber_cake minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lemon_leaves | minecraft:block | extradelight:blocks/lemon_leaves extradelight:lemon extradelight:lemon_leaves extradelight:lemon_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/lemon_meringue_pie | minecraft:block | extradelight:blocks/lemon_meringue_pie minecraft:block
extradelight:blocks/lemon_petal_litter | minecraft:block | extradelight:blocks/lemon_petal_litter extradelight:lemon_petal_litter_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lemon_sapling | minecraft:block | extradelight:blocks/lemon_sapling extradelight:lemon_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lemon_wreath | minecraft:block | extradelight:blocks/lemon_wreath extradelight:lemon_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lemonade_tray | minecraft:block | extradelight:blocks/lemonade_tray extradelight:lemonade_tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:glass_bottle minecraft:item
extradelight:blocks/lid | minecraft:block | extradelight:blocks/lid minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/light_blue_chocolate_box | minecraft:block | extradelight:blocks/light_blue_chocolate_box extradelight:light_blue_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/light_blue_frosted_gingerbread_block | minecraft:block | extradelight:blocks/light_blue_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/light_blue_picnic_basket | minecraft:block | extradelight:blocks/light_blue_picnic_basket extradelight:light_blue_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/light_gray_chocolate_box | minecraft:block | extradelight:blocks/light_gray_chocolate_box extradelight:light_gray_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/light_gray_frosted_gingerbread_block | minecraft:block | extradelight:blocks/light_gray_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/light_gray_picnic_basket | minecraft:block | extradelight:blocks/light_gray_picnic_basket extradelight:light_gray_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_chocolate_box | minecraft:block | extradelight:blocks/lime_chocolate_box extradelight:lime_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_crate | minecraft:block | extradelight:blocks/lime_crate extradelight:lime_crate_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_frosted_gingerbread_block | minecraft:block | extradelight:blocks/lime_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_leaves | minecraft:block | extradelight:blocks/lime_leaves extradelight:lime extradelight:lime_leaves extradelight:lime_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/lime_petal_litter | minecraft:block | extradelight:blocks/lime_petal_litter extradelight:lime_petal_litter_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_picnic_basket | minecraft:block | extradelight:blocks/lime_picnic_basket extradelight:lime_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_sapling | minecraft:block | extradelight:blocks/lime_sapling extradelight:lime_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/lime_wreath | minecraft:block | extradelight:blocks/lime_wreath extradelight:lime_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/limeade_tray | minecraft:block | extradelight:blocks/limeade_tray extradelight:limeade_tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:glass_bottle minecraft:item
extradelight:blocks/loaf_pan | minecraft:block | extradelight:blocks/loaf_pan minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/macaroni_cheese_block | minecraft:block | extradelight:blocks/macaroni_cheese_block extradelight:macaroni_cheese_block extradelight:serving_pot minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/magenta_chocolate_box | minecraft:block | extradelight:blocks/magenta_chocolate_box extradelight:magenta_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/magenta_frosted_gingerbread_block | minecraft:block | extradelight:blocks/magenta_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/magenta_picnic_basket | minecraft:block | extradelight:blocks/magenta_picnic_basket extradelight:magenta_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/mallow_powder_sack | minecraft:block | extradelight:blocks/mallow_powder_sack extradelight:mallow_powder_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mallow_root_crate | minecraft:block | extradelight:blocks/mallow_root_crate extradelight:mallow_root_crate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mallow_root_crop | minecraft:block | extradelight:blocks/mallow_root_crop extradelight:mallow_root extradelight:mallow_root_crop minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/mangrove_counter_cabinet | minecraft:block | extradelight:blocks/mangrove_counter_cabinet extradelight:mangrove_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_dried_corn_fence | minecraft:block | extradelight:blocks/mangrove_dried_corn_fence extradelight:mangrove_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_food_display | minecraft:block | extradelight:blocks/mangrove_food_display extradelight:mangrove_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_half_cabinet | minecraft:block | extradelight:blocks/mangrove_half_cabinet extradelight:mangrove_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_knife_block | minecraft:block | extradelight:blocks/mangrove_knife_block extradelight:mangrove_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_black_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_black_wallpaper extradelight:mangrove_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_blue_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_blue_wallpaper extradelight:mangrove_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_brown_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_brown_wallpaper extradelight:mangrove_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_cyan_wallpaper extradelight:mangrove_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_gray_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_gray_wallpaper extradelight:mangrove_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_green_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_green_wallpaper extradelight:mangrove_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_light_blue_wallpaper extradelight:mangrove_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_light_gray_wallpaper extradelight:mangrove_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_lime_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_lime_wallpaper extradelight:mangrove_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_magenta_wallpaper extradelight:mangrove_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_orange_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_orange_wallpaper extradelight:mangrove_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_pink_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_pink_wallpaper extradelight:mangrove_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_purple_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_purple_wallpaper extradelight:mangrove_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_red_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_red_wallpaper extradelight:mangrove_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_white_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_white_wallpaper extradelight:mangrove_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/mangrove_molded_yellow_wallpaper extradelight:mangrove_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_sink | minecraft:block | extradelight:blocks/mangrove_sink extradelight:mangrove_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_spice_rack | minecraft:block | extradelight:blocks/mangrove_spice_rack extradelight:mangrove_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_spice_rack_full | minecraft:block | extradelight:blocks/mangrove_spice_rack_full extradelight:mangrove_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_step_stool | minecraft:block | extradelight:blocks/mangrove_step_stool extradelight:mangrove_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mangrove_wreath | minecraft:block | extradelight:blocks/mangrove_wreath extradelight:mangrove_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/marshmallow_block | minecraft:block | extradelight:blocks/marshmallow_block extradelight:marshmallow_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/marshmallow_slice | minecraft:block | extradelight:blocks/marshmallow_slice extradelight:marshmallow_slice extradelight:square_pan minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/mashed_potato_gravy_block | minecraft:block | extradelight:blocks/mashed_potato_gravy_block extradelight:mashed_potato_gravy_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/meat_pie | minecraft:block | extradelight:blocks/meat_pie minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/meatloaf_block | minecraft:block | extradelight:blocks/meatloaf_block extradelight:meatloaf_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/melon_fruit_salad | minecraft:block | extradelight:blocks/melon_fruit_salad extradelight:melon_fruit_salad extradelight:melon_rind minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/melon_layer_cake | minecraft:block | extradelight:blocks/melon_layer_cake minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/melting_pot | minecraft:block | extradelight:blocks/melting_pot extradelight:melting_pot minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_block | minecraft:block | extradelight:blocks/milk_chocolate_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_door | minecraft:block | extradelight:blocks/milk_chocolate_door extradelight:milk_chocolate_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_fence | minecraft:block | extradelight:blocks/milk_chocolate_fence extradelight:milk_chocolate_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_fence_gate | minecraft:block | extradelight:blocks/milk_chocolate_fence_gate extradelight:milk_chocolate_fence_gate minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_fondue | minecraft:block | extradelight:blocks/milk_chocolate_fondue extradelight:milk_chocolate_fondue minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bucket minecraft:item
extradelight:blocks/milk_chocolate_pillar | minecraft:block | extradelight:blocks/milk_chocolate_pillar extradelight:milk_chocolate_pillar minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_slab | minecraft:block | extradelight:blocks/milk_chocolate_slab extradelight:milk_chocolate_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
extradelight:blocks/milk_chocolate_stairs | minecraft:block | extradelight:blocks/milk_chocolate_stairs extradelight:milk_chocolate_stairs minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_chocolate_trapdoor | minecraft:block | extradelight:blocks/milk_chocolate_trapdoor extradelight:milk_chocolate_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/milk_tart | minecraft:block | extradelight:blocks/milk_tart minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mint_crop | minecraft:block | extradelight:blocks/mint_crop extradelight:mint minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mint_lamb | minecraft:block | extradelight:blocks/mint_lamb extradelight:mint_lamb minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:bowl minecraft:item
extradelight:blocks/mint_sack | minecraft:block | extradelight:blocks/mint_sack extradelight:mint_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mississippi_mud_pie | minecraft:block | extradelight:blocks/mississippi_mud_pie minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/mixing_bowl | minecraft:block | extradelight:blocks/mixing_bowl minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/monkey_bread | minecraft:block | extradelight:blocks/monkey_bread extradelight:monkey_bread minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/mortar_stone | minecraft:block | extradelight:blocks/mortar_stone minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/muffin_tray | minecraft:block | extradelight:blocks/muffin_tray minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/nut_butter_cookie_block | minecraft:block | extradelight:blocks/nut_butter_cookie_block extradelight:nut_butter_cookie_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_counter_cabinet | minecraft:block | extradelight:blocks/oak_counter_cabinet extradelight:oak_counter_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_dried_corn_fence | minecraft:block | extradelight:blocks/oak_dried_corn_fence extradelight:oak_dried_corn_fence minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_food_display | minecraft:block | extradelight:blocks/oak_food_display extradelight:oak_food_display minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_half_cabinet | minecraft:block | extradelight:blocks/oak_half_cabinet extradelight:oak_half_cabinet minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_knife_block | minecraft:block | extradelight:blocks/oak_knife_block extradelight:oak_knife_block minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_black_wallpaper | minecraft:block | extradelight:blocks/oak_molded_black_wallpaper extradelight:oak_molded_black_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_blue_wallpaper | minecraft:block | extradelight:blocks/oak_molded_blue_wallpaper extradelight:oak_molded_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_brown_wallpaper | minecraft:block | extradelight:blocks/oak_molded_brown_wallpaper extradelight:oak_molded_brown_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_cyan_wallpaper | minecraft:block | extradelight:blocks/oak_molded_cyan_wallpaper extradelight:oak_molded_cyan_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_gray_wallpaper | minecraft:block | extradelight:blocks/oak_molded_gray_wallpaper extradelight:oak_molded_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_green_wallpaper | minecraft:block | extradelight:blocks/oak_molded_green_wallpaper extradelight:oak_molded_green_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_light_blue_wallpaper | minecraft:block | extradelight:blocks/oak_molded_light_blue_wallpaper extradelight:oak_molded_light_blue_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_light_gray_wallpaper | minecraft:block | extradelight:blocks/oak_molded_light_gray_wallpaper extradelight:oak_molded_light_gray_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_lime_wallpaper | minecraft:block | extradelight:blocks/oak_molded_lime_wallpaper extradelight:oak_molded_lime_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_magenta_wallpaper | minecraft:block | extradelight:blocks/oak_molded_magenta_wallpaper extradelight:oak_molded_magenta_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_orange_wallpaper | minecraft:block | extradelight:blocks/oak_molded_orange_wallpaper extradelight:oak_molded_orange_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_pink_wallpaper | minecraft:block | extradelight:blocks/oak_molded_pink_wallpaper extradelight:oak_molded_pink_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_purple_wallpaper | minecraft:block | extradelight:blocks/oak_molded_purple_wallpaper extradelight:oak_molded_purple_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_red_wallpaper | minecraft:block | extradelight:blocks/oak_molded_red_wallpaper extradelight:oak_molded_red_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_white_wallpaper | minecraft:block | extradelight:blocks/oak_molded_white_wallpaper extradelight:oak_molded_white_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_molded_yellow_wallpaper | minecraft:block | extradelight:blocks/oak_molded_yellow_wallpaper extradelight:oak_molded_yellow_wallpaper minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_sink | minecraft:block | extradelight:blocks/oak_sink extradelight:oak_sink minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_spice_rack | minecraft:block | extradelight:blocks/oak_spice_rack extradelight:oak_spice_rack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_spice_rack_full | minecraft:block | extradelight:blocks/oak_spice_rack_full extradelight:oak_spice_rack_full minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_step_stool | minecraft:block | extradelight:blocks/oak_step_stool extradelight:oak_step_stool minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/oak_wreath | minecraft:block | extradelight:blocks/oak_wreath extradelight:oak_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_chocolate_box | minecraft:block | extradelight:blocks/orange_chocolate_box extradelight:orange_chocolate_box minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_crate | minecraft:block | extradelight:blocks/orange_crate extradelight:orange_crate_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_frosted_gingerbread_block | minecraft:block | extradelight:blocks/orange_frosted_gingerbread_block minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_leaves | minecraft:block | extradelight:blocks/orange_leaves extradelight:orange extradelight:orange_leaves extradelight:orange_sapling minecraft:alternatives minecraft:any_of minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform
extradelight:blocks/orange_petal_litter | minecraft:block | extradelight:blocks/orange_petal_litter extradelight:orange_petal_litter_item minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_picnic_basket | minecraft:block | extradelight:blocks/orange_picnic_basket extradelight:orange_picnic_basket minecraft:block minecraft:container minecraft:copy_components minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_sapling | minecraft:block | extradelight:blocks/orange_sapling extradelight:orange_sapling minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orange_wreath | minecraft:block | extradelight:blocks/orange_wreath extradelight:orange_wreath minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/orangeade_tray | minecraft:block | extradelight:blocks/orangeade_tray extradelight:orangeade_tray minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:glass_bottle minecraft:item
extradelight:blocks/oven | minecraft:block | extradelight:blocks/oven extradelight:oven minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/panforte | minecraft:block | extradelight:blocks/panforte minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/pavlova | minecraft:block | extradelight:blocks/pavlova minecraft:block
extradelight:blocks/peanut_crop | minecraft:block | extradelight:blocks/peanut_crop extradelight:peanut_crop extradelight:peanuts extradelight:peanuts_in_shell minecraft:alternatives minecraft:apply_bonus minecraft:binomial_with_bonus_count minecraft:block minecraft:block_state_property minecraft:fortune minecraft:item minecraft:uniform
extradelight:blocks/peanut_in_shell_sack | minecraft:block | extradelight:blocks/peanut_in_shell_sack extradelight:peanut_in_shell_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/peanut_sack | minecraft:block | extradelight:blocks/peanut_sack extradelight:peanut_sack minecraft:block minecraft:item minecraft:survives_explosion
extradelight:blocks/pickled_beets_block | minecraft:block | extradelight:blocks/pickled_beets_block extradelight:pickle_juice extradelight:pickled_beets_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/pickled_carrots_block | minecraft:block | extradelight:blocks/pickled_carrots_block extradelight:pickle_juice extradelight:pickled_carrots_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/pickled_eggs_block | minecraft:block | extradelight:blocks/pickled_eggs_block extradelight:pickle_juice extradelight:pickled_eggs_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/pickled_fish_block | minecraft:block | extradelight:blocks/pickled_fish_block extradelight:pickle_juice extradelight:pickled_fish_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/pickled_ginger_block | minecraft:block | extradelight:blocks/pickled_ginger_block extradelight:pickle_juice extradelight:pickled_ginger_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
extradelight:blocks/pickled_onions_block | minecraft:block | extradelight:blocks/pickled_onions_block extradelight:pickle_juice extradelight:pickled_onions_block minecraft:air minecraft:alternatives minecraft:block minecraft:block_state_property minecraft:item
