more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/magma_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magma_block_stairs
more_slabs_stairs_and_walls:blocks/magma_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:magma_block_wall
more_slabs_stairs_and_walls:blocks/mangrove_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mangrove_leaves_slab
more_slabs_stairs_and_walls:blocks/mangrove_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_leaves_stairs
more_slabs_stairs_and_walls:blocks/mangrove_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_leaves_wall
more_slabs_stairs_and_walls:blocks/mangrove_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mangrove_log_slab
more_slabs_stairs_and_walls:blocks/mangrove_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_log_stairs
more_slabs_stairs_and_walls:blocks/mangrove_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_log_wall
more_slabs_stairs_and_walls:blocks/mangrove_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_planks_wall
more_slabs_stairs_and_walls:blocks/mangrove_roots_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mangrove_roots_slab
more_slabs_stairs_and_walls:blocks/mangrove_roots_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_roots_stairs
more_slabs_stairs_and_walls:blocks/mangrove_roots_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_roots_wall
more_slabs_stairs_and_walls:blocks/mangrove_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mangrove_wood_slab
more_slabs_stairs_and_walls:blocks/mangrove_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_wood_stairs
more_slabs_stairs_and_walls:blocks/mangrove_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mangrove_wood_wall
more_slabs_stairs_and_walls:blocks/melon_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:melon_slab
more_slabs_stairs_and_walls:blocks/melon_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:melon_stairs
more_slabs_stairs_and_walls:blocks/melon_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:melon_wall
more_slabs_stairs_and_walls:blocks/moss_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:moss_block_slab
more_slabs_stairs_and_walls:blocks/moss_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:moss_block_stairs
more_slabs_stairs_and_walls:blocks/moss_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:moss_block_wall
more_slabs_stairs_and_walls:blocks/mud_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mud_slab
more_slabs_stairs_and_walls:blocks/mud_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mud_stairs
more_slabs_stairs_and_walls:blocks/mud_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mud_wall
more_slabs_stairs_and_walls:blocks/muddy_mangrove_roots_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:muddy_mangrove_roots_slab
more_slabs_stairs_and_walls:blocks/muddy_mangrove_roots_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:muddy_mangrove_roots_stairs
more_slabs_stairs_and_walls:blocks/muddy_mangrove_roots_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:muddy_mangrove_roots_wall
more_slabs_stairs_and_walls:blocks/mushroom_stem_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:mushroom_stem_slab
more_slabs_stairs_and_walls:blocks/mushroom_stem_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mushroom_stem_stairs
more_slabs_stairs_and_walls:blocks/mushroom_stem_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:mushroom_stem_wall
more_slabs_stairs_and_walls:blocks/mycelium_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:blocks/mycelium_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:blocks/mycelium_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:blocks/netherite_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:netherite_block_slab
more_slabs_stairs_and_walls:blocks/netherite_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:netherite_block_stairs
more_slabs_stairs_and_walls:blocks/netherite_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:netherite_block_wall
more_slabs_stairs_and_walls:blocks/netherrack_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:netherrack_slab
more_slabs_stairs_and_walls:blocks/netherrack_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:netherrack_stairs
more_slabs_stairs_and_walls:blocks/netherrack_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:netherrack_wall
more_slabs_stairs_and_walls:blocks/oak_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oak_leaves_slab
more_slabs_stairs_and_walls:blocks/oak_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_leaves_stairs
more_slabs_stairs_and_walls:blocks/oak_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_leaves_wall
more_slabs_stairs_and_walls:blocks/oak_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oak_log_slab
more_slabs_stairs_and_walls:blocks/oak_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_log_stairs
more_slabs_stairs_and_walls:blocks/oak_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_log_wall
more_slabs_stairs_and_walls:blocks/oak_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_planks_wall
more_slabs_stairs_and_walls:blocks/oak_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oak_wood_slab
more_slabs_stairs_and_walls:blocks/oak_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_wood_stairs
more_slabs_stairs_and_walls:blocks/oak_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oak_wood_wall
more_slabs_stairs_and_walls:blocks/obsidian_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:obsidian_slab
more_slabs_stairs_and_walls:blocks/obsidian_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:obsidian_stairs
more_slabs_stairs_and_walls:blocks/obsidian_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:obsidian_wall
more_slabs_stairs_and_walls:blocks/ochre_froglight_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:ochre_froglight_slab
more_slabs_stairs_and_walls:blocks/ochre_froglight_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:ochre_froglight_stairs
more_slabs_stairs_and_walls:blocks/ochre_froglight_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:ochre_froglight_wall
more_slabs_stairs_and_walls:blocks/orange_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/orange_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/orange_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/orange_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_concrete_slab
more_slabs_stairs_and_walls:blocks/orange_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_concrete_stairs
more_slabs_stairs_and_walls:blocks/orange_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_concrete_wall
more_slabs_stairs_and_walls:blocks/orange_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/orange_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/orange_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/orange_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_stained_glass_slab
more_slabs_stairs_and_walls:blocks/orange_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/orange_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_stained_glass_wall
more_slabs_stairs_and_walls:blocks/orange_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_terracotta_slab
more_slabs_stairs_and_walls:blocks/orange_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_terracotta_stairs
more_slabs_stairs_and_walls:blocks/orange_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_terracotta_wall
more_slabs_stairs_and_walls:blocks/orange_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:orange_wool_slab
more_slabs_stairs_and_walls:blocks/orange_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_wool_stairs
more_slabs_stairs_and_walls:blocks/orange_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:orange_wool_wall
more_slabs_stairs_and_walls:blocks/oxidized_chiseled_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oxidized_chiseled_copper_slab
more_slabs_stairs_and_walls:blocks/oxidized_chiseled_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_chiseled_copper_stairs
more_slabs_stairs_and_walls:blocks/oxidized_chiseled_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_chiseled_copper_wall
more_slabs_stairs_and_walls:blocks/oxidized_copper_grate_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oxidized_copper_grate_slab
more_slabs_stairs_and_walls:blocks/oxidized_copper_grate_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_copper_grate_stairs
more_slabs_stairs_and_walls:blocks/oxidized_copper_grate_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_copper_grate_wall
more_slabs_stairs_and_walls:blocks/oxidized_copper_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:oxidized_copper_slab
more_slabs_stairs_and_walls:blocks/oxidized_copper_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_copper_stairs
more_slabs_stairs_and_walls:blocks/oxidized_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_copper_wall
more_slabs_stairs_and_walls:blocks/oxidized_cut_copper_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:oxidized_cut_copper_wall
more_slabs_stairs_and_walls:blocks/packed_ice_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:packed_ice_slab
more_slabs_stairs_and_walls:blocks/packed_ice_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:packed_ice_stairs
more_slabs_stairs_and_walls:blocks/packed_ice_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:packed_ice_wall
more_slabs_stairs_and_walls:blocks/packed_mud_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:packed_mud_slab
more_slabs_stairs_and_walls:blocks/packed_mud_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:packed_mud_stairs
more_slabs_stairs_and_walls:blocks/packed_mud_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:packed_mud_wall
more_slabs_stairs_and_walls:blocks/pearlescent_froglight_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pearlescent_froglight_slab
more_slabs_stairs_and_walls:blocks/pearlescent_froglight_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pearlescent_froglight_stairs
more_slabs_stairs_and_walls:blocks/pearlescent_froglight_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pearlescent_froglight_wall
more_slabs_stairs_and_walls:blocks/pink_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/pink_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/pink_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/pink_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_concrete_slab
more_slabs_stairs_and_walls:blocks/pink_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_concrete_stairs
more_slabs_stairs_and_walls:blocks/pink_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_concrete_wall
more_slabs_stairs_and_walls:blocks/pink_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/pink_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/pink_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/pink_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_stained_glass_slab
more_slabs_stairs_and_walls:blocks/pink_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/pink_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_stained_glass_wall
more_slabs_stairs_and_walls:blocks/pink_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_terracotta_slab
more_slabs_stairs_and_walls:blocks/pink_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_terracotta_stairs
more_slabs_stairs_and_walls:blocks/pink_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_terracotta_wall
more_slabs_stairs_and_walls:blocks/pink_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pink_wool_slab
more_slabs_stairs_and_walls:blocks/pink_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_wool_stairs
more_slabs_stairs_and_walls:blocks/pink_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pink_wool_wall
more_slabs_stairs_and_walls:blocks/podzol_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:dirt_slab
more_slabs_stairs_and_walls:blocks/podzol_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_stairs
more_slabs_stairs_and_walls:blocks/podzol_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:dirt_wall
more_slabs_stairs_and_walls:blocks/polished_andesite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:polished_andesite_wall
more_slabs_stairs_and_walls:blocks/polished_basalt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:polished_basalt_slab
more_slabs_stairs_and_walls:blocks/polished_basalt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:polished_basalt_stairs
more_slabs_stairs_and_walls:blocks/polished_basalt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:polished_basalt_wall
more_slabs_stairs_and_walls:blocks/polished_diorite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:polished_diorite_wall
more_slabs_stairs_and_walls:blocks/polished_granite_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:polished_granite_wall
more_slabs_stairs_and_walls:blocks/prismarine_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:prismarine_bricks_wall
more_slabs_stairs_and_walls:blocks/pumpkin_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:pumpkin_slab
more_slabs_stairs_and_walls:blocks/pumpkin_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pumpkin_stairs
more_slabs_stairs_and_walls:blocks/pumpkin_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:pumpkin_wall
more_slabs_stairs_and_walls:blocks/purple_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/purple_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/purple_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/purple_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_concrete_slab
more_slabs_stairs_and_walls:blocks/purple_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_concrete_stairs
more_slabs_stairs_and_walls:blocks/purple_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_concrete_wall
more_slabs_stairs_and_walls:blocks/purple_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/purple_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/purple_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/purple_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_stained_glass_slab
more_slabs_stairs_and_walls:blocks/purple_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/purple_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_stained_glass_wall
more_slabs_stairs_and_walls:blocks/purple_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_terracotta_slab
more_slabs_stairs_and_walls:blocks/purple_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_terracotta_stairs
more_slabs_stairs_and_walls:blocks/purple_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_terracotta_wall
more_slabs_stairs_and_walls:blocks/purple_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:purple_wool_slab
more_slabs_stairs_and_walls:blocks/purple_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_wool_stairs
more_slabs_stairs_and_walls:blocks/purple_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purple_wool_wall
more_slabs_stairs_and_walls:blocks/purpur_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:purpur_wall
more_slabs_stairs_and_walls:blocks/quartz_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:quartz_block_wall
more_slabs_stairs_and_walls:blocks/quartz_bricks_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:quartz_bricks_slab
more_slabs_stairs_and_walls:blocks/quartz_bricks_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:quartz_bricks_stairs
more_slabs_stairs_and_walls:blocks/quartz_bricks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:quartz_bricks_wall
more_slabs_stairs_and_walls:blocks/quartz_pillar_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:quartz_pillar_slab
more_slabs_stairs_and_walls:blocks/quartz_pillar_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:quartz_pillar_stairs
more_slabs_stairs_and_walls:blocks/quartz_pillar_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:quartz_pillar_wall
more_slabs_stairs_and_walls:blocks/raw_copper_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:raw_copper_block_slab
more_slabs_stairs_and_walls:blocks/raw_copper_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_copper_block_stairs
more_slabs_stairs_and_walls:blocks/raw_copper_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_copper_block_wall
