minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
nova_structures:maps/stray_fort | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:loot_modifier nova_structures:stray_fort
nova_structures:maps/toxic_lair | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:loot_modifier nova_structures:toxic_lair
nova_structures:maps/trident_trial_monument | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:loot_modifier nova_structures:trident_trial_monument
nova_structures:maps/undead_crypt | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:loot_modifier nova_structures:undead_crypt
nova_structures:maps/witch_villa | minecraft:chest | minecraft:chest minecraft:exploration_map minecraft:item minecraft:map minecraft:reference minecraft:set_components minecraft:uniform nova_structures:loot_modifier nova_structures:witch_villa
nova_structures:mob/empty | minecraft:entity | minecraft:entity
nova_structures:mob/piglin_brute_donjon | minecraft:entity | minecraft:empty minecraft:entities/piglin_brute minecraft:entity minecraft:loot_table minecraft:reference nova_structures:keys/piglin_donjon_key nova_structures:loot_modifier
nova_structures:mob/piglin_brute_outstation | minecraft:entity | minecraft:empty minecraft:entities/piglin_brute minecraft:entity minecraft:loot_table minecraft:reference nova_structures:keys/piglin_outstation_key nova_structures:loot_modifier
nova_structures:mob/spider_boss | minecraft:entity | minecraft:cobweb minecraft:enchanted_count_increase minecraft:entities/cave_spider minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:reference minecraft:set_count minecraft:spider_eye minecraft:string minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/end_castle/pot_end_castle | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:beetroot_seeds minecraft:black_dye minecraft:blaze_powder minecraft:chest minecraft:chorus_fruit minecraft:diamond minecraft:emerald minecraft:emerald_block minecraft:end_stone minecraft:ender_eye minecraft:ender_pearl minecraft:ghast_tear minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:magenta_dye minecraft:name_tag minecraft:obsidian minecraft:pearlescent_froglight minecraft:phantom_membrane minecraft:potion minecraft:purple_dye minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/end_castle_key nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/levitation_potion nova_structures:special_items/nausea_arrow
nova_structures:pots/lone_citadel/c_pot | minecraft:chest | minecraft:arrow minecraft:blue_ice minecraft:chest minecraft:cooked_rabbit minecraft:cooked_salmon minecraft:diamond minecraft:emerald minecraft:gold_ingot minecraft:gold_nugget minecraft:healing minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:name_tag minecraft:packed_ice minecraft:potion minecraft:rabbit_hide minecraft:reference minecraft:set_count minecraft:set_potion minecraft:snowball minecraft:stone_bricks minecraft:uniform minecraft:wind_charge nova_structures:loot_modifier
nova_structures:pots/pot_badland_miner_outpost | minecraft:chest | minecraft:chest minecraft:coal minecraft:cobblestone minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_nugget minecraft:gunpowder minecraft:healing minecraft:item minecraft:lapis_lazuli minecraft:potion minecraft:raw_gold minecraft:raw_iron minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:stick minecraft:tnt minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_basic | minecraft:chest | minecraft:arrow minecraft:book minecraft:chest minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:healing minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_bunker | ? | minecraft:apple minecraft:arrow minecraft:bone_meal minecraft:bread minecraft:carrot minecraft:coal minecraft:cobblestone minecraft:cooked_cod minecraft:copper_ingot minecraft:emerald minecraft:empty minecraft:ender_pearl minecraft:feather minecraft:flint minecraft:gold_ingot minecraft:gunpowder minecraft:healing minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:poisonous_potato minecraft:potato minecraft:potion minecraft:redstone minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:stick minecraft:stone_bricks minecraft:string minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_conduit_ruin | minecraft:chest | minecraft:chest minecraft:cooked_cod minecraft:cooked_salmon minecraft:copper_ingot minecraft:cyan_dye minecraft:diamond minecraft:emerald minecraft:empty minecraft:gameplay/fishing/fish minecraft:gameplay/fishing/junk minecraft:gameplay/fishing/treasure minecraft:glow_ink_sac minecraft:gravel minecraft:healing minecraft:ink_sac minecraft:item minecraft:loot_table minecraft:nautilus_shell minecraft:orange_dye minecraft:potion minecraft:prismarine_crystals minecraft:prismarine_shard minecraft:raw_copper minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_creeping_crypt | minecraft:chest | minecraft:black_dye minecraft:bone minecraft:bone_meal minecraft:chest minecraft:cobweb minecraft:creeper_head minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_nugget minecraft:green_dye minecraft:gunpowder minecraft:healing minecraft:iron_nugget minecraft:item minecraft:lime_dye minecraft:moss_block minecraft:potion minecraft:redstone minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:tnt minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_desert_ruin | minecraft:chest | minecraft:arrow minecraft:bone minecraft:book minecraft:chest minecraft:cooked_cod minecraft:cooked_rabbit minecraft:diamond minecraft:dried_kelp minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:gold_ingot minecraft:green_dye minecraft:gunpowder minecraft:healing minecraft:honeycomb minecraft:item minecraft:lapis_lazuli minecraft:poisonous_potato minecraft:potion minecraft:red_sand minecraft:reference minecraft:sand minecraft:sea_pickle minecraft:set_count minecraft:set_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_generic_ruin | minecraft:chest | minecraft:apple minecraft:arrow minecraft:baked_potato minecraft:book minecraft:bread minecraft:chest minecraft:coal minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:flint minecraft:gold_nugget minecraft:gunpowder minecraft:healing minecraft:honey_bottle minecraft:iron_ingot minecraft:item minecraft:lead minecraft:name_tag minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:stick minecraft:uniform minecraft:wheat_seeds nova_structures:loot_modifier
nova_structures:pots/pot_illager_camp | minecraft:chest | minecraft:apple minecraft:arrow minecraft:beetroot minecraft:bread minecraft:chest minecraft:emerald minecraft:empty minecraft:feather minecraft:flint minecraft:healing minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:stick minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_illager_hideout | minecraft:chest | minecraft:apple minecraft:arrow minecraft:beetroot minecraft:chest minecraft:coal minecraft:diamond minecraft:emerald minecraft:empty minecraft:glowstone minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:gunpowder minecraft:healing minecraft:iron_ingot minecraft:iron_nugget minecraft:item minecraft:lapis_lazuli minecraft:potion minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_illager_manor | minecraft:chest | minecraft:amethyst_shard minecraft:apple minecraft:arrow minecraft:beetroot minecraft:blue_dye minecraft:chest minecraft:coal minecraft:cookie minecraft:cyan_dye minecraft:emerald minecraft:empty minecraft:glowstone minecraft:gunpowder minecraft:healing minecraft:item minecraft:lapis_lazuli minecraft:light_blue_dye minecraft:name_tag minecraft:potion minecraft:pumpkin_pie minecraft:red_dye minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_jungle_ruin | minecraft:chest | minecraft:arrow minecraft:bone minecraft:book minecraft:chest minecraft:cookie minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:gold_nugget minecraft:healing minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:poison minecraft:potato minecraft:potion minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:skeleton_skull minecraft:tipped_arrow minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_nether_skeleton | minecraft:chest | minecraft:blaze_powder minecraft:bone minecraft:chest minecraft:coal minecraft:empty minecraft:fire_charge minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:gunpowder minecraft:healing minecraft:item minecraft:nether_wart minecraft:potion minecraft:quartz minecraft:reference minecraft:set_count minecraft:set_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_piglin | minecraft:chest | minecraft:chest minecraft:coal minecraft:cooked_porkchop minecraft:crimson_fungus minecraft:empty minecraft:glowstone_dust minecraft:gold_ingot minecraft:gold_nugget minecraft:golden_apple minecraft:golden_carrot minecraft:gunpowder minecraft:healing minecraft:item minecraft:porkchop minecraft:potion minecraft:quartz minecraft:reference minecraft:set_count minecraft:set_potion minecraft:uniform minecraft:warped_fungus nova_structures:loot_modifier
nova_structures:pots/pot_stray_fort | minecraft:chest | minecraft:arrow minecraft:blue_ice minecraft:bone minecraft:chest minecraft:emerald minecraft:empty minecraft:feather minecraft:flint minecraft:healing minecraft:ice minecraft:item minecraft:packed_ice minecraft:potion minecraft:pumpkin_pie minecraft:pumpkin_seeds minecraft:reference minecraft:set_count minecraft:set_potion minecraft:slowness minecraft:snowball minecraft:stick minecraft:string minecraft:sweet_berries minecraft:tipped_arrow minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_tavern | minecraft:chest | minecraft:apple minecraft:beetroot minecraft:carrot minecraft:chest minecraft:emerald minecraft:empty minecraft:feather minecraft:flint minecraft:healing minecraft:item minecraft:potato minecraft:potion minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:stick minecraft:string minecraft:sugar minecraft:uniform minecraft:wheat nova_structures:loot_modifier
nova_structures:pots/pot_toxic | minecraft:chest | minecraft:bone minecraft:chest minecraft:cobweb minecraft:cooked_cod minecraft:cooked_salmon minecraft:emerald minecraft:glowstone minecraft:gunpowder minecraft:healing minecraft:honey_bottle minecraft:item minecraft:mud minecraft:mushroom_stew minecraft:potion minecraft:redstone minecraft:reference minecraft:set_count minecraft:set_potion minecraft:stick minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_undead_crypt | minecraft:chest | minecraft:bone minecraft:bone_meal minecraft:candle minecraft:chest minecraft:coal minecraft:diamond minecraft:emerald minecraft:empty minecraft:gold_nugget minecraft:healing minecraft:iron_nugget minecraft:item minecraft:lead minecraft:name_tag minecraft:potion minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:skeleton_skull minecraft:stick minecraft:string minecraft:uniform minecraft:zombie_head nova_structures:loot_modifier
nova_structures:pots/pot_wild_ruin | minecraft:chest | minecraft:apple minecraft:bone_meal minecraft:book minecraft:bread minecraft:carrot minecraft:chest minecraft:coal minecraft:cooked_cod minecraft:egg minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:feather minecraft:flint minecraft:gold_nugget minecraft:gunpowder minecraft:healing minecraft:iron_nugget minecraft:item minecraft:mushroom_stew minecraft:name_tag minecraft:potato minecraft:potion minecraft:reference minecraft:rotten_flesh minecraft:set_count minecraft:set_potion minecraft:stick minecraft:string minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:pots/pot_witch_villa | minecraft:chest | minecraft:black_candle minecraft:book minecraft:chest minecraft:cookie minecraft:depth_strider minecraft:emerald minecraft:empty minecraft:enchant_randomly minecraft:enchant_with_levels minecraft:experience_bottle minecraft:fermented_spider_eye minecraft:glowstone minecraft:golden_carrot minecraft:gunpowder minecraft:healing minecraft:item minecraft:magma_cream minecraft:mending minecraft:milk_bucket minecraft:orange_candle minecraft:potion minecraft:pufferfish minecraft:pumpkin_pie minecraft:purple_candle minecraft:redstone minecraft:reference minecraft:respiration minecraft:set_count minecraft:set_potion minecraft:slime_ball minecraft:spider_eye minecraft:string minecraft:sugar minecraft:uniform nova_structures:loot_modifier
nova_structures:spawner_projectile/creeping_crypt/projectiles_creeping | minecraft:chest | minecraft:chest minecraft:firework_rocket minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_fireworks minecraft:set_potion minecraft:slowness minecraft:tipped_arrow minecraft:weakness nova_structures:loot_modifier
nova_structures:spawner_projectile/end_castle/projectiles_end_castle | minecraft:chest | minecraft:chest minecraft:harming minecraft:item minecraft:lingering_potion minecraft:loot_table minecraft:poison minecraft:reference minecraft:set_potion minecraft:slow_falling minecraft:slowness minecraft:weakness nova_structures:loot_modifier nova_structures:special_items/blindness_lingering_potion nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/nausea_lingering_potion nova_structures:special_items/wither_lingering_potion
nova_structures:spawner_projectile/keep/projectiles_keep | minecraft:chest | minecraft:arrow minecraft:chest minecraft:fire_charge minecraft:item minecraft:lingering_potion minecraft:loot_table minecraft:reference minecraft:set_potion minecraft:slowness nova_structures:loot_modifier nova_structures:special_items/wither_arrow nova_structures:special_items/wither_lingering_potion nova_structures:special_items/wither_splash_potion
nova_structures:spawner_projectile/lone_citadel/projectiles_citadel | minecraft:chest | minecraft:arrow minecraft:chest minecraft:infested minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_potion minecraft:slowness minecraft:snowball minecraft:swiftness minecraft:tipped_arrow minecraft:wind_charged nova_structures:loot_modifier
nova_structures:spawner_projectile/nether_keep/projectiles_keep | minecraft:chest | minecraft:arrow minecraft:chest minecraft:fire_charge minecraft:item minecraft:lingering_potion minecraft:loot_table minecraft:reference minecraft:set_potion minecraft:slowness nova_structures:loot_modifier nova_structures:special_items/wither_arrow nova_structures:special_items/wither_lingering_potion nova_structures:special_items/wither_splash_potion
nova_structures:spawner_projectile/piglin_donjon/projectiles_piglin_donjon | minecraft:chest | minecraft:chest minecraft:fire_charge minecraft:item minecraft:reference minecraft:spectral_arrow nova_structures:loot_modifier
nova_structures:spawner_projectile/piglin_outstation/projectiles_piglin_outstation | minecraft:chest | minecraft:chest minecraft:fire_charge minecraft:item minecraft:reference minecraft:spectral_arrow nova_structures:loot_modifier
nova_structures:spawner_projectile/shrine/projectiles_shrine | minecraft:chest | minecraft:arrow minecraft:chest minecraft:fire_charge minecraft:harming minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_potion minecraft:slowness minecraft:spectral_arrow minecraft:splash_potion nova_structures:loot_modifier
nova_structures:spawner_projectile/toxic_lair/toxic_projectiles | minecraft:chest | minecraft:arrow minecraft:chest minecraft:infested minecraft:item minecraft:lingering_potion minecraft:oozing minecraft:poison minecraft:reference minecraft:set_potion minecraft:swiftness minecraft:tipped_arrow minecraft:weakness minecraft:weaving nova_structures:loot_modifier
nova_structures:spawner_projectile/trident_trial_monument/projectile_trident_trial_monument | minecraft:chest | minecraft:chest minecraft:experience_bottle minecraft:item minecraft:lingering_potion minecraft:loot_table minecraft:reference minecraft:set_potion minecraft:water_breathing nova_structures:loot_modifier nova_structures:special_items/curse_linger nova_structures:special_items/dolphin_splash
nova_structures:spawners/creeping_crypt/spawner_creeping | minecraft:chest | minecraft:bread minecraft:carrot minecraft:chest minecraft:emerald minecraft:healing minecraft:iron_ingot minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:swiftness minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/creeping_crypt/spawner_creeping_ominous | minecraft:chest | minecraft:bread minecraft:chest minecraft:diamond minecraft:gold_ingot minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_healing minecraft:strong_swiftness minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/end_castle/spawner_boss | minecraft:chest | minecraft:bread minecraft:chest minecraft:ender_eye minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/end_ship_key nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/nausea_arrow
nova_structures:spawners/end_castle/spawner_boss_ominous | minecraft:chest | minecraft:bread minecraft:chest minecraft:ender_eye minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/end_ship_key nova_structures:loot_modifier nova_structures:special_items/levitation_arrow nova_structures:special_items/nausea_arrow
nova_structures:spawners/end_castle/spawner_endermite | minecraft:chest | minecraft:apple minecraft:beetroot_soup minecraft:chest minecraft:chorus_fruit minecraft:enchanted_golden_apple minecraft:end_stone minecraft:ender_eye minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_arrow
nova_structures:spawners/end_castle/spawner_endermite_ominous | minecraft:chest | minecraft:apple minecraft:book minecraft:chest minecraft:enchant_randomly minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:reference minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_arrow
nova_structures:spawners/end_castle/spawner_mini_boss | minecraft:chest | minecraft:apple minecraft:chest minecraft:enchanted_golden_apple minecraft:end_crystal minecraft:ender_eye minecraft:ender_pearl minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_arrow
nova_structures:spawners/end_castle/spawner_mini_boss_ominous | minecraft:chest | minecraft:apple minecraft:chest minecraft:enchanted_golden_apple minecraft:end_crystal minecraft:ender_eye minecraft:ender_pearl minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_arrow
nova_structures:spawners/end_castle/spawner_phantom | minecraft:chest | minecraft:apple minecraft:arrow minecraft:chest minecraft:enchanted_golden_apple minecraft:end_stone minecraft:ender_eye minecraft:ender_pearl minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/end_castle_key nova_structures:loot_modifier nova_structures:special_items/levitation_arrow
nova_structures:spawners/end_castle/spawner_phantom_ominous | minecraft:chest | minecraft:apple minecraft:arrow minecraft:chest minecraft:enchanted_golden_apple minecraft:end_stone minecraft:ender_eye minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/end_ship_key nova_structures:loot_modifier
nova_structures:spawners/end_castle/spawner_shulker | minecraft:chest | minecraft:arrow minecraft:beetroot_soup minecraft:chest minecraft:chorus_fruit minecraft:enchanted_golden_apple minecraft:end_stone minecraft:ender_eye minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:spawners/end_castle/spawner_shulker_ominous | minecraft:chest | minecraft:chest minecraft:enchanted_golden_apple minecraft:ender_eye minecraft:gold_ingot minecraft:golden_apple minecraft:iron_ingot minecraft:item minecraft:loot_table minecraft:reference minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/levitation_lingering_potion nova_structures:special_items/levitation_potion nova_structures:special_items/levitation_splash_potion
nova_structures:spawners/end_lighthouse/end_lighthouse_spawner | minecraft:chest | minecraft:bread minecraft:chest minecraft:chorus_fruit minecraft:dragon_breath minecraft:end_stone minecraft:ender_chest minecraft:ender_eye minecraft:ender_pearl minecraft:golden_apple minecraft:item minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/end_lighthouse/spawner_lighthouse | minecraft:chest | minecraft:bread minecraft:chest minecraft:chorus_fruit minecraft:dragon_breath minecraft:end_stone minecraft:ender_chest minecraft:ender_eye minecraft:ender_pearl minecraft:golden_apple minecraft:item minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/lone_citadel/c_spawner | minecraft:chest | minecraft:chest minecraft:cooked_rabbit minecraft:emerald minecraft:experience_bottle minecraft:gold_ingot minecraft:healing minecraft:iron_ingot minecraft:item minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:sweet_berries minecraft:swiftness minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/lone_citadel/c_spawner_boss | minecraft:chest | minecraft:chest minecraft:emerald_block minecraft:gold_block minecraft:iron_block minecraft:item minecraft:loot_table minecraft:ominous_bottle minecraft:reference minecraft:set_count minecraft:set_ominous_bottle_amplifier minecraft:uniform nova_structures:keys/citadel_boss_key nova_structures:loot_modifier
nova_structures:spawners/lone_citadel/spawner_boss_ominous | minecraft:chest | minecraft:chest minecraft:emerald_block minecraft:gold_block minecraft:iron_block minecraft:item minecraft:loot_table minecraft:ominous_bottle minecraft:reference minecraft:set_count minecraft:set_ominous_bottle_amplifier minecraft:uniform nova_structures:keys/citadel_boss_key nova_structures:loot_modifier
nova_structures:spawners/lone_citadel/spawner_citadel_ominous | minecraft:chest | minecraft:chest minecraft:cooked_rabbit minecraft:emerald minecraft:experience_bottle minecraft:gold_ingot minecraft:iron_ingot minecraft:item minecraft:potion minecraft:pumpkin_pie minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_healing minecraft:strong_strength minecraft:strong_swiftness minecraft:sweet_berries minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/nether_keep/bridge | minecraft:chest | minecraft:chest minecraft:cooked_porkchop minecraft:ender_pearl minecraft:fire_resistance minecraft:gold_nugget minecraft:golden_carrot minecraft:item minecraft:loot_table minecraft:potion minecraft:quartz minecraft:reference minecraft:regeneration minecraft:set_count minecraft:set_potion minecraft:strength minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/wither_arrow nova_structures:special_items/wither_potion nova_structures:special_items/wither_splash_potion
nova_structures:spawners/nether_keep/spawner_keep_ominous | minecraft:chest | minecraft:book minecraft:chest minecraft:cooked_porkchop minecraft:enchant_randomly minecraft:ender_pearl minecraft:gold_ingot minecraft:golden_carrot minecraft:item minecraft:long_fire_resistance minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:strong_regeneration minecraft:uniform minecraft:wither_rose nova_structures:loot_modifier nova_structures:special_items/wither_arrow nova_structures:special_items/wither_splash_potion
nova_structures:spawners/piglin_donjon/spawner_piglin_donjon | minecraft:chest | minecraft:chest minecraft:gold_ingot minecraft:golden_apple minecraft:golden_axe minecraft:golden_carrot minecraft:item minecraft:reference minecraft:set_count minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/piglin_donjon/spawner_piglin_donjon_ominous | minecraft:chest | minecraft:chest minecraft:fire_resistance minecraft:gold_block minecraft:golden_apple minecraft:golden_axe minecraft:golden_carrot minecraft:item minecraft:reference minecraft:set_count minecraft:set_potion minecraft:splash_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/piglin_outstation/spawner_piglin_outstation | minecraft:chest | minecraft:chest minecraft:coal minecraft:cooked_porkchop minecraft:fire_resistance minecraft:golden_carrot minecraft:item minecraft:reference minecraft:set_count minecraft:set_potion minecraft:splash_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/piglin_outstation/spawner_piglin_outstation_ominous | minecraft:chest | minecraft:chest minecraft:coal minecraft:cooked_porkchop minecraft:golden_carrot minecraft:item minecraft:long_fire_resistance minecraft:reference minecraft:set_count minecraft:set_potion minecraft:splash_potion minecraft:uniform nova_structures:loot_modifier
nova_structures:spawners/shrine/shrine_combat | minecraft:chest | minecraft:arrow minecraft:chest minecraft:cooked_porkchop minecraft:copper_ingot minecraft:emerald minecraft:ender_pearl minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:iron_ingot minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:slow_falling minecraft:strength minecraft:strong_leaping minecraft:swiftness minecraft:uniform minecraft:water_breathing nova_structures:loot_modifier
nova_structures:spawners/shrine/spawner_shrine_ominous | minecraft:chest | minecraft:chest minecraft:cooked_porkchop minecraft:emerald minecraft:ender_pearl minecraft:experience_bottle minecraft:gold_ingot minecraft:golden_apple minecraft:golden_carrot minecraft:infested minecraft:iron_ingot minecraft:item minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:splash_potion minecraft:strong_strength minecraft:swiftness minecraft:tipped_arrow minecraft:turtle_master minecraft:uniform minecraft:weaving minecraft:wind_charge minecraft:wind_charged nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_slime_boss | chest | minecraft:item minecraft:reference nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_slime_boss_ominous | chest | minecraft:item minecraft:reference nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_spider_boss | chest | minecraft:loot_table minecraft:reference nova_structures:keys/toxic_boss_key nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_spider_boss_ominous | chest | minecraft:loot_table minecraft:reference nova_structures:keys/toxic_boss_key nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_toxic | chest | minecraft:item minecraft:reference nova_structures:loot_modifier
nova_structures:spawners/toxic_lair/spawner_toxic_ominous | chest | minecraft:blindness minecraft:infested minecraft:item minecraft:jump_boost minecraft:night_vision minecraft:oozing minecraft:poison minecraft:reference minecraft:saturation minecraft:set_stew_effect minecraft:suspicious_stew minecraft:uniform minecraft:weakness nova_structures:loot_modifier
nova_structures:spawners/trident_trial_monument/ttm_drowned | minecraft:chest | minecraft:chest minecraft:cooked_salmon minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:uniform nova_structures:keys/trident_trial_key nova_structures:loot_modifier nova_structures:special_items/water_breathing_long_splash_potion nova_structures:special_items/water_breathing_short_splash_potion
