create:blocks/acacia_window | minecraft:block | create:acacia_window create:blocks/acacia_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/small_veridium_brick_wall | minecraft:block | create:blocks/small_veridium_brick_wall create:small_veridium_brick_wall minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/small_veridium_bricks | minecraft:block | create:blocks/small_veridium_bricks create:small_veridium_bricks minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/smart_chute | minecraft:block | create:blocks/smart_chute create:smart_chute minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/smart_fluid_pipe | minecraft:block | create:blocks/smart_fluid_pipe create:smart_fluid_pipe minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/speedometer | minecraft:block | create:blocks/speedometer create:speedometer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/spout | minecraft:block | create:blocks/spout create:spout minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/spruce_window | minecraft:block | create:blocks/spruce_window create:spruce_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/spruce_window_pane | minecraft:block | create:blocks/spruce_window_pane create:spruce_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/steam_engine | minecraft:block | create:blocks/steam_engine create:steam_engine minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/steam_whistle | minecraft:block | create:blocks/steam_whistle create:steam_whistle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/steam_whistle_extension | minecraft:block | create:blocks/steam_whistle_extension minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/sticker | minecraft:block | create:blocks/sticker create:sticker minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/sticky_mechanical_piston | minecraft:block | create:blocks/sticky_mechanical_piston create:sticky_mechanical_piston minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/stock_link | minecraft:block | create:blocks/stock_link create:stock_link minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/stock_ticker | minecraft:block | create:blocks/stock_ticker create:stock_ticker minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/stockpile_switch | minecraft:block | create:blocks/stockpile_switch create:stockpile_switch minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/stressometer | minecraft:block | create:blocks/stressometer create:stressometer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/tiled_glass | minecraft:block | create:blocks/tiled_glass create:tiled_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/tiled_glass_pane | minecraft:block | create:blocks/tiled_glass_pane create:tiled_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/track | minecraft:block | create:blocks/track create:track minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/track_observer | minecraft:block | create:blocks/track_observer create:track_observer minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/track_signal | minecraft:block | create:blocks/track_signal create:track_signal minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/track_station | minecraft:block | create:blocks/track_station create:track_station minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/train_door | minecraft:block | create:blocks/train_door create:train_door minecraft:block minecraft:block_state_property minecraft:item minecraft:survives_explosion
create:blocks/train_trapdoor | minecraft:block | create:blocks/train_trapdoor create:train_trapdoor minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/tuff_pillar | minecraft:block | create:blocks/tuff_pillar create:tuff_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/turntable | minecraft:block | create:blocks/turntable create:turntable minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/veridium | minecraft:block | create:blocks/veridium create:veridium minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/veridium_pillar | minecraft:block | create:blocks/veridium_pillar create:veridium_pillar minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/vertical_framed_glass | minecraft:block | create:blocks/vertical_framed_glass create:vertical_framed_glass minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/vertical_framed_glass_pane | minecraft:block | create:blocks/vertical_framed_glass_pane create:vertical_framed_glass_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/warped_window | minecraft:block | create:blocks/warped_window create:warped_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/warped_window_pane | minecraft:block | create:blocks/warped_window_pane create:warped_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/water_wheel | minecraft:block | create:blocks/water_wheel create:water_wheel minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/water_wheel_structure | minecraft:block | create:blocks/water_wheel_structure minecraft:air minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_copper_shingle_slab | minecraft:block | create:blocks/waxed_copper_shingle_slab create:waxed_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_copper_shingle_stairs | minecraft:block | create:blocks/waxed_copper_shingle_stairs create:waxed_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_copper_shingles | minecraft:block | create:blocks/waxed_copper_shingles create:waxed_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_copper_tile_slab | minecraft:block | create:blocks/waxed_copper_tile_slab create:waxed_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_copper_tile_stairs | minecraft:block | create:blocks/waxed_copper_tile_stairs create:waxed_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_copper_tiles | minecraft:block | create:blocks/waxed_copper_tiles create:waxed_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_exposed_copper_shingle_slab | minecraft:block | create:blocks/waxed_exposed_copper_shingle_slab create:waxed_exposed_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_exposed_copper_shingle_stairs | minecraft:block | create:blocks/waxed_exposed_copper_shingle_stairs create:waxed_exposed_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_exposed_copper_shingles | minecraft:block | create:blocks/waxed_exposed_copper_shingles create:waxed_exposed_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_exposed_copper_tile_slab | minecraft:block | create:blocks/waxed_exposed_copper_tile_slab create:waxed_exposed_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_exposed_copper_tile_stairs | minecraft:block | create:blocks/waxed_exposed_copper_tile_stairs create:waxed_exposed_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_exposed_copper_tiles | minecraft:block | create:blocks/waxed_exposed_copper_tiles create:waxed_exposed_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_oxidized_copper_shingle_slab | minecraft:block | create:blocks/waxed_oxidized_copper_shingle_slab create:waxed_oxidized_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_oxidized_copper_shingle_stairs | minecraft:block | create:blocks/waxed_oxidized_copper_shingle_stairs create:waxed_oxidized_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_oxidized_copper_shingles | minecraft:block | create:blocks/waxed_oxidized_copper_shingles create:waxed_oxidized_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_oxidized_copper_tile_slab | minecraft:block | create:blocks/waxed_oxidized_copper_tile_slab create:waxed_oxidized_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_oxidized_copper_tile_stairs | minecraft:block | create:blocks/waxed_oxidized_copper_tile_stairs create:waxed_oxidized_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_oxidized_copper_tiles | minecraft:block | create:blocks/waxed_oxidized_copper_tiles create:waxed_oxidized_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_weathered_copper_shingle_slab | minecraft:block | create:blocks/waxed_weathered_copper_shingle_slab create:waxed_weathered_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_weathered_copper_shingle_stairs | minecraft:block | create:blocks/waxed_weathered_copper_shingle_stairs create:waxed_weathered_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_weathered_copper_shingles | minecraft:block | create:blocks/waxed_weathered_copper_shingles create:waxed_weathered_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_weathered_copper_tile_slab | minecraft:block | create:blocks/waxed_weathered_copper_tile_slab create:waxed_weathered_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/waxed_weathered_copper_tile_stairs | minecraft:block | create:blocks/waxed_weathered_copper_tile_stairs create:waxed_weathered_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/waxed_weathered_copper_tiles | minecraft:block | create:blocks/waxed_weathered_copper_tiles create:waxed_weathered_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_copper_shingle_slab | minecraft:block | create:blocks/weathered_copper_shingle_slab create:weathered_copper_shingle_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/weathered_copper_shingle_stairs | minecraft:block | create:blocks/weathered_copper_shingle_stairs create:weathered_copper_shingle_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_copper_shingles | minecraft:block | create:blocks/weathered_copper_shingles create:weathered_copper_shingles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_copper_tile_slab | minecraft:block | create:blocks/weathered_copper_tile_slab create:weathered_copper_tile_slab minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count
create:blocks/weathered_copper_tile_stairs | minecraft:block | create:blocks/weathered_copper_tile_stairs create:weathered_copper_tile_stairs minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_copper_tiles | minecraft:block | create:blocks/weathered_copper_tiles create:weathered_copper_tiles minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_iron_block | minecraft:block | create:blocks/weathered_iron_block create:weathered_iron_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/weathered_iron_window | minecraft:block | create:blocks/weathered_iron_window create:weathered_iron_window minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/weathered_iron_window_pane | minecraft:block | create:blocks/weathered_iron_window_pane create:weathered_iron_window_pane minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch
create:blocks/weighted_ejector | minecraft:block | create:blocks/weighted_ejector create:weighted_ejector minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_nixie_tube | minecraft:block | create:blocks/white_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_postbox | minecraft:block | create:blocks/white_postbox create:white_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_sail | minecraft:block | create:blocks/white_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_seat | minecraft:block | create:blocks/white_seat create:white_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_table_cloth | minecraft:block | create:blocks/white_table_cloth create:white_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/white_toolbox | minecraft:block | create:blocks/white_toolbox create:toolbox_inventory create:toolbox_uuid create:white_toolbox minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/white_valve_handle | minecraft:block | create:blocks/white_valve_handle create:white_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/windmill_bearing | minecraft:block | create:blocks/windmill_bearing create:windmill_bearing minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/wooden_bracket | minecraft:block | create:blocks/wooden_bracket create:wooden_bracket minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_nixie_tube | minecraft:block | create:blocks/yellow_nixie_tube create:nixie_tube minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_postbox | minecraft:block | create:blocks/yellow_postbox create:yellow_postbox minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_sail | minecraft:block | create:blocks/yellow_sail create:white_sail minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_seat | minecraft:block | create:blocks/yellow_seat create:yellow_seat minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_table_cloth | minecraft:block | create:blocks/yellow_table_cloth create:yellow_table_cloth minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/yellow_toolbox | minecraft:block | create:blocks/yellow_toolbox create:toolbox_inventory create:toolbox_uuid create:yellow_toolbox minecraft:block minecraft:copy_components minecraft:copy_name minecraft:item minecraft:survives_explosion
create:blocks/yellow_valve_handle | minecraft:block | create:blocks/yellow_valve_handle create:yellow_valve_handle minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/zinc_block | minecraft:block | create:blocks/zinc_block create:zinc_block minecraft:block minecraft:item minecraft:survives_explosion
create:blocks/zinc_ore | minecraft:block | create:blocks/zinc_ore create:raw_zinc create:zinc_ore minecraft:alternatives minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:item minecraft:match_tool minecraft:ore_drops minecraft:silk_touch
