railways:blocks/big_buffer | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:big_buffer railways:blocks/big_buffer
railways:blocks/track_stripped_bamboo_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_stripped_bamboo_wide railways:track_stripped_bamboo_wide
railways:blocks/track_switch_andesite | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_switch_andesite railways:track_switch_andesite
railways:blocks/track_switch_brass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_switch_brass railways:track_switch_brass
railways:blocks/track_tfc_acacia | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_acacia railways:track_tfc_acacia
railways:blocks/track_tfc_acacia_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_acacia_narrow railways:track_tfc_acacia_narrow
railways:blocks/track_tfc_acacia_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_acacia_wide railways:track_tfc_acacia_wide
railways:blocks/track_tfc_ash | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_ash railways:track_tfc_ash
railways:blocks/track_tfc_ash_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_ash_narrow railways:track_tfc_ash_narrow
railways:blocks/track_tfc_ash_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_ash_wide railways:track_tfc_ash_wide
railways:blocks/track_tfc_aspen | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_aspen railways:track_tfc_aspen
railways:blocks/track_tfc_aspen_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_aspen_narrow railways:track_tfc_aspen_narrow
railways:blocks/track_tfc_aspen_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_aspen_wide railways:track_tfc_aspen_wide
railways:blocks/track_tfc_birch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_birch railways:track_tfc_birch
railways:blocks/track_tfc_birch_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_birch_narrow railways:track_tfc_birch_narrow
railways:blocks/track_tfc_birch_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_birch_wide railways:track_tfc_birch_wide
railways:blocks/track_tfc_blackwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_blackwood railways:track_tfc_blackwood
railways:blocks/track_tfc_blackwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_blackwood_narrow railways:track_tfc_blackwood_narrow
railways:blocks/track_tfc_blackwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_blackwood_wide railways:track_tfc_blackwood_wide
railways:blocks/track_tfc_chestnut | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_chestnut railways:track_tfc_chestnut
railways:blocks/track_tfc_chestnut_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_chestnut_narrow railways:track_tfc_chestnut_narrow
railways:blocks/track_tfc_chestnut_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_chestnut_wide railways:track_tfc_chestnut_wide
railways:blocks/track_tfc_douglas_fir | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_douglas_fir railways:track_tfc_douglas_fir
railways:blocks/track_tfc_douglas_fir_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_douglas_fir_narrow railways:track_tfc_douglas_fir_narrow
railways:blocks/track_tfc_douglas_fir_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_douglas_fir_wide railways:track_tfc_douglas_fir_wide
railways:blocks/track_tfc_hickory | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_hickory railways:track_tfc_hickory
railways:blocks/track_tfc_hickory_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_hickory_narrow railways:track_tfc_hickory_narrow
railways:blocks/track_tfc_hickory_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_hickory_wide railways:track_tfc_hickory_wide
railways:blocks/track_tfc_kapok | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_kapok railways:track_tfc_kapok
railways:blocks/track_tfc_kapok_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_kapok_narrow railways:track_tfc_kapok_narrow
railways:blocks/track_tfc_kapok_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_kapok_wide railways:track_tfc_kapok_wide
railways:blocks/track_tfc_mangrove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_mangrove railways:track_tfc_mangrove
railways:blocks/track_tfc_mangrove_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_mangrove_narrow railways:track_tfc_mangrove_narrow
railways:blocks/track_tfc_mangrove_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_mangrove_wide railways:track_tfc_mangrove_wide
railways:blocks/track_tfc_maple | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_maple railways:track_tfc_maple
railways:blocks/track_tfc_maple_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_maple_narrow railways:track_tfc_maple_narrow
railways:blocks/track_tfc_maple_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_maple_wide railways:track_tfc_maple_wide
railways:blocks/track_tfc_oak | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_oak railways:track_tfc_oak
railways:blocks/track_tfc_oak_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_oak_narrow railways:track_tfc_oak_narrow
railways:blocks/track_tfc_oak_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_oak_wide railways:track_tfc_oak_wide
railways:blocks/track_tfc_palm | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_palm railways:track_tfc_palm
railways:blocks/track_tfc_palm_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_palm_narrow railways:track_tfc_palm_narrow
railways:blocks/track_tfc_palm_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_palm_wide railways:track_tfc_palm_wide
railways:blocks/track_tfc_pine | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_pine railways:track_tfc_pine
railways:blocks/track_tfc_pine_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_pine_narrow railways:track_tfc_pine_narrow
railways:blocks/track_tfc_pine_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_pine_wide railways:track_tfc_pine_wide
railways:blocks/track_tfc_rosewood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_rosewood railways:track_tfc_rosewood
railways:blocks/track_tfc_rosewood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_rosewood_narrow railways:track_tfc_rosewood_narrow
railways:blocks/track_tfc_rosewood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_rosewood_wide railways:track_tfc_rosewood_wide
railways:blocks/track_tfc_sequoia | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sequoia railways:track_tfc_sequoia
railways:blocks/track_tfc_sequoia_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sequoia_narrow railways:track_tfc_sequoia_narrow
railways:blocks/track_tfc_sequoia_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sequoia_wide railways:track_tfc_sequoia_wide
railways:blocks/track_tfc_spruce | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_spruce railways:track_tfc_spruce
railways:blocks/track_tfc_spruce_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_spruce_narrow railways:track_tfc_spruce_narrow
railways:blocks/track_tfc_spruce_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_spruce_wide railways:track_tfc_spruce_wide
railways:blocks/track_tfc_sycamore | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sycamore railways:track_tfc_sycamore
railways:blocks/track_tfc_sycamore_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sycamore_narrow railways:track_tfc_sycamore_narrow
railways:blocks/track_tfc_sycamore_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_sycamore_wide railways:track_tfc_sycamore_wide
railways:blocks/track_tfc_white_cedar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_white_cedar railways:track_tfc_white_cedar
railways:blocks/track_tfc_white_cedar_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_white_cedar_narrow railways:track_tfc_white_cedar_narrow
railways:blocks/track_tfc_white_cedar_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_white_cedar_wide railways:track_tfc_white_cedar_wide
railways:blocks/track_tfc_willow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_willow railways:track_tfc_willow
railways:blocks/track_tfc_willow_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_willow_narrow railways:track_tfc_willow_narrow
railways:blocks/track_tfc_willow_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tfc_willow_wide railways:track_tfc_willow_wide
railways:blocks/track_tieless | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tieless railways:track_tieless
railways:blocks/track_tieless_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tieless_narrow railways:track_tieless_narrow
railways:blocks/track_tieless_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_tieless_wide railways:track_tieless_wide
railways:blocks/track_twilightforest_canopy | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_canopy railways:track_twilightforest_canopy
railways:blocks/track_twilightforest_canopy_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_canopy_narrow railways:track_twilightforest_canopy_narrow
railways:blocks/track_twilightforest_canopy_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_canopy_wide railways:track_twilightforest_canopy_wide
railways:blocks/track_twilightforest_darkwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_darkwood railways:track_twilightforest_darkwood
railways:blocks/track_twilightforest_darkwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_darkwood_narrow railways:track_twilightforest_darkwood_narrow
railways:blocks/track_twilightforest_darkwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_darkwood_wide railways:track_twilightforest_darkwood_wide
railways:blocks/track_twilightforest_mangrove | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_mangrove railways:track_twilightforest_mangrove
railways:blocks/track_twilightforest_mangrove_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_mangrove_narrow railways:track_twilightforest_mangrove_narrow
railways:blocks/track_twilightforest_mangrove_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_mangrove_wide railways:track_twilightforest_mangrove_wide
railways:blocks/track_twilightforest_minewood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_minewood railways:track_twilightforest_minewood
railways:blocks/track_twilightforest_minewood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_minewood_narrow railways:track_twilightforest_minewood_narrow
railways:blocks/track_twilightforest_minewood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_minewood_wide railways:track_twilightforest_minewood_wide
railways:blocks/track_twilightforest_sortingwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_sortingwood railways:track_twilightforest_sortingwood
railways:blocks/track_twilightforest_sortingwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_sortingwood_narrow railways:track_twilightforest_sortingwood_narrow
railways:blocks/track_twilightforest_sortingwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_sortingwood_wide railways:track_twilightforest_sortingwood_wide
railways:blocks/track_twilightforest_timewood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_timewood railways:track_twilightforest_timewood
railways:blocks/track_twilightforest_timewood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_timewood_narrow railways:track_twilightforest_timewood_narrow
railways:blocks/track_twilightforest_timewood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_timewood_wide railways:track_twilightforest_timewood_wide
railways:blocks/track_twilightforest_transwood | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_transwood railways:track_twilightforest_transwood
railways:blocks/track_twilightforest_transwood_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_transwood_narrow railways:track_twilightforest_transwood_narrow
railways:blocks/track_twilightforest_transwood_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_transwood_wide railways:track_twilightforest_transwood_wide
railways:blocks/track_twilightforest_twilight_oak | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_twilight_oak railways:track_twilightforest_twilight_oak
railways:blocks/track_twilightforest_twilight_oak_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_twilight_oak_narrow railways:track_twilightforest_twilight_oak_narrow
railways:blocks/track_twilightforest_twilight_oak_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_twilightforest_twilight_oak_wide railways:track_twilightforest_twilight_oak_wide
railways:blocks/track_warped | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_warped railways:track_warped
railways:blocks/track_warped_narrow | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_warped_narrow railways:track_warped_narrow
railways:blocks/track_warped_wide | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/track_warped_wide railways:track_warped_wide
railways:blocks/tripleaxle_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/tripleaxle_bogey
railways:blocks/white_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_brass_wrapped_locometal railways:white_brass_wrapped_locometal
railways:blocks/white_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_brass_wrapped_locometal_boiler railways:white_brass_wrapped_locometal_boiler
railways:blocks/white_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_copper_wrapped_locometal railways:white_copper_wrapped_locometal
railways:blocks/white_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_copper_wrapped_locometal_boiler railways:white_copper_wrapped_locometal_boiler
railways:blocks/white_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_flat_riveted_locometal railways:white_flat_riveted_locometal
railways:blocks/white_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_flat_slashed_locometal railways:white_flat_slashed_locometal
railways:blocks/white_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_iron_wrapped_locometal railways:white_iron_wrapped_locometal
railways:blocks/white_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_iron_wrapped_locometal_boiler railways:white_iron_wrapped_locometal_boiler
railways:blocks/white_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_locometal_boiler railways:white_locometal_boiler
railways:blocks/white_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_locometal_pillar railways:white_locometal_pillar
railways:blocks/white_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_locometal_smokebox railways:white_locometal_smokebox
railways:blocks/white_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_plated_locometal railways:white_plated_locometal
railways:blocks/white_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_riveted_locometal railways:white_riveted_locometal
railways:blocks/white_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/white_slashed_locometal railways:white_slashed_locometal
railways:blocks/wide_comically_large_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/wide_comically_large_bogey
railways:blocks/wide_doubleaxle_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/wide_doubleaxle_bogey
railways:blocks/wide_scotch_bogey | minecraft:block | create:railway_casing minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/wide_scotch_bogey
railways:blocks/yellow_brass_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_brass_wrapped_locometal railways:yellow_brass_wrapped_locometal
railways:blocks/yellow_brass_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_brass_wrapped_locometal_boiler railways:yellow_brass_wrapped_locometal_boiler
railways:blocks/yellow_copper_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_copper_wrapped_locometal railways:yellow_copper_wrapped_locometal
railways:blocks/yellow_copper_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_copper_wrapped_locometal_boiler railways:yellow_copper_wrapped_locometal_boiler
railways:blocks/yellow_flat_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_flat_riveted_locometal railways:yellow_flat_riveted_locometal
railways:blocks/yellow_flat_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_flat_slashed_locometal railways:yellow_flat_slashed_locometal
railways:blocks/yellow_iron_wrapped_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_iron_wrapped_locometal railways:yellow_iron_wrapped_locometal
railways:blocks/yellow_iron_wrapped_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_iron_wrapped_locometal_boiler railways:yellow_iron_wrapped_locometal_boiler
railways:blocks/yellow_locometal_boiler | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_locometal_boiler railways:yellow_locometal_boiler
railways:blocks/yellow_locometal_pillar | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_locometal_pillar railways:yellow_locometal_pillar
railways:blocks/yellow_locometal_smokebox | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_locometal_smokebox railways:yellow_locometal_smokebox
railways:blocks/yellow_plated_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_plated_locometal railways:yellow_plated_locometal
railways:blocks/yellow_riveted_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_riveted_locometal railways:yellow_riveted_locometal
railways:blocks/yellow_slashed_locometal | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion railways:blocks/yellow_slashed_locometal railways:yellow_slashed_locometal
railways:entities/conductor | minecraft:entity | create:andesite_alloy minecraft:entity minecraft:item minecraft:set_count minecraft:uniform railways:entities/conductor
