minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:ritual/misc_eldritch_chalice | occultism:ritual | c:ravagers c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:bell minecraft:budding_amethyst minecraft:chorus_flower minecraft:end_stone_bricks minecraft:heavy_core minecraft:reinforced_deepslate minecraft:respawn_anchor minecraft:sculk_catalyst minecraft:soul_lantern minecraft:sponge occultism:contact_eldritch_spirit occultism:craft occultism:dark_iesnium_sacrificial_bowl occultism:eldritch_chalice occultism:ritual occultism:ritual_dummy/misc_eldritch_chalice
occultism:ritual/misc_golden_horse_armor | occultism:ritual | c:armadillos c:ingots/gold minecraft:golden_horse_armor minecraft:leather_horse_armor occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_golden_horse_armor
occultism:ritual/misc_iron_horse_armor | occultism:ritual | c:armadillos c:ingots/iron minecraft:iron_horse_armor minecraft:leather_horse_armor occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_iron_horse_armor
occultism:ritual/misc_miner_ancient_eldritch | occultism:ritual | occultism:contact_eldritch_spirit occultism:craft_miner_spirit occultism:humans occultism:miner_ancient_eldritch occultism:miner_marid_master occultism:mining_dim_core occultism:ritual occultism:ritual_dummy/misc_miner_ancient_eldritch
occultism:ritual/misc_reinforced_deepslate | occultism:ritual | c:ingots/iesnium c:obsidians c:wardens minecraft:deepslate minecraft:iron_bars minecraft:reinforced_deepslate occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_reinforced_deepslate
occultism:ritual/misc_stabilized_storage | occultism:ritual | c:dusts/echo c:shulkers minecraft:calibrated_sculk_sensor neoforge:compound occultism:contact_eldritch_spirit occultism:ritual occultism:ritual_dummy/misc_stabilized_storage occultism:storage_controller occultism:storage_controller_stabilized occultism:storage_stabilizer_tier5 occultism:storage_stabilizer_tier5_dark occultism:upgrade
occultism:ritual/misc_stabilized_storage_dark | occultism:ritual | c:dusts/echo c:shulkers minecraft:calibrated_sculk_sensor neoforge:compound occultism:contact_eldritch_spirit occultism:ritual occultism:ritual_dummy/misc_stabilized_storage_dark occultism:storage_controller_dark occultism:storage_controller_stabilized_dark occultism:storage_stabilizer_tier5 occultism:storage_stabilizer_tier5_dark occultism:upgrade
occultism:ritual/misc_stabilizer_tier5 | occultism:ritual | c:dusts/dragonyst c:endermen c:obsidians/crying c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:enchanted_golden_apple minecraft:sculk_shrieker occultism:contact_eldritch_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_stabilizer_tier5 occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier4 occultism:storage_stabilizer_tier5
occultism:ritual/misc_stabilizer_tier5_dark | occultism:ritual | c:dusts/dragonyst c:endermen c:obsidians/crying c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:enchanted_golden_apple minecraft:sculk_shrieker occultism:contact_eldritch_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_stabilizer_tier5_dark occultism:spirit_attuned_crystal occultism:storage_stabilizer_tier4_dark occultism:storage_stabilizer_tier5_dark
occultism:ritual/misc_trinity_gem | occultism:ritual | c:dusts/dragonyst c:dusts/echo c:dusts/iesnium c:dusts/witherite occultism:afrit_essence occultism:contact_eldritch_spirit occultism:craft occultism:cruelty_essence occultism:humans occultism:marid_essence occultism:ritual occultism:ritual_dummy/misc_trinity_gem occultism:soul_gem occultism:trinity_gem
occultism:ritual/misc_wild_trim | occultism:ritual | c:llamas minecraft:bamboo minecraft:diamond_block minecraft:glistering_melon_slice minecraft:jungle_sapling minecraft:mossy_cobblestone minecraft:wild_armor_trim_smithing_template occultism:contact_wild_spirit occultism:craft occultism:ritual occultism:ritual_dummy/misc_wild_trim
occultism:ritual/possess_bee | occultism:ritual | c:chickens minecraft:honey_block minecraft:honey_bottle minecraft:honeycomb minecraft:honeycomb_block occultism:book_of_binding_bound_djinni occultism:cursed_honey occultism:possess_djinni occultism:possessed_bee occultism:ritual occultism:ritual_dummy/possess_bee occultism:summon
occultism:ritual/possess_blaze | occultism:ritual | c:chickens c:ingots/copper c:ingots/gold minecraft:candles minecraft:fire_charge minecraft:firework_star minecraft:torch occultism:book_of_binding_bound_djinni occultism:possess_djinni occultism:possessed_blaze occultism:ritual occultism:ritual_dummy/possess_blaze occultism:spawn_egg/possessed_blaze occultism:summon
occultism:ritual/possess_elder_guardian | occultism:ritual | c:buckets/water c:fish c:gems/emerald minecraft:dark_prismarine minecraft:prismarine_bricks minecraft:sea_lantern occultism:book_of_binding_bound_afrit occultism:possess_afrit occultism:possessed_elder_guardian occultism:ritual occultism:ritual_dummy/possess_elder_guardian occultism:spawn_egg/possessed_elder_guardian occultism:summon
occultism:ritual/possess_enderman | occultism:ritual | c:bones c:end_stones c:pigs c:strings minecraft:rotten_flesh occultism:book_of_binding_bound_djinni occultism:possess_djinni occultism:possessed_enderman occultism:ritual occultism:ritual_dummy/possess_enderman occultism:spawn_egg/possessed_enderman occultism:summon
occultism:ritual/possess_endermite | occultism:ritual | c:stones minecraft:dirt minecraft:egg occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:possessed_endermite occultism:ritual occultism:ritual_dummy/possess_endermite occultism:spawn_egg/possessed_endermite occultism:summon
occultism:ritual/possess_ghast | occultism:ritual | c:cows c:gems/diamond c:magma c:netherracks minecraft:lava_bucket minecraft:soul_fire_base_blocks occultism:book_of_binding_bound_djinni occultism:possess_djinni occultism:possessed_ghast occultism:ritual occultism:ritual_dummy/possess_ghast occultism:spawn_egg/possessed_ghast occultism:summon
occultism:ritual/possess_goat | occultism:ritual | minecraft:armadillo_scute minecraft:pointed_dripstone minecraft:rabbit_foot minecraft:wool occultism:book_of_binding_bound_marid occultism:cruelty_essence occultism:humans occultism:mercy_goat occultism:possess_marid occultism:ritual occultism:ritual_dummy/possess_goat occultism:summon
occultism:ritual/possess_guardian | occultism:ritual | c:buckets/water c:fish c:storage_blocks/lapis minecraft:seagrass minecraft:tropical_fish minecraft:turtle_scute occultism:book_of_binding_bound_afrit occultism:possess_unbound_afrit occultism:possessed_guardian occultism:ritual occultism:ritual_dummy/possess_guardian occultism:spawn_egg/possessed_guardian occultism:summon
occultism:ritual/possess_hoglin | occultism:ritual | c:leathers c:netherracks c:pigs minecraft:netherite_scrap minecraft:porkchop occultism:book_of_binding_bound_afrit occultism:possess_afrit occultism:possessed_hoglin occultism:ritual occultism:ritual_dummy/possess_hoglin occultism:spawn_egg/possessed_hoglin occultism:spirit_attuned_crystal occultism:summon
occultism:ritual/possess_iesnium_golem | occultism:ritual | c:golems/iron c:nether_stars c:storage_blocks/iesnium occultism:book_of_binding_bound_marid occultism:iesnium_golem occultism:marid_essence occultism:possess_marid occultism:ritual occultism:ritual_dummy/possess_iesnium_golem occultism:soul_gem occultism:spawn_egg/iesnium_golem occultism:spirit_attuned_crystal occultism:summon
occultism:ritual/possess_phantom | occultism:ritual | c:feathers c:leathers occultism:book_of_binding_bound_foliot occultism:flying_passive occultism:possess_foliot occultism:possessed_phantom occultism:ritual occultism:ritual_dummy/possess_phantom occultism:spawn_egg/possessed_phantom occultism:summon
occultism:ritual/possess_random_animal_common | occultism:ritual | c:crops c:seeds minecraft:egg occultism:book_of_binding_bound_foliot occultism:mysterious_egg_icon occultism:possess_foliot occultism:random_animals_common occultism:ritual occultism:ritual_dummy/possess_random_animal_common occultism:summon
occultism:ritual/possess_random_animal_rideable | occultism:ritual | c:crops/cactus c:storage_blocks/wheat minecraft:apple minecraft:carrot minecraft:experience_bottle minecraft:golden_apple minecraft:golden_carrot minecraft:warped_fungus occultism:book_of_binding_bound_djinni occultism:mysterious_egg_icon occultism:possess_djinni occultism:random_animals_rideable occultism:ritual occultism:ritual_dummy/possess_random_animal_rideable occultism:summon
occultism:ritual/possess_random_animal_small | occultism:ritual | c:feathers c:nuggets/iron c:strings minecraft:egg minecraft:sugar occultism:book_of_binding_bound_foliot occultism:mysterious_egg_icon occultism:possess_foliot occultism:random_animals_small occultism:ritual occultism:ritual_dummy/possess_random_animal_small occultism:summon
occultism:ritual/possess_random_animal_special | occultism:ritual | c:mushroom_blocks c:storage_blocks/iron minecraft:bamboo_block minecraft:moss_block minecraft:packed_ice minecraft:terracotta minecraft:wind_charge minecraft:wool occultism:book_of_binding_bound_djinni occultism:mysterious_egg_icon occultism:possess_djinni occultism:random_animals_special occultism:ritual occultism:ritual_dummy/possess_random_animal_special occultism:summon
occultism:ritual/possess_random_animal_water | occultism:ritual | minecraft:clay minecraft:kelp minecraft:mud minecraft:seagrass minecraft:snowball occultism:book_of_binding_bound_foliot occultism:mysterious_egg_icon occultism:possess_foliot occultism:random_animals_water occultism:ritual occultism:ritual_dummy/possess_random_animal_water occultism:summon
occultism:ritual/possess_shulker | occultism:ritual | c:end_stones minecraft:dragon_breath minecraft:purple_glazed_terracotta occultism:book_of_binding_bound_afrit occultism:cubemob occultism:possess_afrit occultism:possessed_shulker occultism:ritual occultism:ritual_dummy/possess_shulker occultism:spawn_egg/possessed_shulker occultism:summon
occultism:ritual/possess_skeleton | occultism:ritual | c:bones c:chickens occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:possessed_skeleton occultism:ritual occultism:ritual_dummy/possess_skeleton occultism:spawn_egg/possessed_skeleton occultism:summon
occultism:ritual/possess_unbound_otherworld_bird | occultism:ritual | c:feathers c:parrots minecraft:egg minecraft:leaves occultism:book_of_binding_bound_djinni occultism:otherworld_bird occultism:possess_djinni occultism:ritual occultism:ritual_dummy/possess_unbound_otherworld_bird occultism:spawn_egg/otherworld_bird occultism:summon
occultism:ritual/possess_unbound_parrot | occultism:ritual | c:chickens c:dyes/blue c:dyes/green c:dyes/red c:dyes/yellow c:feathers minecraft:parrot minecraft:parrot_spawn_egg occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:ritual occultism:ritual_dummy/possess_unbound_parrot occultism:summon
occultism:ritual/possess_villager | occultism:ritual | c:foods/pie c:villagers minecraft:beds minecraft:campfire minecraft:experience_bottle occultism:book_of_binding_bound_djinni occultism:mysterious_egg_icon occultism:possess_djinni occultism:ritual occultism:ritual_dummy/possess_villager occultism:summon
occultism:ritual/possess_warden | occultism:ritual | c:cows minecraft:sculk occultism:book_of_binding_bound_afrit occultism:possess_afrit occultism:possessed_warden occultism:ritual occultism:ritual_dummy/possess_warden occultism:spawn_egg/possessed_warden occultism:summon
occultism:ritual/possess_weak_shulker | occultism:ritual | c:end_stones c:ender_pearls minecraft:purple_concrete occultism:book_of_binding_bound_djinni occultism:cubemob occultism:possess_djinni occultism:possessed_weak_shulker occultism:ritual occultism:ritual_dummy/possess_weak_shulker occultism:spawn_egg/possessed_weak_shulker occultism:summon
occultism:ritual/possess_witch | occultism:ritual | c:chickens c:dusts/redstone minecraft:brown_mushroom minecraft:glass_bottle minecraft:red_mushroom occultism:book_of_binding_bound_foliot occultism:possess_foliot occultism:possessed_witch occultism:ritual occultism:ritual_dummy/possess_witch occultism:spawn_egg/possessed_witch occultism:summon
occultism:ritual/possess_zombie_piglin | occultism:ritual | c:pigs minecraft:crimson_fungus minecraft:gilded_blackstone minecraft:quartz minecraft:warped_fungus occultism:book_of_binding_bound_afrit occultism:possess_unbound_afrit occultism:possessed_zombie_piglin occultism:ritual occultism:ritual_dummy/possess_zombie_piglin occultism:spawn_egg/possessed_zombie_piglin occultism:summon
occultism:ritual/repair_armors | occultism:ritual | c:armors occultism:craft_afrit occultism:otherworld_essence occultism:repair occultism:repair_icon occultism:ritual occultism:ritual_dummy/repair_armors occultism:spirit_attuned_gem
occultism:ritual/repair_chalks | occultism:ritual | occultism:craft_djinni occultism:otherworld_essence occultism:repair occultism:repair_icon occultism:ritual occultism:ritual_dummy/repair_chalks occultism:spirit_attuned_gem occultism:tools/chalk
occultism:ritual/repair_miners | occultism:ritual | occultism:craft_afrit occultism:miners occultism:otherworld_essence occultism:repair occultism:repair_icon occultism:ritual occultism:ritual_dummy/repair_miners occultism:spirit_attuned_gem
occultism:ritual/repair_tools | occultism:ritual | c:tools occultism:craft_afrit occultism:otherworld_essence occultism:repair occultism:repair_icon occultism:ritual occultism:ritual_dummy/repair_tools occultism:spirit_attuned_gem
occultism:ritual/resurrect_allay | occultism:ritual | c:dusts/glowstone c:dusts/gold c:dusts/redstone c:dusts/silver c:vex minecraft:allay minecraft:allay_spawn_egg minecraft:sugar occultism:resurrect_spirit occultism:ritual occultism:ritual_dummy/resurrect_allay occultism:summon
occultism:ritual/resurrect_familiar | occultism:ritual | occultism:otherworld_essence occultism:resurrect_familiar occultism:resurrect_icon occultism:resurrect_spirit occultism:ritual occultism:ritual_dummy/resurrect_familiar occultism:soul_shard
occultism:ritual/resurrect_mob | occultism:ritual | minecraft:ghast_tear occultism:otherworld_essence occultism:resurrect_familiar occultism:resurrect_icon occultism:resurrect_spirit occultism:ritual occultism:ritual_dummy/resurrect_mob occultism:soul_shattered occultism:spirit_attuned_crystal occultism:tallow_block
occultism:ritual/summon_afrit_crusher | occultism:ritual | c:dusts/amethyst c:dusts/emerald c:dusts/iesnium c:dusts/lapis c:dusts/obsidian occultism:afrit occultism:book_of_binding_bound_afrit occultism:crush_tier3 occultism:ritual occultism:ritual_dummy/summon_afrit_crusher occultism:spawn_egg/afrit occultism:summon_afrit occultism:summon_spirit_with_job
occultism:ritual/summon_afrit_crystallizer | occultism:ritual | c:storage_blocks/lapis minecraft:amethyst_block minecraft:dripstone_block minecraft:quartz_block occultism:afrit occultism:book_of_binding_bound_afrit occultism:crystal_tier3 occultism:gray_paste occultism:ritual occultism:ritual_dummy/summon_afrit_crystallizer occultism:spawn_egg/afrit occultism:summon_afrit occultism:summon_spirit_with_job
occultism:ritual/summon_afrit_rain_weather | occultism:ritual | c:cows c:sands minecraft:cactus minecraft:dead_bush minecraft:dried_kelp occultism:afrit occultism:book_of_binding_bound_afrit occultism:rain_weather occultism:ritual occultism:ritual_dummy/summon_afrit_rain_weather occultism:spawn_egg/afrit occultism:summon_afrit occultism:summon_spirit_with_job
occultism:ritual/summon_afrit_smelter | occultism:ritual | c:buckets/lava c:rods/blaze minecraft:magma_block minecraft:red_nether_bricks minecraft:soul_campfire occultism:afrit occultism:book_of_binding_bound_afrit occultism:ritual occultism:ritual_dummy/summon_afrit_smelter occultism:smelt_tier3 occultism:spawn_egg/afrit occultism:summon_afrit occultism:summon_spirit_with_job
occultism:ritual/summon_afrit_thunder_weather | occultism:ritual | c:bones c:cows c:gunpowders minecraft:ghast_tear occultism:afrit occultism:book_of_binding_bound_afrit occultism:ritual occultism:ritual_dummy/summon_afrit_thunder_weather occultism:spawn_egg/afrit occultism:summon_afrit occultism:summon_spirit_with_job occultism:thunder_weather
occultism:ritual/summon_demonic_husband | occultism:ritual | c:chickens c:gems/emerald c:gunpowders c:ingots/gold minecraft:glass_bottle minecraft:porkchop minecraft:swords occultism:book_of_binding_bound_djinni occultism:demonic_husband occultism:ritual occultism:ritual_dummy/summon_demonic_husband occultism:spawn_egg/demonic_husband occultism:summon_djinni occultism:summon_tamed
occultism:ritual/summon_demonic_wife | occultism:ritual | c:chickens c:gems/diamond c:gunpowders c:ingots/gold minecraft:glass_bottle minecraft:porkchop minecraft:swords occultism:book_of_binding_bound_djinni occultism:demonic_wife occultism:ritual occultism:ritual_dummy/summon_demonic_wife occultism:spawn_egg/demonic_wife occultism:summon_djinni occultism:summon_tamed
occultism:ritual/summon_djinni_clear_weather | occultism:ritual | c:crops/beetroot c:crops/carrot c:crops/potato c:crops/wheat occultism:book_of_binding_bound_djinni occultism:clear_weather occultism:djinni occultism:ritual occultism:ritual_dummy/summon_djinni_clear_weather occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_crusher | occultism:ritual | c:dusts/copper c:dusts/gold c:dusts/iron c:dusts/silver occultism:book_of_binding_bound_djinni occultism:crush_tier2 occultism:djinni occultism:ritual occultism:ritual_dummy/summon_djinni_crusher occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_crystallizer | occultism:ritual | c:gems/amethyst c:gems/emerald c:gems/lapis occultism:book_of_binding_bound_djinni occultism:crystal_tier2 occultism:djinni occultism:gray_paste occultism:ritual occultism:ritual_dummy/summon_djinni_crystallizer occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_day_time | occultism:ritual | c:dyes/yellow minecraft:saplings minecraft:torch minecraft:wheat occultism:book_of_binding_bound_djinni occultism:day_time occultism:djinni occultism:ritual occultism:ritual_dummy/summon_djinni_day_time occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_gambler | occultism:ritual | c:gems/emerald c:ingots/gold c:storage_blocks/diamond c:storage_blocks/silver occultism:book_of_binding_bound_djinni occultism:djinni occultism:gambler occultism:ritual occultism:ritual_dummy/summon_djinni_gambler occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_manage_machine | occultism:ritual | c:ingots/gold c:ingots/iron c:storage_blocks/coal minecraft:furnace occultism:book_of_binding_bound_djinni occultism:book_of_calling_djinni_manage_machine occultism:djinni occultism:manage_machine occultism:ritual occultism:ritual_dummy/summon_djinni_manage_machine occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_night_time | occultism:ritual | c:bones c:dyes/black c:gunpowders minecraft:rotten_flesh occultism:book_of_binding_bound_djinni occultism:djinni occultism:night_time occultism:ritual occultism:ritual_dummy/summon_djinni_night_time occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_djinni_smelter | occultism:ritual | c:tools/igniter minecraft:blast_furnace minecraft:fire_charge minecraft:smoker occultism:book_of_binding_bound_djinni occultism:djinni occultism:ritual occultism:ritual_dummy/summon_djinni_smelter occultism:smelt_tier2 occultism:spawn_egg/djinni occultism:summon_djinni occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_cleaner | occultism:ritual | c:chests minecraft:dispenser minecraft:hopper occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_cleaner occultism:brush occultism:cleaner occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_cleaner occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_crusher | occultism:ritual | c:ingots/copper c:ingots/gold c:ingots/iron c:ingots/silver occultism:book_of_binding_bound_foliot occultism:crush_tier1 occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_crusher occultism:spawn_egg/foliot occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_crystallizer | occultism:ritual | c:dusts/amethyst c:dusts/emerald c:dusts/lapis occultism:book_of_binding_bound_foliot occultism:crystal_tier1 occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_crystallizer occultism:spawn_egg/foliot occultism:spirit_attuned_crystal occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_farmer | occultism:ritual | minecraft:carrot minecraft:hoes minecraft:potato minecraft:wheat occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_farmer occultism:datura occultism:farmer occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_farmer occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_lumberjack | occultism:ritual | minecraft:axes minecraft:birch_sapling minecraft:oak_sapling minecraft:spruce_sapling occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_lumberjack occultism:foliot occultism:lumberjack occultism:otherworld_sapling occultism:ritual occultism:ritual_dummy/summon_foliot_lumberjack occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_otherrock_trader | occultism:ritual | minecraft:calcite minecraft:deepslate minecraft:dripstone_block minecraft:magma_block occultism:book_of_binding_bound_foliot occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_otherrock_trader occultism:spawn_egg/foliot occultism:summon_foliot occultism:summon_spirit_with_job occultism:trader_otherrock
occultism:ritual/summon_foliot_otherstone_trader | occultism:ritual | minecraft:andesite minecraft:diorite minecraft:granite minecraft:stone occultism:book_of_binding_bound_foliot occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_otherstone_trader occultism:spawn_egg/foliot occultism:summon_foliot occultism:summon_spirit_with_job occultism:trader_otherstone
occultism:ritual/summon_foliot_sapling_trader | occultism:ritual | minecraft:birch_sapling minecraft:jungle_sapling minecraft:oak_sapling minecraft:spruce_sapling occultism:book_of_binding_bound_foliot occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_sapling_trader occultism:spawn_egg/foliot occultism:summon_foliot occultism:summon_spirit_with_job occultism:trader_otherworld_saplings
occultism:ritual/summon_foliot_smelter | occultism:ritual | minecraft:campfire minecraft:coals minecraft:furnace occultism:book_of_binding_bound_foliot occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_smelter occultism:smelt_tier1 occultism:spawn_egg/foliot occultism:summon_foliot occultism:summon_spirit_with_job
occultism:ritual/summon_foliot_transport_items | occultism:ritual | c:chests minecraft:dispenser minecraft:hopper minecraft:minecart occultism:book_of_binding_bound_foliot occultism:book_of_calling_foliot_transport_items occultism:foliot occultism:ritual occultism:ritual_dummy/summon_foliot_transport_items occultism:summon_foliot occultism:summon_spirit_with_job occultism:transport_items
occultism:ritual/summon_marid_crusher | occultism:ritual | c:storage_blocks/diamond c:storage_blocks/emerald c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:ghast_tear occultism:book_of_binding_bound_marid occultism:crush_tier4 occultism:marid occultism:ritual occultism:ritual_dummy/summon_marid_crusher occultism:spawn_egg/marid occultism:summon_marid occultism:summon_spirit_with_job
occultism:ritual/summon_marid_crystallizer | occultism:ritual | c:storage_blocks/iesnium minecraft:budding_amethyst minecraft:sculk_catalyst minecraft:sea_lantern occultism:book_of_binding_bound_marid occultism:crystal_tier4 occultism:gray_paste occultism:marid occultism:ritual occultism:ritual_dummy/summon_marid_crystallizer occultism:spawn_egg/marid occultism:summon_marid occultism:summon_spirit_with_job
occultism:ritual/summon_marid_smelter | occultism:ritual | c:storage_blocks/coal c:storage_blocks/gold c:storage_blocks/iesnium minecraft:crying_obsidian minecraft:dragon_breath occultism:book_of_binding_bound_marid occultism:marid occultism:ritual occultism:ritual_dummy/summon_marid_smelter occultism:smelt_tier4 occultism:spawn_egg/marid occultism:spirit_campfire occultism:summon_marid occultism:summon_spirit_with_job
occultism:ritual/summon_unbound_afrit | occultism:ritual | c:cows c:gunpowders c:ingots/iesnium c:netherracks minecraft:flint_and_steel occultism:afrit_essence occultism:afrit_wild occultism:book_of_binding_bound_afrit occultism:ritual occultism:ritual_dummy/summon_unbound_afrit occultism:summon occultism:summon_unbound_afrit
occultism:ritual/summon_unbound_marid | occultism:ritual | c:gems/prismarine minecraft:conduit minecraft:ghast_tear minecraft:prismarine_shard minecraft:trident occultism:book_of_binding_bound_marid occultism:marid_essence occultism:marid_unbound occultism:ritual occultism:ritual_dummy/summon_unbound_marid occultism:summon occultism:summon_unbound_marid
occultism:ritual/summon_wondering_trader | occultism:ritual | c:gems/emerald occultism:book_of_binding_bound_djinni occultism:otherworld_essence occultism:ritual occultism:ritual_dummy/summon_wondering_trader occultism:spawn_egg/wondering_trader occultism:summon occultism:summon_djinni occultism:wondering_trader
occultism:ritual/wild_breeze | occultism:ritual | minecraft:copper_bulb minecraft:trial_key minecraft:tuff_bricks occultism:contact_wild_spirit occultism:humans occultism:possessed_breeze occultism:ritual occultism:ritual_dummy/wild_breeze occultism:spawn_egg/wild_breeze occultism:summon_wild
occultism:ritual/wild_creeper | occultism:ritual | c:pigs minecraft:flint_and_steel minecraft:leaves minecraft:moss_block minecraft:tnt occultism:contact_wild_spirit occultism:ritual occultism:ritual_dummy/wild_creeper occultism:spawn_egg/wild_horde_creeper occultism:summon_wild occultism:wild_horde_creeper
occultism:ritual/wild_drowned | occultism:ritual | c:fish minecraft:dried_kelp_block minecraft:fishing_rod minecraft:gravel minecraft:pufferfish occultism:contact_wild_spirit occultism:ritual occultism:ritual_dummy/wild_drowned occultism:spawn_egg/wild_horde_drowned occultism:summon_wild occultism:wild_horde_drowned
occultism:ritual/wild_horde_illager | occultism:ritual | c:dusts/emerald minecraft:dark_oak_log minecraft:golden_apple occultism:contact_wild_spirit occultism:humans occultism:possessed_evoker occultism:ritual occultism:ritual_dummy/wild_horde_illager occultism:spawn_egg/wild_evoker occultism:summon_wild
occultism:ritual/wild_hunt | occultism:ritual | c:gems/diamond c:netherracks c:storage_blocks/copper c:storage_blocks/gold c:storage_blocks/silver minecraft:skeleton_skull minecraft:soul_fire_base_blocks occultism:contact_wild_spirit occultism:humans occultism:ritual occultism:ritual_dummy/wild_hunt occultism:spawn_egg/wild_hunt_wither_skeleton occultism:summon_wild occultism:wild_hunt_wither_skeleton
occultism:ritual/wild_husk | occultism:ritual | c:camels minecraft:dead_bush minecraft:gold_ingot minecraft:pickaxes minecraft:rotten_flesh minecraft:sandstone occultism:contact_wild_spirit occultism:ritual occultism:ritual_dummy/wild_husk occultism:spawn_egg/wild_horde_husk occultism:summon_wild occultism:wild_horde_husk
occultism:ritual/wild_random_animal_common | occultism:ritual | c:crops c:seeds minecraft:egg occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:random_animals_common occultism:ritual occultism:ritual_dummy/wild_random_animal_common occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_random_animal_rideable | occultism:ritual | c:crops/cactus c:storage_blocks/wheat minecraft:apple minecraft:carrot minecraft:experience_bottle minecraft:golden_apple minecraft:golden_carrot minecraft:warped_fungus occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:random_animals_rideable occultism:ritual occultism:ritual_dummy/wild_random_animal_rideable occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_random_animal_small | occultism:ritual | c:feathers c:nuggets/iron c:strings minecraft:egg minecraft:sugar occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:random_animals_small occultism:ritual occultism:ritual_dummy/wild_random_animal_small occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_random_animal_special | occultism:ritual | c:mushroom_blocks c:storage_blocks/iron minecraft:bamboo_block minecraft:moss_block minecraft:packed_ice minecraft:terracotta minecraft:wind_charge minecraft:wool occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:random_animals_special occultism:ritual occultism:ritual_dummy/wild_random_animal_special occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_random_animal_water | occultism:ritual | minecraft:clay minecraft:kelp minecraft:mud minecraft:seagrass minecraft:snowball occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:random_animals_water occultism:ritual occultism:ritual_dummy/wild_random_animal_water occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_silverfish | occultism:ritual | minecraft:brush minecraft:egg minecraft:gravel minecraft:sand minecraft:terracotta occultism:contact_wild_spirit occultism:ritual occultism:ritual_dummy/wild_silverfish occultism:spawn_egg/wild_horde_silverfish occultism:summon_wild occultism:wild_horde_silverfish
occultism:ritual/wild_strong_breeze | occultism:ritual | minecraft:breeze_rod minecraft:copper_bulb minecraft:ominous_bottle minecraft:ominous_trial_key minecraft:tuff_bricks occultism:contact_wild_spirit occultism:humans occultism:possessed_strong_breeze occultism:ritual occultism:ritual_dummy/wild_strong_breeze occultism:spawn_egg/wild_strong_breeze occultism:summon_wild
