recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/holly | modern_industrialization:packer | biomeswevegone:stripped_holly_log biomeswevegone:stripped_holly_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/ironwood | modern_industrialization:packer | biomeswevegone:stripped_ironwood_log biomeswevegone:stripped_ironwood_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/jacaranda | modern_industrialization:packer | biomeswevegone:stripped_jacaranda_log biomeswevegone:stripped_jacaranda_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/mahogany | modern_industrialization:packer | biomeswevegone:stripped_mahogany_log biomeswevegone:stripped_mahogany_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/maple | modern_industrialization:packer | biomeswevegone:stripped_maple_log biomeswevegone:stripped_maple_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/palm | modern_industrialization:packer | biomeswevegone:stripped_palm_log biomeswevegone:stripped_palm_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/pine | modern_industrialization:packer | biomeswevegone:stripped_pine_log biomeswevegone:stripped_pine_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/rainbow_eucalyptus | modern_industrialization:packer | biomeswevegone:stripped_rainbow_eucalyptus_log biomeswevegone:stripped_rainbow_eucalyptus_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/redwood | modern_industrialization:packer | biomeswevegone:stripped_redwood_log biomeswevegone:stripped_redwood_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/sakura | modern_industrialization:packer | biomeswevegone:stripped_sakura_log biomeswevegone:stripped_sakura_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/skyris | modern_industrialization:packer | biomeswevegone:stripped_skyris_log biomeswevegone:stripped_skyris_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/spirit | modern_industrialization:packer | biomeswevegone:stripped_spirit_log biomeswevegone:stripped_spirit_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/white_mangrove | modern_industrialization:packer | biomeswevegone:stripped_white_mangrove_log biomeswevegone:stripped_white_mangrove_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/willow | modern_industrialization:packer | biomeswevegone:stripped_willow_log biomeswevegone:stripped_willow_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/witch_hazel | modern_industrialization:packer | biomeswevegone:stripped_witch_hazel_log biomeswevegone:stripped_witch_hazel_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/stripped_wood/zelkova | modern_industrialization:packer | biomeswevegone:stripped_zelkova_log biomeswevegone:stripped_zelkova_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/aspen | modern_industrialization:packer | biomeswevegone:aspen_log biomeswevegone:aspen_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/baobab | modern_industrialization:packer | biomeswevegone:baobab_log biomeswevegone:baobab_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/blue_enchanted | modern_industrialization:packer | biomeswevegone:blue_enchanted_log biomeswevegone:blue_enchanted_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/cika | modern_industrialization:packer | biomeswevegone:cika_log biomeswevegone:cika_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/cypress | modern_industrialization:packer | biomeswevegone:cypress_log biomeswevegone:cypress_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/ebony | modern_industrialization:packer | biomeswevegone:ebony_log biomeswevegone:ebony_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/fir | modern_industrialization:packer | biomeswevegone:fir_log biomeswevegone:fir_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/florus | modern_industrialization:packer | biomeswevegone:florus_stem biomeswevegone:florus_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/green_enchanted | modern_industrialization:packer | biomeswevegone:green_enchanted_log biomeswevegone:green_enchanted_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/holly | modern_industrialization:packer | biomeswevegone:holly_log biomeswevegone:holly_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/ironwood | modern_industrialization:packer | biomeswevegone:ironwood_log biomeswevegone:ironwood_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/jacaranda | modern_industrialization:packer | biomeswevegone:jacaranda_log biomeswevegone:jacaranda_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/mahogany | modern_industrialization:packer | biomeswevegone:mahogany_log biomeswevegone:mahogany_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/maple | modern_industrialization:packer | biomeswevegone:maple_log biomeswevegone:maple_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/palm | modern_industrialization:packer | biomeswevegone:palm_log biomeswevegone:palm_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/pine | modern_industrialization:packer | biomeswevegone:pine_log biomeswevegone:pine_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/rainbow_eucalyptus | modern_industrialization:packer | biomeswevegone:rainbow_eucalyptus_log biomeswevegone:rainbow_eucalyptus_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/redwood | modern_industrialization:packer | biomeswevegone:redwood_log biomeswevegone:redwood_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/sakura | modern_industrialization:packer | biomeswevegone:sakura_log biomeswevegone:sakura_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/skyris | modern_industrialization:packer | biomeswevegone:skyris_log biomeswevegone:skyris_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/spirit | modern_industrialization:packer | biomeswevegone:spirit_log biomeswevegone:spirit_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/white_mangrove | modern_industrialization:packer | biomeswevegone:white_mangrove_log biomeswevegone:white_mangrove_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/willow | modern_industrialization:packer | biomeswevegone:willow_log biomeswevegone:willow_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/witch_hazel | modern_industrialization:packer | biomeswevegone:witch_hazel_log biomeswevegone:witch_hazel_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/biomeswevegone/wood/zelkova | modern_industrialization:packer | biomeswevegone:zelkova_log biomeswevegone:zelkova_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/aspen | modern_industrialization:packer | bloomingnature:stripped_aspen_log bloomingnature:stripped_aspen_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/baobab | modern_industrialization:packer | bloomingnature:stripped_baobab_log bloomingnature:stripped_baobab_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/chestnut | modern_industrialization:packer | bloomingnature:stripped_chestnut_log bloomingnature:stripped_chestnut_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/ebony | modern_industrialization:packer | bloomingnature:stripped_ebony_log bloomingnature:stripped_ebony_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/fan_palm | modern_industrialization:packer | bloomingnature:stripped_fan_palm_log bloomingnature:stripped_fan_palm_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/fir | modern_industrialization:packer | bloomingnature:stripped_fir_log bloomingnature:stripped_fir_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/larch | modern_industrialization:packer | bloomingnature:stripped_larch_log bloomingnature:stripped_larch_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/swamp_cypress | modern_industrialization:packer | bloomingnature:stripped_swamp_cypress_log bloomingnature:stripped_swamp_cypress_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/stripped_wood/swamp_oak | modern_industrialization:packer | bloomingnature:stripped_swamp_oak_log bloomingnature:stripped_swamp_oak_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/aspen | modern_industrialization:packer | bloomingnature:aspen_log bloomingnature:aspen_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/baobab | modern_industrialization:packer | bloomingnature:baobab_log bloomingnature:baobab_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/chestnut | modern_industrialization:packer | bloomingnature:chestnut_log bloomingnature:chestnut_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/ebony | modern_industrialization:packer | bloomingnature:ebony_log bloomingnature:ebony_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/fan_palm | modern_industrialization:packer | bloomingnature:fan_palm_log bloomingnature:fan_palm_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/fir | modern_industrialization:packer | bloomingnature:fir_log bloomingnature:fir_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/larch | modern_industrialization:packer | bloomingnature:larch_log bloomingnature:larch_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/swamp_cypress | modern_industrialization:packer | bloomingnature:swamp_cypress_log bloomingnature:swamp_cypress_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/bloomingnature/wood/swamp_oak | modern_industrialization:packer | bloomingnature:swamp_oak_log bloomingnature:swamp_oak_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cataclysm/block/ancient_metal | modern_industrialization:packer | cataclysm:ancient_metal_block cataclysm:ancient_metal_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cataclysm/block/cursium | modern_industrialization:packer | cataclysm:cursium_block cataclysm:cursium_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cataclysm/block/ignitium | modern_industrialization:packer | cataclysm:ignitium_block cataclysm:ignitium_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cataclysm/block/witherite | modern_industrialization:packer | cataclysm:witherite_block cataclysm:witherite_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/dawn_stone | modern_industrialization:packer | cobblemon:dawn_stone cobblemon:dawn_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/dusk_stone | modern_industrialization:packer | cobblemon:dusk_stone cobblemon:dusk_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/fire_stone | modern_industrialization:packer | cobblemon:fire_stone cobblemon:fire_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/ice_stone | modern_industrialization:packer | cobblemon:ice_stone cobblemon:ice_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/leaf_stone | modern_industrialization:packer | cobblemon:leaf_stone cobblemon:leaf_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/moon_stone | modern_industrialization:packer | cobblemon:moon_stone cobblemon:moon_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/shiny_stone | modern_industrialization:packer | cobblemon:shiny_stone cobblemon:shiny_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/sun_stone | modern_industrialization:packer | cobblemon:sun_stone cobblemon:sun_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/thunder_stone | modern_industrialization:packer | cobblemon:thunder_stone cobblemon:thunder_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/block/water_stone | modern_industrialization:packer | cobblemon:water_stone cobblemon:water_stone_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/misc/relic_coin_pouch | modern_industrialization:packer | cobblemon:relic_coin cobblemon:relic_coin_pouch modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/misc/relic_coin_sack | modern_industrialization:packer | cobblemon:relic_coin_pouch cobblemon:relic_coin_sack modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/stripped_wood/apricorn | modern_industrialization:packer | cobblemon:stripped_apricorn_log cobblemon:stripped_apricorn_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/stripped_wood/saccharine | modern_industrialization:packer | cobblemon:stripped_saccharine_log cobblemon:stripped_saccharine_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/wood/apricorn | modern_industrialization:packer | cobblemon:apricorn_log cobblemon:apricorn_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/cobblemon/wood/saccharine | modern_industrialization:packer | cobblemon:saccharine_log cobblemon:saccharine_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/block/skyjade | modern_industrialization:packer | deep_aether:skyjade deep_aether:skyjade_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/block/stratus | modern_industrialization:packer | deep_aether:stratus_block deep_aether:stratus_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/stripped_wood/conberry | modern_industrialization:packer | deep_aether:stripped_conberry_log deep_aether:stripped_conberry_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/stripped_wood/cruderoot | modern_industrialization:packer | deep_aether:stripped_cruderoot_log deep_aether:stripped_cruderoot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/stripped_wood/roseroot | modern_industrialization:packer | deep_aether:stripped_roseroot_log deep_aether:stripped_roseroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/stripped_wood/sunroot | modern_industrialization:packer | deep_aether:stripped_sunroot_log deep_aether:stripped_sunroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/stripped_wood/yagroot | modern_industrialization:packer | deep_aether:stripped_yagroot_log deep_aether:stripped_yagroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/wood/conberry | modern_industrialization:packer | deep_aether:conberry_log deep_aether:conberry_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/wood/cruderoot | modern_industrialization:packer | deep_aether:cruderoot_log deep_aether:cruderoot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/wood/roseroot | modern_industrialization:packer | deep_aether:roseroot_log deep_aether:roseroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/wood/sunroot | modern_industrialization:packer | deep_aether:sunroot_log deep_aether:sunroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deep_aether/wood/yagroot | modern_industrialization:packer | deep_aether:yagroot_log deep_aether:yagroot_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deeperdarker/stripped_wood/echo | modern_industrialization:packer | deeperdarker:stripped_echo_log deeperdarker:stripped_echo_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/deeperdarker/wood/echo | modern_industrialization:packer | deeperdarker:echo_log deeperdarker:echo_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/aethersent | modern_industrialization:packer | c:ingots/aethersent eternal_starlight:aethersent_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/atalphaite | modern_industrialization:packer | c:gems/atalphaite eternal_starlight:atalphaite_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/glacite | modern_industrialization:packer | c:gems/glacite eternal_starlight:glacite_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/golem_steel | modern_industrialization:packer | c:ingots/golem_steel eternal_starlight:golem_steel_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/malarite | modern_industrialization:packer | c:gems/malarite eternal_starlight:malarite_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/oxidized_golem_steel | modern_industrialization:packer | c:ingots/oxidized_golem_steel eternal_starlight:oxidized_golem_steel_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/saltpeter | modern_industrialization:packer | c:gems/saltpeter eternal_starlight:saltpeter_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/starlit_diamond | modern_industrialization:packer | c:gems/starlit_diamond eternal_starlight:starlit_diamond_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/block/swamp_silver | modern_industrialization:packer | c:ingots/swamp_silver eternal_starlight:swamp_silver_block modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/raw_block/aethersent | modern_industrialization:packer | c:raw_materials/aethersent eternal_starlight:raw_aethersent_block modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/raw_block/amaramber | modern_industrialization:packer | c:raw_materials/amaramber eternal_starlight:raw_amaramber_block modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/jinglestem | modern_industrialization:packer | eternal_starlight:stripped_jinglestem_log eternal_starlight:stripped_jinglestem_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/lunar | modern_industrialization:packer | eternal_starlight:stripped_lunar_log eternal_starlight:stripped_lunar_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/northland | modern_industrialization:packer | eternal_starlight:stripped_northland_log eternal_starlight:stripped_northland_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/scarlet | modern_industrialization:packer | eternal_starlight:stripped_scarlet_log eternal_starlight:stripped_scarlet_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/starlight_mangrove | modern_industrialization:packer | eternal_starlight:stripped_starlight_mangrove_log eternal_starlight:stripped_starlight_mangrove_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/stripped_wood/torreya | modern_industrialization:packer | eternal_starlight:stripped_torreya_log eternal_starlight:stripped_torreya_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/jinglestem | modern_industrialization:packer | eternal_starlight:jinglestem_log eternal_starlight:jinglestem_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/lunar | modern_industrialization:packer | eternal_starlight:lunar_log eternal_starlight:lunar_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/northland | modern_industrialization:packer | eternal_starlight:northland_log eternal_starlight:northland_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/scarlet | modern_industrialization:packer | eternal_starlight:scarlet_log eternal_starlight:scarlet_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/starlight_mangrove | modern_industrialization:packer | eternal_starlight:starlight_mangrove_log eternal_starlight:starlight_mangrove_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/eternal_starlight/wood/torreya | modern_industrialization:packer | eternal_starlight:torreya_log eternal_starlight:torreya_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/evilcraft/stripped_wood/undead | modern_industrialization:packer | evilcraft:undead_log_stripped evilcraft:undead_wood_stripped modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/evilcraft/wood/undead | modern_industrialization:packer | evilcraft:undead_log evilcraft:undead_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/beetroot | modern_industrialization:packer | c:crops/beetroot farmersdelight:beetroot_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/cabbage | modern_industrialization:packer | c:crops/cabbage farmersdelight:cabbage_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/carrot | modern_industrialization:packer | c:crops/carrot farmersdelight:carrot_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/onion | modern_industrialization:packer | c:crops/onion farmersdelight:onion_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/potato | modern_industrialization:packer | c:crops/potato farmersdelight:potato_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/rice_bag | modern_industrialization:packer | c:crops/rice farmersdelight:rice_bag modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/rice_bale | modern_industrialization:packer | farmersdelight:rice_bale farmersdelight:rice_panicle modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/straw_bale | modern_industrialization:packer | farmersdelight:straw farmersdelight:straw_bale modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/farmersdelight/tomato | modern_industrialization:packer | c:crops/tomato farmersdelight:tomato_crate modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/integrateddynamics/crystalized_menril_block | modern_industrialization:packer | integrateddynamics:crystalized_menril_block integrateddynamics:crystalized_menril_chunk modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/integrateddynamics/stripped_wood/menril | modern_industrialization:packer | integrateddynamics:menril_log_stripped integrateddynamics:menril_wood_stripped modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/integrateddynamics/wood/menril | modern_industrialization:packer | integrateddynamics:menril_log integrateddynamics:menril_wood modern_industrialization:packer neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/mca/block/rose_gold | modern_industrialization:packer | mca:rose_gold_block mcca:rose_gold_ingot modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded
recipe_integration:modern_industrialization/packer/nexus/stripped_wood/warpblossom | modern_industrialization:packer | modern_industrialization:packer neoforge:mod_loaded nexus:stripped_warpblossom_log nexus:stripped_warpblossom_wood
recipe_integration:modern_industrialization/packer/nexus/wood/warpblossom | modern_industrialization:packer | modern_industrialization:packer neoforge:mod_loaded nexus:warpblossom_log nexus:warpblossom_wood
recipe_integration:modern_industrialization/packer/occultism/block/iesnium | modern_industrialization:packer | c:ingots/iesnium modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded occultism:iesnium_block
recipe_integration:modern_industrialization/packer/occultism/ingot/iesnium | modern_industrialization:packer | c:nuggets/iesnium modern_industrialization:packer neoforge:mod_loaded occultism:iesnium_ingot
recipe_integration:modern_industrialization/packer/occultism/raw_block/iesnium | modern_industrialization:packer | c:raw_materials/iesnium modern_industrialization:packer neoforge:mod_loaded occultism:raw_iesnium_block
recipe_integration:modern_industrialization/packer/phantasm/stripped_wood/pream | modern_industrialization:packer | modern_industrialization:packer neoforge:mod_loaded phantasm:stripped_pream_log phantasm:stripped_pream_wood
recipe_integration:modern_industrialization/packer/phantasm/wood/pream | modern_industrialization:packer | modern_industrialization:packer neoforge:mod_loaded phantasm:pream_log phantasm:pream_wood
recipe_integration:modern_industrialization/packer/pneumaticcraft/block/compressed_iron | modern_industrialization:packer | c:ingots/compressed_iron modern_industrialization:packer modern_industrialization:packer_block_template neoforge:mod_loaded pneumaticcraft:compressed_iron_block
recipe_integration:modern_industrialization/packer/regions_unexplored/stripped_wood/baobab | modern_industrialization:packer | modern_industrialization:packer neoforge:mod_loaded regions_unexplored:stripped_baobab_log regions_unexplored:stripped_baobab_wood
