mcwroofs:acacia_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_attic_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwroofs:warped_lower_roof | minecraft:crafting_shaped | mcwroofs:warped_lower_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:warped_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_attic_roof minecraft:crafting_shaped minecraft:glass minecraft:warped_planks
mcwroofs:warped_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_lower_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_planks_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_steep_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_planks_top_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_top_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_upper_lower_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:warped_planks_upper_steep_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_planks
mcwroofs:warped_roof | minecraft:crafting_shaped | mcwroofs:warped_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:warped_steep_roof | minecraft:crafting_shaped | mcwroofs:warped_steep_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:warped_top_roof | minecraft:crafting_shaped | mcwroofs:warped_top_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:warped_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:warped_upper_lower_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:warped_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:warped_upper_steep_roof minecraft:crafting_shaped minecraft:stick minecraft:warped_stem
mcwroofs:white_attic_roof | minecraft:stonecutting | mcwroofs:white_attic_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_concrete_attic_roof | minecraft:stonecutting | mcwroofs:white_concrete_attic_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_lower_roof | minecraft:stonecutting | mcwroofs:white_concrete_lower_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_roof | minecraft:stonecutting | mcwroofs:white_concrete_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_steep_roof | minecraft:stonecutting | mcwroofs:white_concrete_steep_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_top_roof | minecraft:stonecutting | mcwroofs:white_concrete_top_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:white_concrete_upper_lower_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:white_concrete_upper_steep_roof minecraft:stonecutting minecraft:white_concrete
mcwroofs:white_lower_roof | minecraft:stonecutting | mcwroofs:white_lower_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_roof | minecraft:stonecutting | mcwroofs:white_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_roof_block | minecraft:stonecutting | mcwroofs:white_roof_block minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_roof_slab | minecraft:stonecutting | mcwroofs:white_roof_slab minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_steep_roof | minecraft:stonecutting | mcwroofs:white_steep_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:white_terracotta_attic_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:white_terracotta_lower_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_roof | minecraft:stonecutting | mcwroofs:white_terracotta_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:white_terracotta_steep_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_top_roof | minecraft:stonecutting | mcwroofs:white_terracotta_top_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:white_terracotta_upper_lower_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:white_terracotta_upper_steep_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_top_roof | minecraft:stonecutting | mcwroofs:white_top_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_upper_lower_roof | minecraft:stonecutting | mcwroofs:white_upper_lower_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:white_upper_steep_roof | minecraft:stonecutting | mcwroofs:white_upper_steep_roof minecraft:stonecutting minecraft:white_terracotta
mcwroofs:yellow_concrete_attic_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_attic_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_lower_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_lower_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_steep_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_steep_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_top_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_top_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_upper_lower_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:yellow_concrete_upper_steep_roof minecraft:stonecutting minecraft:yellow_concrete
mcwroofs:yellow_striped_awning | minecraft:crafting_shaped | mcwroofs:yellow_striped_awning minecraft:crafting_shaped minecraft:white_carpet minecraft:yellow_carpet
mcwroofs:yellow_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_attic_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_lower_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_steep_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_top_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_top_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_upper_lower_roof minecraft:stonecutting minecraft:yellow_terracotta
mcwroofs:yellow_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:yellow_terracotta_upper_steep_roof minecraft:stonecutting minecraft:yellow_terracotta
