create:crushing/bauxite | create:crushing | create:crushing tfmg:bauxite tfmg:bauxite_powder
tfmg:purple_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:purple_caution_block
tfmg:purple_concrete_slab_from_purple_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_concrete tfmg:purple_concrete_slab
tfmg:purple_concrete_stairs_from_purple_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_concrete tfmg:purple_concrete_stairs
tfmg:purple_concrete_wall_from_purple_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_concrete tfmg:purple_concrete_wall
tfmg:purple_rebar_concrete_slab_from_purple_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_rebar_concrete tfmg:purple_rebar_concrete_slab
tfmg:purple_rebar_concrete_stairs_from_purple_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_rebar_concrete tfmg:purple_rebar_concrete_stairs
tfmg:purple_rebar_concrete_wall_from_purple_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:purple_rebar_concrete tfmg:purple_rebar_concrete_wall
tfmg:rebar_concrete_slab_from_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:rebar_concrete tfmg:rebar_concrete_slab
tfmg:rebar_concrete_stairs_from_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:rebar_concrete tfmg:rebar_concrete_stairs
tfmg:rebar_concrete_wall_from_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:rebar_concrete tfmg:rebar_concrete_wall
tfmg:rebar_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:rebar
tfmg:red_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:red_caution_block
tfmg:red_concrete_slab_from_red_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_concrete tfmg:red_concrete_slab
tfmg:red_concrete_stairs_from_red_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_concrete tfmg:red_concrete_stairs
tfmg:red_concrete_wall_from_red_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_concrete tfmg:red_concrete_wall
tfmg:red_rebar_concrete_slab_from_red_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_rebar_concrete tfmg:red_rebar_concrete_slab
tfmg:red_rebar_concrete_stairs_from_red_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_rebar_concrete tfmg:red_rebar_concrete_stairs
tfmg:red_rebar_concrete_wall_from_red_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:red_rebar_concrete tfmg:red_rebar_concrete_wall
tfmg:screw_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:screw
tfmg:sequenced_assembly/capacitor | create:sequenced_assembly | c:plates/copper c:plates/steel create:deploying create:sequenced_assembly minecraft:paper tfmg:capacitor_item tfmg:unfinished_capacitor
tfmg:sequenced_assembly/generator | create:sequenced_assembly | c:plates/steel create:deploying create:sequenced_assembly create:shaft tfmg:capacitor_item tfmg:copper_spool tfmg:generator tfmg:magnet tfmg:screwdriver tfmg:steel_casing tfmg:steel_cogwheel tfmg:steel_mechanism tfmg:unfinished_generator tfmg:winding
tfmg:sequenced_assembly/heavy_plate | create:sequenced_assembly | c:ingots/steel create:pressing create:sequenced_assembly tfmg:heavy_plate tfmg:unprocessed_heavy_plate
tfmg:sequenced_assembly/motor | create:sequenced_assembly | create:deploying create:sequenced_assembly create:shaft tfmg:copper_spool tfmg:electric_motor tfmg:magnet tfmg:nickel_sheet tfmg:screwdriver tfmg:steel_casing tfmg:steel_mechanism tfmg:unfinished_electric_motor tfmg:winding
tfmg:sequenced_assembly/potentiometer | create:sequenced_assembly | c:wires/copper create:deploying create:filling create:sequenced_assembly neoforge:single tfmg:constantan_spool tfmg:electric_post tfmg:heavy_machinery_casing tfmg:lubrication_oil tfmg:potentiometer tfmg:steel_casing tfmg:steel_cogwheel tfmg:unfinished_potentiometer tfmg:winding
tfmg:sequenced_assembly/steel_mechanism | create:sequenced_assembly | create:deploying create:sequenced_assembly minecraft:compass tfmg:heavy_plate tfmg:large_steel_cogwheel tfmg:lead_sheet tfmg:nickel_sheet tfmg:screw tfmg:screwdriver tfmg:steel_cogwheel tfmg:steel_ingot tfmg:steel_mechanism tfmg:unfinished_steel_mechanism
tfmg:sequenced_assembly/transistor | create:sequenced_assembly | c:wires/copper create:deploying create:sequenced_assembly tfmg:n_semiconductor tfmg:p_semiconductor tfmg:plastic_sheet tfmg:silicon_ingot tfmg:transistor_item tfmg:unfinished_transistor
tfmg:sequenced_assembly/unfinished_circuit_board | create:sequenced_assembly | create:deploying create:sequenced_assembly tfmg:capacitor_item tfmg:circuit_board tfmg:etched_circuit_board tfmg:resistor tfmg:transistor_item tfmg:unfinished_circuit_board
tfmg:slag_bricks_from_slag_block_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:slag_block tfmg:slag_bricks
tfmg:small_bauxite_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_bauxite_brick_slab tfmg:small_bauxite_bricks
tfmg:small_bauxite_brick_slab_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_bauxite_brick_slab tfmg:stone_types/bauxite
tfmg:small_bauxite_brick_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:small_bauxite_brick_slab tfmg:small_bauxite_bricks
tfmg:small_bauxite_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_bauxite_brick_stairs tfmg:small_bauxite_bricks
tfmg:small_bauxite_brick_stairs_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_bauxite_brick_stairs tfmg:stone_types/bauxite
tfmg:small_bauxite_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_bauxite_brick_wall tfmg:small_bauxite_bricks
tfmg:small_bauxite_brick_wall_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_bauxite_brick_wall tfmg:stone_types/bauxite
tfmg:small_bauxite_bricks_from_stone_types_bauxite_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_bauxite_bricks tfmg:stone_types/bauxite
tfmg:small_galena_brick_slab | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_galena_brick_slab tfmg:small_galena_bricks
tfmg:small_galena_brick_slab_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_galena_brick_slab tfmg:stone_types/galena
tfmg:small_galena_brick_slab_recycling | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:small_galena_brick_slab tfmg:small_galena_bricks
tfmg:small_galena_brick_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_galena_brick_stairs tfmg:small_galena_bricks
tfmg:small_galena_brick_stairs_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_galena_brick_stairs tfmg:stone_types/galena
tfmg:small_galena_brick_wall | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:small_galena_brick_wall tfmg:small_galena_bricks
tfmg:small_galena_brick_wall_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_galena_brick_wall tfmg:stone_types/galena
tfmg:small_galena_bricks_from_stone_types_galena_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:small_galena_bricks tfmg:stone_types/galena
tfmg:smelting/fireproof_brick | minecraft:smelting | minecraft:smelting tfmg:fireclay_ball tfmg:fireproof_brick
tfmg:smelting/lead_ingot | minecraft:smelting | minecraft:smelting tfmg:lead_ingot tfmg:raw_lead
tfmg:smelting/lead_ingot_blasting | minecraft:smelting | minecraft:smelting tfmg:lead_ingot tfmg:raw_lead
tfmg:smelting/lead_ingot_from_crushed_blasting | minecraft:smelting | create:crushed_raw_lead minecraft:smelting tfmg:lead_ingot
tfmg:smelting/lithium_ingot | minecraft:smelting | minecraft:smelting tfmg:lithium_ingot tfmg:raw_lithium
tfmg:smelting/lithium_ingot_blasting | minecraft:smelting | minecraft:smelting tfmg:lithium_ingot tfmg:raw_lithium
tfmg:smelting/lithium_ingot_from_crushed_blasting | minecraft:smelting | minecraft:smelting tfmg:crushed_raw_lithium tfmg:lithium_ingot
tfmg:smelting/nickel_ingot | minecraft:smelting | minecraft:smelting tfmg:nickel_ingot tfmg:raw_nickel
tfmg:smelting/nickel_ingot_blasting | minecraft:smelting | minecraft:smelting tfmg:nickel_ingot tfmg:raw_nickel
tfmg:smelting/nickel_ingot_from_crushed_blasting | minecraft:smelting | create:crushed_raw_nickel minecraft:smelting tfmg:nickel_ingot
tfmg:smelting/unfinished_insulator | minecraft:smelting | minecraft:smelting tfmg:unfinished_insulator tfmg:unfired_insulator
tfmg:steel_bars_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:steel_bars
tfmg:steel_ladder_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:steel_ladder
tfmg:steel_scaffolding_from_ingots_steel_stonecutting | minecraft:stonecutting | c:ingots/steel minecraft:stonecutting tfmg:steel_scaffolding
tfmg:synthetic_string_from_ingots_rubber_stonecutting | minecraft:stonecutting | c:ingots/rubber minecraft:stonecutting tfmg:synthetic_string
tfmg:turbine_blade | minecraft:crafting_shaped | c:kerosene c:plates/iron create:shaft minecraft:crafting_shaped tfmg:turbine_blade
tfmg:unfired_insulator_from_clay_stonecutting | minecraft:stonecutting | minecraft:clay minecraft:stonecutting tfmg:unfired_insulator
tfmg:vat_machine_recipe/aluminum | tfmg:vat_machine_recipe | tfmg:aluminum_ingot tfmg:aluminum_nugget tfmg:bauxite_powder tfmg:carbon_dioxide tfmg:electrode tfmg:firebrick_lined_vat tfmg:steel_vat tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/arc_furnace_steel | tfmg:vat_machine_recipe | create:crushed_raw_iron tfmg:coal_coke_dust tfmg:firebrick_lined_vat tfmg:flux tfmg:graphite_electrode tfmg:molten_slag tfmg:molten_steel tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/concrete | tfmg:vat_machine_recipe | minecraft:gravel minecraft:sand minecraft:water neoforge:single tfmg:firebrick_lined_vat tfmg:limesand tfmg:liquid_concrete tfmg:mixing tfmg:steel_vat tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/etched_circuit_board | tfmg:vat_machine_recipe | neoforge:single tfmg:coated_circuit_board tfmg:etched_circuit_board tfmg:sulfuric_acid tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/naphtha | tfmg:vat_machine_recipe | neoforge:single tfmg:ethylene tfmg:firebrick_lined_vat tfmg:mixing tfmg:naphtha tfmg:propylene tfmg:steel_vat tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/neon | tfmg:vat_machine_recipe | neoforge:single tfmg:air tfmg:centrifuge tfmg:neon tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/plastic_from_ethylene | tfmg:vat_machine_recipe | neoforge:single tfmg:ethylene tfmg:firebrick_lined_vat tfmg:mixing tfmg:molten_plastic tfmg:steel_vat tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/plastic_from_propylene | tfmg:vat_machine_recipe | neoforge:single tfmg:firebrick_lined_vat tfmg:mixing tfmg:molten_plastic tfmg:propylene tfmg:steel_vat tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/rubber | tfmg:vat_machine_recipe | neoforge:single tfmg:firebrick_lined_vat tfmg:heavy_oil tfmg:mixing tfmg:rubber_sheet tfmg:steel_vat tfmg:sulfur_dust tfmg:vat_machine_recipe
tfmg:vat_machine_recipe/sulfuric_acid | tfmg:vat_machine_recipe | minecraft:water neoforge:single tfmg:firebrick_lined_vat tfmg:mixing tfmg:nitrate_dust tfmg:steel_vat tfmg:sulfur_dust tfmg:sulfuric_acid tfmg:vat_machine_recipe
tfmg:white_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:white_caution_block
tfmg:white_concrete_slab_from_white_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_concrete tfmg:white_concrete_slab
tfmg:white_concrete_stairs_from_white_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_concrete tfmg:white_concrete_stairs
tfmg:white_concrete_wall_from_white_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_concrete tfmg:white_concrete_wall
tfmg:white_rebar_concrete_slab_from_white_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_rebar_concrete tfmg:white_rebar_concrete_slab
tfmg:white_rebar_concrete_stairs_from_white_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_rebar_concrete tfmg:white_rebar_concrete_stairs
tfmg:white_rebar_concrete_wall_from_white_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:white_rebar_concrete tfmg:white_rebar_concrete_wall
tfmg:winding/electromagnetic_coil | tfmg:winding | tfmg:copper_spool tfmg:electromagnetic_coil tfmg:unfinished_electromagnetic_coil tfmg:winding
tfmg:winding/large_coil | tfmg:winding | tfmg:copper_spool tfmg:laminated_magnetic_alloy_block tfmg:large_coil tfmg:winding
tfmg:winding/resistor | tfmg:winding | tfmg:constantan_spool tfmg:resistor tfmg:unfinished_resistor tfmg:winding
tfmg:yellow_caution_block_from_ingots_aluminum_stonecutting | minecraft:stonecutting | c:ingots/aluminum minecraft:stonecutting tfmg:yellow_caution_block
tfmg:yellow_concrete_slab_from_yellow_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_concrete tfmg:yellow_concrete_slab
tfmg:yellow_concrete_stairs_from_yellow_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_concrete tfmg:yellow_concrete_stairs
tfmg:yellow_concrete_wall_from_yellow_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_concrete tfmg:yellow_concrete_wall
tfmg:yellow_rebar_concrete_slab_from_yellow_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_rebar_concrete tfmg:yellow_rebar_concrete_slab
tfmg:yellow_rebar_concrete_stairs_from_yellow_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_rebar_concrete tfmg:yellow_rebar_concrete_stairs
tfmg:yellow_rebar_concrete_wall_from_yellow_rebar_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:yellow_rebar_concrete tfmg:yellow_rebar_concrete_wall
tfmg:zinc_electrode_from_storage_blocks_zinc_stonecutting | minecraft:stonecutting | c:storage_blocks/zinc minecraft:stonecutting tfmg:zinc_electrode
