quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/stonecutting/vertslabs/polished_blackstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:polished_blackstone minecraft:stonecutting quark:polished_blackstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_blackstone_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:blackstone minecraft:stonecutting quark:polished_blackstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_calcite_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_calcite quark:polished_calcite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_calcite_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:calcite minecraft:stonecutting quark:polished_calcite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_deepslate_vertical_slab_from_cobbled_deepslate | minecraft:stonecutting | minecraft:cobbled_deepslate minecraft:stonecutting quark:polished_deepslate_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_deepslate_vertical_slab_from_polished_deepslate | minecraft:stonecutting | minecraft:polished_deepslate minecraft:stonecutting quark:polished_deepslate_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_diorite_vertical_slab2_stonecutter | minecraft:stonecutting | minecraft:diorite minecraft:stonecutting quark:polished_diorite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_diorite_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:polished_diorite minecraft:stonecutting quark:polished_diorite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_dripstone_vertical_slab2 | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting quark:polished_dripstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_dripstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_dripstone quark:polished_dripstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_granite_vertical_slab2_stonecutter | minecraft:stonecutting | minecraft:granite minecraft:stonecutting quark:polished_granite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_granite_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:polished_granite minecraft:stonecutting quark:polished_granite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_jasper_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_jasper quark:polished_jasper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_jasper_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting quark:jasper quark:polished_jasper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_limestone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_limestone quark:polished_limestone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_limestone_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting quark:limestone quark:polished_limestone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_myalite_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_myalite quark:polished_myalite_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_shale_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_shale quark:polished_shale_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_shale_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting quark:polished_shale_vertical_slab quark:shale zeta:flag
quark:building/stonecutting/vertslabs/polished_tuff_vertical_slab2 | minecraft:stonecutting | minecraft:stonecutting minecraft:tuff quark:polished_tuff_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/polished_tuff_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:polished_tuff quark:polished_tuff_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/prismarine_brick_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:prismarine_bricks minecraft:stonecutting quark:prismarine_brick_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/prismarine_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:prismarine minecraft:stonecutting quark:prismarine_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/purple_shingles_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:purple_shingles quark:purple_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/purple_shingles_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:purple_terracotta minecraft:stonecutting neoforge:and quark:purple_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/purpur_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:purpur_block minecraft:stonecutting quark:purpur_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/quartz_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:quartz_block minecraft:stonecutting quark:quartz_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/raw_copper_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_copper_bricks quark:raw_copper_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/raw_gold_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_gold_bricks quark:raw_gold_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/raw_iron_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_iron_bricks quark:raw_iron_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/red_nether_brick_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:red_nether_bricks minecraft:stonecutting quark:red_nether_brick_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/red_sandstone_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_sandstone_bricks quark:red_sandstone_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/red_sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:red_sandstone minecraft:stonecutting quark:red_sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/red_shingles_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:red_shingles quark:red_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/red_shingles_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:red_terracotta minecraft:stonecutting neoforge:and quark:red_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/rusty_iron_plate_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:rusty_iron_plate quark:rusty_iron_plate_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/sandstone_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:sandstone_bricks quark:sandstone_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:sandstone minecraft:stonecutting quark:sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/shale_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:shale_bricks quark:shale_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/shale_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:shale quark:shale_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/shingles_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:shingles quark:shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/shingles_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:terracotta neoforge:and quark:shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/smooth_quartz_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:smooth_quartz minecraft:stonecutting quark:smooth_quartz_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/smooth_red_sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:smooth_red_sandstone minecraft:stonecutting quark:smooth_red_sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/smooth_sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:smooth_sandstone minecraft:stonecutting quark:smooth_sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/smooth_soul_sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:smooth_soul_sandstone quark:smooth_soul_sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/smooth_stone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:smooth_stone minecraft:stonecutting quark:smooth_stone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/soul_sandstone_bricks_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:soul_sandstone_bricks quark:soul_sandstone_bricks_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/soul_sandstone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:soul_sandstone quark:soul_sandstone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/stone_brick_vertical_slab2_stonecutter | minecraft:stonecutting | minecraft:stone_bricks minecraft:stonecutting quark:stone_brick_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/stone_brick_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stone minecraft:stonecutting quark:stone_brick_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/stone_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stone minecraft:stonecutting quark:stone_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/tuff_brick_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting minecraft:tuff_bricks quark:tuff_brick_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/tuff_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting minecraft:tuff quark:tuff_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_cut_copper_vertical_slab_from_waxed_copper_block | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_copper_block quark:waxed_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_cut_copper_vertical_slab_from_waxed_cut_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_cut_copper quark:waxed_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_exposed_cut_copper_vertical_slab_from_waxed_exposed_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_exposed_copper quark:waxed_exposed_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_exposed_cut_copper_vertical_slab_from_waxed_exposed_cut_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_exposed_cut_copper quark:waxed_exposed_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_oxidized_cut_copper_vertical_slab_from_waxed_oxidized_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_oxidized_copper quark:waxed_oxidized_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_oxidized_cut_copper_vertical_slab_from_waxed_oxidized_cut_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_oxidized_cut_copper quark:waxed_oxidized_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_weathered_cut_copper_vertical_slab_from_waxed_weathered_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_weathered_copper quark:waxed_weathered_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/waxed_weathered_cut_copper_vertical_slab_from_waxed_weathered_cut_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:waxed_weathered_cut_copper quark:waxed_weathered_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/weathered_cut_copper_vertical_slab_from_weathered_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:weathered_copper quark:weathered_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/weathered_cut_copper_vertical_slab_from_weathered_cut_copper | minecraft:stonecutting | minecraft:stonecutting minecraft:weathered_cut_copper quark:weathered_cut_copper_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/white_shingles_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:white_shingles quark:white_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/white_shingles_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:white_terracotta neoforge:and quark:white_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/yellow_shingles_vertical_slab_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:yellow_shingles quark:yellow_shingles_vertical_slab zeta:flag
quark:building/stonecutting/vertslabs/yellow_shingles_vertical_slab_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:yellow_terracotta neoforge:and quark:yellow_shingles_vertical_slab zeta:flag
quark:building/stonecutting/walls/blackstone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blackstone_bricks quark:blackstone_bricks_wall zeta:flag
quark:building/stonecutting/walls/blue_nether_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:blue_nether_bricks quark:blue_nether_bricks_wall zeta:flag
quark:building/stonecutting/walls/cobblestone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:cobblestone_bricks quark:cobblestone_bricks_wall zeta:flag
quark:building/stonecutting/walls/dripstone_block_wall_stonecutter | minecraft:stonecutting | minecraft:dripstone_block minecraft:stonecutting quark:dripstone_block_wall zeta:flag
quark:building/stonecutting/walls/dripstone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:dripstone_bricks quark:dripstone_bricks_wall zeta:flag
quark:building/stonecutting/walls/mossy_cobblestone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:mossy_cobblestone_bricks quark:mossy_cobblestone_bricks_wall zeta:flag
quark:building/stonecutting/walls/netherrack_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:netherrack_bricks quark:netherrack_bricks_wall zeta:flag
quark:building/stonecutting/walls/raw_copper_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_copper_bricks quark:raw_copper_bricks_wall zeta:flag
quark:building/stonecutting/walls/raw_gold_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_gold_bricks quark:raw_gold_bricks_wall zeta:flag
quark:building/stonecutting/walls/raw_iron_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:raw_iron_bricks quark:raw_iron_bricks_wall zeta:flag
quark:building/stonecutting/walls/red_sandstone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:red_sandstone_bricks quark:red_sandstone_bricks_wall zeta:flag
quark:building/stonecutting/walls/sandstone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:sandstone_bricks quark:sandstone_bricks_wall zeta:flag
quark:building/stonecutting/walls/soul_sandstone_bricks_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting neoforge:and quark:soul_sandstone_bricks quark:soul_sandstone_bricks_wall zeta:flag
quark:building/stonecutting/walls/soul_sandstone_wall_stonecutter | minecraft:stonecutting | minecraft:stonecutting quark:soul_sandstone quark:soul_sandstone_wall zeta:flag
quark:building/stonecutting/white_shingles_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:white_terracotta quark:white_shingles zeta:flag
quark:building/stonecutting/yellow_shingles_stonecutter2 | minecraft:stonecutting | minecraft:stonecutting minecraft:yellow_terracotta quark:yellow_shingles zeta:flag
quark:dye_item | quark:dye_item | quark:dye_item
quark:experimental/crafting/hammer | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped quark:hammer zeta:flag
quark:mobs/campfire/cooked_crab_leg | minecraft:campfire_cooking | minecraft:campfire_cooking quark:cooked_crab_leg quark:crab_leg
quark:mobs/smelting/cooked_crab_leg | minecraft:smelting | minecraft:smelting quark:cooked_crab_leg quark:crab_leg
quark:mobs/smoking/cooked_crab_leg | minecraft:smoking | minecraft:smoking quark:cooked_crab_leg quark:crab_leg
quark:oddities/crafting/backpack | minecraft:crafting_shaped | c:chests/wooden c:ingots/iron c:leathers minecraft:crafting_shaped neoforge:and quark:backpack quark:ravager_hide zeta:flag
quark:oddities/crafting/backpack_no_hide | minecraft:crafting_shaped | c:chests/wooden c:ingots/iron c:leathers minecraft:crafting_shaped neoforge:and neoforge:not quark:backpack zeta:flag
quark:oddities/crafting/bonded_ravager_hide | minecraft:crafting_shaped | minecraft:crafting_shaped quark:bonded_ravager_hide quark:ravager_hide zeta:flag
quark:oddities/crafting/bonded_ravager_hide_uncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:bonded_ravager_hide quark:ravager_hide zeta:flag
quark:oddities/crafting/crate | minecraft:crafting_shaped | c:chests/wooden c:ingots/iron minecraft:crafting_shaped minecraft:planks quark:crate zeta:flag
quark:oddities/crafting/encased_pipe | minecraft:crafting_shapeless | c:glass_blocks/colorless minecraft:crafting_shapeless quark:encased_pipe quark:pipe zeta:flag
quark:oddities/crafting/encased_pipe_revert | minecraft:crafting_shapeless | minecraft:crafting_shapeless quark:encased_pipe quark:pipe zeta:flag
quark:oddities/crafting/magnet | minecraft:crafting_shaped | c:cobblestones c:dusts/redstone c:dyes/blue c:ingots/iron minecraft:chorus_fruit minecraft:crafting_shaped neoforge:and neoforge:not quark:magnet zeta:flag
quark:oddities/crafting/magnet_pre_end | minecraft:crafting_shaped | c:cobblestones c:dusts/redstone c:dyes/blue c:ingots/copper c:ingots/iron minecraft:crafting_shaped neoforge:and quark:magnet zeta:flag
quark:oddities/crafting/pipe | minecraft:crafting_shaped | c:glass_blocks c:ingots/copper minecraft:crafting_shaped quark:pipe zeta:flag
quark:oddities/crafting/tiny_potato_heart | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:potato neoforge:and neoforge:not quark:diamond_heart quark:tiny_potato zeta:flag
quark:oddities/crafting/tiny_potato_no_heart | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:emerald minecraft:potato neoforge:and neoforge:not neoforge:or quark:tiny_potato zeta:flag
quark:tools/crafting/abacus | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:abacus zeta:flag
quark:tools/crafting/pickarang_heart | minecraft:crafting_shaped | c:gems/diamond minecraft:crafting_shaped minecraft:planks neoforge:and quark:diamond_heart quark:pickarang zeta:flag
quark:tools/crafting/pickarang_no_heart | minecraft:crafting_shaped | c:gems/diamond minecraft:crafting_shaped minecraft:planks neoforge:and neoforge:not neoforge:or quark:pickarang zeta:flag
quark:tools/crafting/rune_duplication | minecraft:crafting_shaped | c:cobblestones minecraft:crafting_shaped quark:corundum quark:smithing_template_rune zeta:flag
quark:tools/crafting/rune_duplication_no_corundum | minecraft:crafting_shaped | c:cobblestones minecraft:amethyst_block minecraft:crafting_shaped neoforge:not quark:smithing_template_rune zeta:flag
quark:tools/crafting/seed_pouch | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather minecraft:string quark:seed_pouch quark:seed_pouch_holdable zeta:flag
quark:tools/crafting/torch_arrow | minecraft:crafting_shapeless | minecraft:arrow minecraft:crafting_shapeless minecraft:torch quark:torch_arrow zeta:flag
quark:tools/crafting/trowel | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped quark:trowel zeta:flag
quark:tools/smelting/trowel_to_iron_nugget | minecraft:smelting | minecraft:iron_nugget minecraft:smelting quark:trowel
quark:tools/smithing/flamerang_smithing | minecraft:smithing_transform | minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform quark:flamerang quark:pickarang
quark:tools/smithing/rune_smithing_black | quark:smithing_rune | c:dyes/black quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_blank | quark:smithing_rune | quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_blue | quark:smithing_rune | c:dyes/blue quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_brown | quark:smithing_rune | c:dyes/brown quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_cyan | quark:smithing_rune | c:dyes/cyan quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_gray | quark:smithing_rune | c:dyes/gray quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_green | quark:smithing_rune | c:dyes/green quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_light_blue | quark:smithing_rune | c:dyes/light_blue quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_light_gray | quark:smithing_rune | c:dyes/light_gray quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_lime | quark:smithing_rune | c:dyes/lime quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_magenta | quark:smithing_rune | c:dyes/magenta quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_orange | quark:smithing_rune | c:dyes/orange quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_pink | quark:smithing_rune | c:dyes/pink quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_purple | quark:smithing_rune | c:dyes/purple quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_rainbow | quark:smithing_rune | minecraft:blaze_powder quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_red | quark:smithing_rune | c:dyes/red quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_white | quark:smithing_rune | c:dyes/white quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tools/smithing/rune_smithing_yellow | quark:smithing_rune | c:dyes/yellow quark:smithing_rune quark:smithing_template_rune zeta:flag
quark:tweaks/blasting/raw_copper_block_blast | minecraft:blasting | minecraft:blasting minecraft:copper_block minecraft:raw_copper_block zeta:flag
quark:tweaks/blasting/raw_copper_bricks_blast | minecraft:blasting | minecraft:blasting minecraft:copper_block neoforge:and quark:raw_copper_bricks zeta:flag
quark:tweaks/blasting/raw_gold_block_blast | minecraft:blasting | minecraft:blasting minecraft:gold_block minecraft:raw_gold_block zeta:flag
quark:tweaks/blasting/raw_gold_bricks_blast | minecraft:blasting | minecraft:blasting minecraft:gold_block neoforge:and quark:raw_gold_bricks zeta:flag
quark:tweaks/blasting/raw_iron_block_blast | minecraft:blasting | minecraft:blasting minecraft:iron_block minecraft:raw_iron_block zeta:flag
quark:tweaks/blasting/raw_iron_bricks_blast | minecraft:blasting | minecraft:blasting minecraft:iron_block neoforge:and quark:raw_iron_bricks zeta:flag
quark:tweaks/crafting/elytra_duplication | quark:elytra_duplication | quark:elytra_duplication zeta:flag
quark:tweaks/crafting/glass/black_glass | minecraft:crafting_shaped | minecraft:black_stained_glass minecraft:crafting_shaped quark:black_shard zeta:flag
quark:tweaks/crafting/glass/blue_glass | minecraft:crafting_shaped | minecraft:blue_stained_glass minecraft:crafting_shaped quark:blue_shard zeta:flag
quark:tweaks/crafting/glass/brown_glass | minecraft:crafting_shaped | minecraft:brown_stained_glass minecraft:crafting_shaped quark:brown_shard zeta:flag
quark:tweaks/crafting/glass/clear_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glass quark:clear_shard zeta:flag
quark:tweaks/crafting/glass/cyan_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_stained_glass quark:cyan_shard zeta:flag
quark:tweaks/crafting/glass/dirty_glass | minecraft:crafting_shaped | minecraft:crafting_shaped quark:dirty_glass quark:dirty_shard zeta:flag
quark:tweaks/crafting/glass/gray_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_stained_glass quark:gray_shard zeta:flag
quark:tweaks/crafting/glass/green_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_stained_glass quark:green_shard zeta:flag
quark:tweaks/crafting/glass/light_blue_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_stained_glass quark:light_blue_shard zeta:flag
quark:tweaks/crafting/glass/light_gray_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_stained_glass quark:light_gray_shard zeta:flag
quark:tweaks/crafting/glass/lime_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_stained_glass quark:lime_shard zeta:flag
quark:tweaks/crafting/glass/magenta_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_stained_glass quark:magenta_shard zeta:flag
quark:tweaks/crafting/glass/mixed_dirty_glass | quark:exclusion | minecraft:crafting_shaped quark:dirty_glass quark:exclusion quark:glass_shard quark:shards quark:tweaks/crafting/glass/black_glass quark:tweaks/crafting/glass/blue_glass quark:tweaks/crafting/glass/brown_glass quark:tweaks/crafting/glass/clear_glass quark:tweaks/crafting/glass/cyan_glass quark:tweaks/crafting/glass/dirty_glass quark:tweaks/crafting/glass/gray_glass quark:tweaks/crafting/glass/green_glass quark:tweaks/crafting/glass/light_blue_glass quark:tweaks/crafting/glass/light_gray_glass quark:tweaks/crafting/glass/lime_glass quark:tweaks/crafting/glass/magenta_glass quark:tweaks/crafting/glass/orange_glass quark:tweaks/crafting/glass/pink_glass quark:tweaks/crafting/glass/purple_glass quark:tweaks/crafting/glass/red_glass quark:tweaks/crafting/glass/white_glass quark:tweaks/crafting/glass/yellow_glass zeta:flag
quark:tweaks/crafting/glass/orange_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_stained_glass quark:orange_shard zeta:flag
quark:tweaks/crafting/glass/pink_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_stained_glass quark:pink_shard zeta:flag
quark:tweaks/crafting/glass/purple_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_stained_glass quark:purple_shard zeta:flag
quark:tweaks/crafting/glass/red_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_stained_glass quark:red_shard zeta:flag
quark:tweaks/crafting/glass/white_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_stained_glass quark:white_shard zeta:flag
quark:tweaks/crafting/glass/yellow_glass | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_stained_glass quark:yellow_shard zeta:flag
quark:tweaks/crafting/panes/dirty_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:dirty_glass quark:dirty_glass_pane zeta:flag
quark:tweaks/crafting/slab_to_block | quark:slab_to_block | quark:slab_to_block zeta:flag
quark:tweaks/crafting/utility/bent/bread | minecraft:crafting_shaped | minecraft:bread minecraft:crafting_shaped minecraft:wheat zeta:flag
quark:tweaks/crafting/utility/bent/cookie | minecraft:crafting_shaped | minecraft:cocoa_beans minecraft:cookie minecraft:crafting_shaped minecraft:wheat zeta:flag
quark:tweaks/crafting/utility/bent/paper | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:paper minecraft:sugar_cane zeta:flag
quark:tweaks/crafting/utility/better_stone_tools/axe | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:stone_axe quark:stone_tool_materials zeta:flag
