butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
extradelight:pbj | minecraft:crafting_shapeless | c:bread/sliced c:jams c:nut_butter extradelight:dynamic_jam extradelight:peanut_butter_jelly minecraft:crafting_shapeless neoforge:components neoforge:compound
extradelight:peanut_from_block | minecraft:crafting_shapeless | extradelight:peanut_sack extradelight:peanuts minecraft:crafting_shapeless
extradelight:peanut_in_shell_from_block | minecraft:crafting_shapeless | extradelight:peanut_in_shell_sack extradelight:peanuts_in_shell minecraft:crafting_shapeless
extradelight:peanut_in_shell_to_block | minecraft:crafting_shapeless | c:crops/peanut extradelight:peanut_in_shell_sack minecraft:crafting_shapeless
extradelight:peanut_to_block | minecraft:crafting_shapeless | c:crops/peanut/shelled extradelight:peanut_sack minecraft:crafting_shapeless
extradelight:penne_pasta | extradelight:dough_shaping | c:dough extradelight:dough_shaping extradelight:penne
extradelight:pestle_andesite | minecraft:crafting_shaped | extradelight:pestle_andesite minecraft:andesite minecraft:crafting_shaped minecraft:stick
extradelight:pestle_basalt | minecraft:crafting_shaped | extradelight:pestle_basalt minecraft:basalt minecraft:crafting_shaped minecraft:stick
extradelight:pestle_blackstone | minecraft:crafting_shaped | extradelight:pestle_blackstone minecraft:blackstone minecraft:crafting_shaped minecraft:stick
extradelight:pestle_deepslate | minecraft:crafting_shaped | extradelight:pestle_deepslate minecraft:crafting_shaped minecraft:deepslate minecraft:stick
extradelight:pestle_diorite | minecraft:crafting_shaped | extradelight:pestle_diorite minecraft:crafting_shaped minecraft:diorite minecraft:stick
extradelight:pestle_endstone | minecraft:crafting_shaped | extradelight:pestle_endstone minecraft:crafting_shaped minecraft:end_stone minecraft:stick
extradelight:pestle_granite | minecraft:crafting_shaped | extradelight:pestle_granite minecraft:crafting_shaped minecraft:granite minecraft:stick
extradelight:pestle_stone | minecraft:crafting_shaped | extradelight:pestle_stone minecraft:crafting_shaped minecraft:stick minecraft:stone
extradelight:pickle_juice_from_bucket | minecraft:crafting_shapeless | extradelight:pickle_juice extradelight:pickle_juice_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:pickle_juice_to_bucket | minecraft:crafting_shapeless | extradelight:pickle_juice extradelight:pickle_juice_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:picnic_basket_black | minecraft:crafting_shaped | extradelight:black_picnic_basket extradelight:gingham_carpet_black farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_blue | minecraft:crafting_shaped | extradelight:blue_picnic_basket extradelight:gingham_carpet_blue farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_brown | minecraft:crafting_shaped | extradelight:brown_picnic_basket extradelight:gingham_carpet_brown farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_cyan | minecraft:crafting_shaped | extradelight:cyan_picnic_basket extradelight:gingham_carpet_cyan farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_gray | minecraft:crafting_shaped | extradelight:gingham_carpet_gray extradelight:gray_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_green | minecraft:crafting_shaped | extradelight:gingham_carpet_green extradelight:green_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_light_blue | minecraft:crafting_shaped | extradelight:gingham_carpet_light_blue extradelight:light_blue_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_light_gray | minecraft:crafting_shaped | extradelight:gingham_carpet_light_gray extradelight:light_gray_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_lime | minecraft:crafting_shaped | extradelight:gingham_carpet_lime extradelight:lime_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_magenta | minecraft:crafting_shaped | extradelight:gingham_carpet_magenta extradelight:magenta_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_orange | minecraft:crafting_shaped | extradelight:gingham_carpet_orange extradelight:orange_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_pink | minecraft:crafting_shaped | extradelight:gingham_carpet_pink extradelight:pink_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_purple | minecraft:crafting_shaped | extradelight:gingham_carpet_purple extradelight:purple_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_red | minecraft:crafting_shaped | extradelight:gingham_carpet_red extradelight:red_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_white | minecraft:crafting_shaped | extradelight:gingham_carpet_white extradelight:white_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:picnic_basket_yellow | minecraft:crafting_shaped | extradelight:gingham_carpet_yellow extradelight:yellow_picnic_basket farmersdelight:basket minecraft:crafting_shaped minecraft:stick
extradelight:pie_dish | minecraft:crafting_shapeless | extradelight:pie_dish minecraft:crafting_shapeless minecraft:heavy_weighted_pressure_plate minecraft:iron_nugget
extradelight:pink_chocolate_box | minecraft:crafting_shapeless | c:chests c:dyes/pink c:ribbon extradelight:pink_chocolate_box minecraft:crafting_shapeless minecraft:paper
extradelight:pork_tenderloin_sandwich | minecraft:crafting_shapeless | c:condiments c:foods/bread c:gravy extradelight:pork_tenderloin extradelight:pork_tenderloin_sandwich minecraft:crafting_shapeless
extradelight:pork_tenderloin_sandwich_bread_slice | minecraft:crafting_shaped | c:bread/sliced c:condiments c:gravy extradelight:pork_tenderloin extradelight:pork_tenderloin_sandwich minecraft:crafting_shaped
extradelight:pumpkin_cheesecake_slice | minecraft:crafting_shaped | extradelight:pumpkin_cheesecake extradelight:pumpkin_cheesecake_slice minecraft:crafting_shaped
extradelight:punch | minecraft:crafting_shaped | c:buckets/water extradelight:processed/fruit extradelight:punch_feast extradelight:sweetener minecraft:bowl minecraft:crafting_shaped
extradelight:purple_chocolate_box | minecraft:crafting_shapeless | c:chests c:dyes/purple c:ribbon extradelight:purple_chocolate_box minecraft:crafting_shapeless minecraft:paper
extradelight:quiche_slice | minecraft:crafting_shaped | extradelight:quiche extradelight:quiche_slice minecraft:crafting_shaped
extradelight:raw_cinnamon_from_block | minecraft:crafting_shapeless | extradelight:raw_cinnamon extradelight:raw_cinnamon_block minecraft:crafting_shapeless
extradelight:raw_cinnamon_to_block | minecraft:crafting_shapeless | extradelight:raw_cinnamon extradelight:raw_cinnamon_block minecraft:crafting_shapeless
extradelight:raw_gingerbread_alex | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_alex
extradelight:raw_gingerbread_creeper | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_creeper
extradelight:raw_gingerbread_diamond | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_diamond
extradelight:raw_gingerbread_emerald | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_emerald
extradelight:raw_gingerbread_pickaxe | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_pickaxe
extradelight:raw_gingerbread_steve | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_steve
extradelight:raw_gingerbread_sword | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_sword
extradelight:raw_gingerbread_villager | extradelight:dough_shaping | c:cookie_dough/gingerbread extradelight:dough_shaping extradelight:raw_gingerbread_villager
extradelight:raw_pasta | extradelight:dough_shaping | c:dough extradelight:dough_shaping farmersdelight:raw_pasta
extradelight:raw_sugar_cookie_alex | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_alex
extradelight:raw_sugar_cookie_creeper | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_creeper
extradelight:raw_sugar_cookie_diamond | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_diamond
extradelight:raw_sugar_cookie_emerald | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_emerald
extradelight:raw_sugar_cookie_pickaxe | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_pickaxe
extradelight:raw_sugar_cookie_steve | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_steve
extradelight:raw_sugar_cookie_sword | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_sword
extradelight:raw_sugar_cookie_villager | extradelight:dough_shaping | c:cookie_dough/sugar extradelight:dough_shaping extradelight:raw_sugar_cookie_villager
extradelight:red_chocolate_box | minecraft:crafting_shapeless | c:chests c:dyes/red c:ribbon extradelight:red_chocolate_box minecraft:crafting_shapeless minecraft:paper
extradelight:red_mushroom_from_block | minecraft:crafting_shapeless | extradelight:red_mushroom_crate minecraft:crafting_shapeless minecraft:red_mushroom
extradelight:red_mushroom_to_block | minecraft:crafting_shapeless | extradelight:red_mushroom_crate minecraft:crafting_shapeless minecraft:red_mushroom
extradelight:ribbon_bow_black | minecraft:crafting_shaped | extradelight:ribbon_bow_black minecraft:black_wool minecraft:crafting_shaped
extradelight:ribbon_bow_blue | minecraft:crafting_shaped | extradelight:ribbon_bow_blue minecraft:blue_wool minecraft:crafting_shaped
extradelight:ribbon_bow_brown | minecraft:crafting_shaped | extradelight:ribbon_bow_brown minecraft:brown_wool minecraft:crafting_shaped
extradelight:ribbon_bow_cyan | minecraft:crafting_shaped | extradelight:ribbon_bow_cyan minecraft:crafting_shaped minecraft:cyan_wool
extradelight:ribbon_bow_gray | minecraft:crafting_shaped | extradelight:ribbon_bow_gray minecraft:crafting_shaped minecraft:gray_wool
extradelight:ribbon_bow_green | minecraft:crafting_shaped | extradelight:ribbon_bow_green minecraft:crafting_shaped minecraft:green_wool
extradelight:ribbon_bow_light_blue | minecraft:crafting_shaped | extradelight:ribbon_bow_light_blue minecraft:crafting_shaped minecraft:light_blue_wool
extradelight:ribbon_bow_light_gray | minecraft:crafting_shaped | extradelight:ribbon_bow_light_gray minecraft:crafting_shaped minecraft:light_gray_wool
extradelight:ribbon_bow_lime | minecraft:crafting_shaped | extradelight:ribbon_bow_lime minecraft:crafting_shaped minecraft:lime_wool
extradelight:ribbon_bow_magenta | minecraft:crafting_shaped | extradelight:ribbon_bow_magenta minecraft:crafting_shaped minecraft:magenta_wool
extradelight:ribbon_bow_orange | minecraft:crafting_shaped | extradelight:ribbon_bow_orange minecraft:crafting_shaped minecraft:orange_wool
extradelight:ribbon_bow_pink | minecraft:crafting_shaped | extradelight:ribbon_bow_pink minecraft:crafting_shaped minecraft:pink_wool
extradelight:ribbon_bow_purple | minecraft:crafting_shaped | extradelight:ribbon_bow_purple minecraft:crafting_shaped minecraft:purple_wool
extradelight:ribbon_bow_red | minecraft:crafting_shaped | extradelight:ribbon_bow_red minecraft:crafting_shaped minecraft:red_wool
extradelight:ribbon_bow_white | minecraft:crafting_shaped | extradelight:ribbon_bow_white minecraft:crafting_shaped minecraft:white_wool
extradelight:ribbon_bow_yellow | minecraft:crafting_shaped | extradelight:ribbon_bow_yellow minecraft:crafting_shaped minecraft:yellow_wool
extradelight:riceball | minecraft:crafting_shapeless | extradelight:fish_flakes extradelight:riceball farmersdelight:cooked_rice minecraft:crafting_shapeless minecraft:dried_kelp
extradelight:riceball_filled | minecraft:crafting_shapeless | extradelight:fish_flakes extradelight:riceball_filled extradelight:riceball_filling farmersdelight:cooked_rice minecraft:crafting_shapeless minecraft:dried_kelp
extradelight:roasted_cocoa_beans_from_block | minecraft:crafting_shapeless | extradelight:roasted_cocoa_bean_sack extradelight:roasted_cocoa_beans minecraft:crafting_shapeless
extradelight:roasted_cocoa_beans_to_block | minecraft:crafting_shapeless | c:cocoa_beans/roasted extradelight:roasted_cocoa_bean_sack minecraft:crafting_shapeless
extradelight:roasted_hazelnut_from_block | minecraft:crafting_shapeless | extradelight:roasted_hazelnut_sack extradelight:roasted_hazelnuts minecraft:crafting_shapeless
extradelight:roasted_hazelnut_to_block | minecraft:crafting_shapeless | c:crops/hazelnut/cooked extradelight:roasted_hazelnut_sack minecraft:crafting_shapeless
extradelight:roasted_peanut_from_block | minecraft:crafting_shapeless | extradelight:roasted_peanut_sack extradelight:roasted_peanuts minecraft:crafting_shapeless
extradelight:roasted_peanut_to_block | minecraft:crafting_shapeless | c:crops/peanut/cooked extradelight:roasted_peanut_sack minecraft:crafting_shapeless
extradelight:salt_from_block | minecraft:crafting_shapeless | extradelight:salt extradelight:salt_block_item minecraft:crafting_shapeless
extradelight:salt_to_block | minecraft:crafting_shapeless | extradelight:salt extradelight:salt_block_item minecraft:crafting_shapeless
extradelight:serving_pot | minecraft:crafting_shapeless | extradelight:serving_pot minecraft:crafting_shapeless minecraft:heavy_weighted_pressure_plate minecraft:iron_nugget
extradelight:sheet | minecraft:crafting_shapeless | extradelight:sheet minecraft:crafting_shapeless minecraft:heavy_weighted_pressure_plate
extradelight:smelting/cactus_smelt | minecraft:smelting | extradelight:cactus extradelight:cooked_cactus minecraft:smelting
extradelight:smelting/cooked_wheat_seeds_smelt | minecraft:smelting | extradelight:cooked_wheat_seeds minecraft:smelting minecraft:wheat_seeds
extradelight:smelting/corn_cob_smelt | minecraft:smelting | c:crops/corn extradelight:grilled_corn_on_cob minecraft:smelting
extradelight:smelting/crisp_rice_smelt | minecraft:smelting | c:crops/rice extradelight:crisp_rice minecraft:smelting
extradelight:smelting/egg_mix_smelt | minecraft:smelting | extradelight:egg_mix extradelight:scrambled_eggs minecraft:smelting
extradelight:smelting/gingerbread_alex_smelt | minecraft:smelting | extradelight:gingerbread_alex extradelight:raw_gingerbread_alex minecraft:smelting
extradelight:smelting/gingerbread_creeper_smelt | minecraft:smelting | extradelight:gingerbread_creeper extradelight:raw_gingerbread_creeper minecraft:smelting
extradelight:smelting/gingerbread_diamond_smelt | minecraft:smelting | extradelight:gingerbread_diamond extradelight:raw_gingerbread_diamond minecraft:smelting
extradelight:smelting/gingerbread_emerald_smelt | minecraft:smelting | extradelight:gingerbread_emerald extradelight:raw_gingerbread_emerald minecraft:smelting
extradelight:smelting/gingerbread_pickaxe_smelt | minecraft:smelting | extradelight:gingerbread_pickaxe extradelight:raw_gingerbread_pickaxe minecraft:smelting
extradelight:smelting/gingerbread_steve_smelt | minecraft:smelting | extradelight:gingerbread_steve extradelight:raw_gingerbread_steve minecraft:smelting
extradelight:smelting/gingerbread_sword_smelt | minecraft:smelting | extradelight:gingerbread_sword extradelight:raw_gingerbread_sword minecraft:smelting
extradelight:smelting/gingerbread_villager_smelt | minecraft:smelting | extradelight:gingerbread_villager extradelight:raw_gingerbread_villager minecraft:smelting
extradelight:smelting/grilled_cheese_smelt | minecraft:smelting | extradelight:cheese_sandwich extradelight:grilled_cheese minecraft:smelting
extradelight:smelting/hashbrowns_smelt | minecraft:smelting | extradelight:grated_potato extradelight:hashbrowns minecraft:smelting
extradelight:smelting/omelette_mix_smelt | minecraft:smelting | extradelight:omelette extradelight:omelette_mix minecraft:smelting
extradelight:smelting/popcorn_smelt | minecraft:smelting | c:seeds/corn extradelight:popcorn minecraft:smelting
extradelight:smelting/pumpkin_seeds_smelt | minecraft:smelting | extradelight:roasted_pumpkin_seeds minecraft:pumpkin_seeds minecraft:smelting
extradelight:smelting/roasted_apple_smelt | minecraft:smelting | extradelight:roasted_apple minecraft:apple minecraft:smelting
extradelight:smelting/roasted_carrot_smelt | minecraft:smelting | extradelight:roasted_carrot minecraft:carrot minecraft:smelting
extradelight:smelting/roasted_cocoa_beans_smelt | minecraft:smelting | extradelight:roasted_cocoa_beans minecraft:cocoa_beans minecraft:smelting
extradelight:smelting/roasted_coffee_beans_smelt | minecraft:smelting | c:crops/coffee/green extradelight:coffee_beans minecraft:smelting
extradelight:smelting/roasted_hazelnuts_smelt | minecraft:smelting | c:crops/hazelnut/shelled extradelight:roasted_hazelnuts minecraft:smelting
extradelight:smelting/roasted_peanuts_smelt | minecraft:smelting | c:crops/peanut/shelled extradelight:roasted_peanuts minecraft:smelting
extradelight:smelting/sugar_cookie_alex_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_alex extradelight:sugar_cookie_alex minecraft:smelting
extradelight:smelting/sugar_cookie_creeper_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_creeper extradelight:sugar_cookie_creeper minecraft:smelting
extradelight:smelting/sugar_cookie_diamond_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_diamond extradelight:sugar_cookie_diamond minecraft:smelting
extradelight:smelting/sugar_cookie_emerald_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_emerald extradelight:sugar_cookie_emerald minecraft:smelting
extradelight:smelting/sugar_cookie_pickaxe_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_pickaxe extradelight:sugar_cookie_pickaxe minecraft:smelting
extradelight:smelting/sugar_cookie_steve_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_steve extradelight:sugar_cookie_steve minecraft:smelting
extradelight:smelting/sugar_cookie_sword_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_sword extradelight:sugar_cookie_sword minecraft:smelting
extradelight:smelting/sugar_cookie_villager_smelt | minecraft:smelting | extradelight:raw_sugar_cookie_villager extradelight:sugar_cookie_villager minecraft:smelting
extradelight:smelting/toast_smelt | minecraft:smelting | extradelight:bread_slice extradelight:toast minecraft:smelting
extradelight:smoking/cactus_smoke | minecraft:smoking | extradelight:cactus extradelight:cooked_cactus minecraft:smoking
extradelight:smoking/cooked_wheat_seeds_smoke | minecraft:smoking | extradelight:cooked_wheat_seeds minecraft:smoking minecraft:wheat_seeds
extradelight:smoking/corn_cob_smoke | minecraft:smoking | c:crops/corn extradelight:grilled_corn_on_cob minecraft:smoking
extradelight:smoking/crisp_rice_smoke | minecraft:smoking | c:crops/rice extradelight:crisp_rice minecraft:smoking
extradelight:smoking/egg_mix_smoke | minecraft:smoking | extradelight:egg_mix extradelight:scrambled_eggs minecraft:smoking
extradelight:smoking/gingerbread_alex_smoke | minecraft:smoking | extradelight:gingerbread_alex extradelight:raw_gingerbread_alex minecraft:smoking
extradelight:smoking/gingerbread_creeper_smoke | minecraft:smoking | extradelight:gingerbread_creeper extradelight:raw_gingerbread_creeper minecraft:smoking
extradelight:smoking/gingerbread_diamond_smoke | minecraft:smoking | extradelight:gingerbread_diamond extradelight:raw_gingerbread_diamond minecraft:smoking
extradelight:smoking/gingerbread_emerald_smoke | minecraft:smoking | extradelight:gingerbread_emerald extradelight:raw_gingerbread_emerald minecraft:smoking
extradelight:smoking/gingerbread_pickaxe_smoke | minecraft:smoking | extradelight:gingerbread_pickaxe extradelight:raw_gingerbread_pickaxe minecraft:smoking
extradelight:smoking/gingerbread_steve_smoke | minecraft:smoking | extradelight:gingerbread_steve extradelight:raw_gingerbread_steve minecraft:smoking
extradelight:smoking/gingerbread_sword_smoke | minecraft:smoking | extradelight:gingerbread_sword extradelight:raw_gingerbread_sword minecraft:smoking
extradelight:smoking/gingerbread_villager_smoke | minecraft:smoking | extradelight:gingerbread_villager extradelight:raw_gingerbread_villager minecraft:smoking
extradelight:smoking/grilled_cheese_smoke | minecraft:smoking | extradelight:cheese_sandwich extradelight:grilled_cheese minecraft:smoking
extradelight:smoking/hashbrowns_smoke | minecraft:smoking | extradelight:grated_potato extradelight:hashbrowns minecraft:smoking
extradelight:smoking/omelette_mix_smoke | minecraft:smoking | extradelight:omelette extradelight:omelette_mix minecraft:smoking
extradelight:smoking/popcorn_smoke | minecraft:smoking | c:seeds/corn extradelight:popcorn minecraft:smoking
extradelight:smoking/pumpkin_seeds_smoke | minecraft:smoking | extradelight:roasted_pumpkin_seeds minecraft:pumpkin_seeds minecraft:smoking
extradelight:smoking/roasted_apple_smoke | minecraft:smoking | extradelight:roasted_apple minecraft:apple minecraft:smoking
extradelight:smoking/roasted_carrot_smoke | minecraft:smoking | extradelight:roasted_carrot minecraft:carrot minecraft:smoking
extradelight:smoking/roasted_cocoa_beans_smoke | minecraft:smoking | extradelight:roasted_cocoa_beans minecraft:cocoa_beans minecraft:smoking
extradelight:smoking/roasted_coffee_beans_smoke | minecraft:smoking | c:crops/coffee/green extradelight:coffee_beans minecraft:smoking
extradelight:smoking/roasted_hazelnuts_smoke | minecraft:smoking | c:crops/hazelnut/shelled extradelight:roasted_hazelnuts minecraft:smoking
extradelight:smoking/roasted_peanuts_smoke | minecraft:smoking | c:crops/peanut/shelled extradelight:roasted_peanuts minecraft:smoking
extradelight:smoking/sugar_cookie_alex_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_alex extradelight:sugar_cookie_alex minecraft:smoking
extradelight:smoking/sugar_cookie_creeper_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_creeper extradelight:sugar_cookie_creeper minecraft:smoking
extradelight:smoking/sugar_cookie_diamond_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_diamond extradelight:sugar_cookie_diamond minecraft:smoking
extradelight:smoking/sugar_cookie_emerald_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_emerald extradelight:sugar_cookie_emerald minecraft:smoking
extradelight:smoking/sugar_cookie_pickaxe_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_pickaxe extradelight:sugar_cookie_pickaxe minecraft:smoking
extradelight:smoking/sugar_cookie_steve_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_steve extradelight:sugar_cookie_steve minecraft:smoking
extradelight:smoking/sugar_cookie_sword_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_sword extradelight:sugar_cookie_sword minecraft:smoking
extradelight:smoking/sugar_cookie_villager_smoke | minecraft:smoking | extradelight:raw_sugar_cookie_villager extradelight:sugar_cookie_villager minecraft:smoking
extradelight:smoking/toast_smoke | minecraft:smoking | extradelight:bread_slice extradelight:toast minecraft:smoking
extradelight:smore | minecraft:crafting_shapeless | c:chocolate/bar c:graham_cracker c:marshmallow extradelight:smore minecraft:crafting_shapeless
extradelight:soybean_from_block | minecraft:crafting_shapeless | extradelight:soybean_sack_item extradelight:soybeans minecraft:crafting_shapeless
extradelight:soybean_to_block | minecraft:crafting_shapeless | c:crops/soybean extradelight:soybean_sack_item minecraft:crafting_shapeless
extradelight:spruce_dried_corn_fence | minecraft:crafting_shapeless | extradelight:dried_corn_husk extradelight:spruce_dried_corn_fence minecraft:crafting_shapeless minecraft:spruce_fence
extradelight:spruce_dried_corn_fence_back | minecraft:crafting_shapeless | extradelight:spruce_dried_corn_fence minecraft:crafting_shapeless minecraft:spruce_fence
extradelight:spruce_food_display | minecraft:crafting_shaped | extradelight:spruce_food_display minecraft:crafting_shaped minecraft:spruce_slab minecraft:stick
extradelight:spruce_knife_block | minecraft:crafting_shaped | c:tools/knife extradelight:spruce_knife_block minecraft:crafting_shaped minecraft:spruce_slab
extradelight:spruce_molded_black_wallpaper | minecraft:crafting_shapeless | c:dyes/black extradelight:spruce_molded_black_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/blue extradelight:spruce_molded_blue_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_brown_wallpaper | minecraft:crafting_shapeless | c:dyes/brown extradelight:spruce_molded_brown_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_cyan_wallpaper | minecraft:crafting_shapeless | c:dyes/cyan extradelight:spruce_molded_cyan_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/gray extradelight:spruce_molded_gray_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_green_wallpaper | minecraft:crafting_shapeless | c:dyes/green extradelight:spruce_molded_green_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_light_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:spruce_molded_light_blue_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_light_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:spruce_molded_light_gray_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_lime_wallpaper | minecraft:crafting_shapeless | c:dyes/lime extradelight:spruce_molded_lime_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_magenta_wallpaper | minecraft:crafting_shapeless | c:dyes/magenta extradelight:spruce_molded_magenta_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_orange_wallpaper | minecraft:crafting_shapeless | c:dyes/orange extradelight:spruce_molded_orange_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_pink_wallpaper | minecraft:crafting_shapeless | c:dyes/pink extradelight:spruce_molded_pink_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_purple_wallpaper | minecraft:crafting_shapeless | c:dyes/purple extradelight:spruce_molded_purple_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_red_wallpaper | minecraft:crafting_shapeless | c:dyes/red extradelight:spruce_molded_red_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_white_wallpaper | minecraft:crafting_shapeless | c:dyes/white extradelight:spruce_molded_white_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_molded_yellow_wallpaper | minecraft:crafting_shapeless | c:dyes/yellow extradelight:spruce_molded_yellow_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:spruce_slab
extradelight:spruce_spice_rack | minecraft:crafting_shaped | extradelight:spruce_spice_rack minecraft:crafting_shaped minecraft:iron_bars minecraft:spruce_slab minecraft:stick
extradelight:spruce_spice_rack_full | minecraft:crafting_shapeless | extradelight:spruce_spice_rack extradelight:spruce_spice_rack_full minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:spruce_step_stool | minecraft:crafting_shaped | extradelight:spruce_step_stool minecraft:crafting_shaped minecraft:spruce_slab minecraft:stick
extradelight:spruce_wreath | minecraft:crafting_shaped | extradelight:spruce_wreath minecraft:crafting_shaped minecraft:spruce_leaves
extradelight:square_pan | minecraft:crafting_shapeless | extradelight:square_pan minecraft:crafting_shapeless minecraft:heavy_weighted_pressure_plate minecraft:iron_nugget
extradelight:steak_pickled_onion_pie_slice | minecraft:crafting_shaped | extradelight:steak_pickled_onion_pie_item extradelight:steak_pickled_onion_pie_slice minecraft:crafting_shaped
extradelight:stone_spoon | minecraft:crafting_shaped | c:stones extradelight:stone_spoon minecraft:crafting_shaped minecraft:stick
extradelight:stripped_cinnamon_wood | minecraft:crafting_shaped | extradelight:stripped_cinnamon_log extradelight:strippedcinnamon_wood minecraft:crafting_shaped
extradelight:stripped_fruit_wood | minecraft:crafting_shaped | extradelight:stripped_fruit_log extradelight:stripped_fruit_wood minecraft:crafting_shaped
