create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:milling/compat/environmental/yellow_hibiscus | create:milling | create:milling environmental:yellow_hibiscus minecraft:yellow_dye neoforge:compound neoforge:mod_loaded
create:milling/compat/regions_unexplored/alpha_dandelion | create:milling | create:milling minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:alpha_dandelion
create:milling/compat/regions_unexplored/alpha_rose | create:milling | create:milling minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:alpha_rose
create:milling/compat/regions_unexplored/aster | create:milling | create:milling minecraft:light_blue_dye minecraft:light_gray_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded regions_unexplored:aster
create:milling/compat/regions_unexplored/black_snowbelle | create:milling | create:milling minecraft:black_dye neoforge:compound neoforge:mod_loaded regions_unexplored:black_snowbelle
create:milling/compat/regions_unexplored/bleeding_heart | create:milling | create:milling minecraft:magenta_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded regions_unexplored:bleeding_heart
create:milling/compat/regions_unexplored/blue_lupine | create:milling | create:milling minecraft:blue_dye neoforge:compound neoforge:mod_loaded regions_unexplored:blue_lupine
create:milling/compat/regions_unexplored/blue_snowbelle | create:milling | create:milling minecraft:blue_dye neoforge:compound neoforge:mod_loaded regions_unexplored:blue_snowbelle
create:milling/compat/regions_unexplored/brown_snowbelle | create:milling | create:milling minecraft:brown_dye neoforge:compound neoforge:mod_loaded regions_unexplored:brown_snowbelle
create:milling/compat/regions_unexplored/cactus_flower | create:milling | create:milling minecraft:green_dye minecraft:magenta_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded regions_unexplored:cactus_flower
create:milling/compat/regions_unexplored/cyan_snowbelle | create:milling | create:milling minecraft:cyan_dye neoforge:compound neoforge:mod_loaded regions_unexplored:cyan_snowbelle
create:milling/compat/regions_unexplored/daisy | create:milling | create:milling minecraft:light_gray_dye minecraft:white_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:daisy
create:milling/compat/regions_unexplored/day_lily | create:milling | create:milling minecraft:lime_dye minecraft:orange_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:day_lily
create:milling/compat/regions_unexplored/dorcel | create:milling | create:milling minecraft:black_dye minecraft:brown_dye neoforge:compound neoforge:mod_loaded regions_unexplored:dorcel
create:milling/compat/regions_unexplored/felicia_daisy | create:milling | create:milling minecraft:blue_dye minecraft:light_blue_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded regions_unexplored:felicia_daisy
create:milling/compat/regions_unexplored/fireweed | create:milling | create:milling minecraft:magenta_dye neoforge:compound neoforge:mod_loaded regions_unexplored:fireweed
create:milling/compat/regions_unexplored/glistering_bloom | create:milling | create:milling minecraft:light_blue_dye minecraft:magenta_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded regions_unexplored:glistering_bloom
create:milling/compat/regions_unexplored/gray_snowbelle | create:milling | create:milling minecraft:gray_dye neoforge:compound neoforge:mod_loaded regions_unexplored:gray_snowbelle
create:milling/compat/regions_unexplored/green_snowbelle | create:milling | create:milling minecraft:green_dye neoforge:compound neoforge:mod_loaded regions_unexplored:green_snowbelle
create:milling/compat/regions_unexplored/hibiscus | create:milling | create:milling minecraft:red_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:hibiscus
create:milling/compat/regions_unexplored/hyssop | create:milling | create:milling minecraft:green_dye minecraft:magenta_dye minecraft:purple_dye neoforge:compound neoforge:mod_loaded regions_unexplored:hyssop
create:milling/compat/regions_unexplored/light_blue_snowbelle | create:milling | create:milling minecraft:light_blue_dye neoforge:compound neoforge:mod_loaded regions_unexplored:light_blue_snowbelle
create:milling/compat/regions_unexplored/light_gray_snowbelle | create:milling | create:milling minecraft:light_gray_dye neoforge:compound neoforge:mod_loaded regions_unexplored:light_gray_snowbelle
create:milling/compat/regions_unexplored/lime_snowbelle | create:milling | create:milling minecraft:lime_dye neoforge:compound neoforge:mod_loaded regions_unexplored:lime_snowbelle
create:milling/compat/regions_unexplored/magenta_snowbelle | create:milling | create:milling minecraft:magenta_dye neoforge:compound neoforge:mod_loaded regions_unexplored:magenta_snowbelle
create:milling/compat/regions_unexplored/mallow | create:milling | create:milling minecraft:lime_dye minecraft:orange_dye neoforge:compound neoforge:mod_loaded regions_unexplored:mallow
create:milling/compat/regions_unexplored/orange_coneflower | create:milling | create:milling minecraft:orange_dye neoforge:compound neoforge:mod_loaded regions_unexplored:orange_coneflower
create:milling/compat/regions_unexplored/orange_snowbelle | create:milling | create:milling minecraft:orange_dye neoforge:compound neoforge:mod_loaded regions_unexplored:orange_snowbelle
create:milling/compat/regions_unexplored/pink_lupine | create:milling | create:milling minecraft:pink_dye neoforge:compound neoforge:mod_loaded regions_unexplored:pink_lupine
create:milling/compat/regions_unexplored/pink_snowbelle | create:milling | create:milling minecraft:pink_dye neoforge:compound neoforge:mod_loaded regions_unexplored:pink_snowbelle
create:milling/compat/regions_unexplored/poppy_bush | create:milling | create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:poppy_bush
create:milling/compat/regions_unexplored/purple_coneflower | create:milling | create:milling minecraft:purple_dye neoforge:compound neoforge:mod_loaded regions_unexplored:purple_coneflower
create:milling/compat/regions_unexplored/purple_lupine | create:milling | create:milling minecraft:purple_dye neoforge:compound neoforge:mod_loaded regions_unexplored:purple_lupine
create:milling/compat/regions_unexplored/purple_snowbelle | create:milling | create:milling minecraft:purple_dye neoforge:compound neoforge:mod_loaded regions_unexplored:purple_snowbelle
create:milling/compat/regions_unexplored/red_lupine | create:milling | create:milling minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:red_lupine
create:milling/compat/regions_unexplored/red_snowbelle | create:milling | create:milling minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:red_snowbelle
create:milling/compat/regions_unexplored/salmon_poppy_bush | create:milling | create:milling minecraft:green_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded regions_unexplored:salmon_poppy_bush
create:milling/compat/regions_unexplored/tassel | create:milling | create:milling minecraft:light_gray_dye minecraft:white_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:tassel
create:milling/compat/regions_unexplored/tsubaki | create:milling | create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:tsubaki
create:milling/compat/regions_unexplored/waratah | create:milling | create:milling minecraft:green_dye minecraft:red_dye neoforge:compound neoforge:mod_loaded regions_unexplored:waratah
create:milling/compat/regions_unexplored/white_snowbelle | create:milling | create:milling minecraft:white_dye neoforge:compound neoforge:mod_loaded regions_unexplored:white_snowbelle
create:milling/compat/regions_unexplored/white_trillium | create:milling | create:milling minecraft:light_gray_dye minecraft:white_dye minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:white_trillium
create:milling/compat/regions_unexplored/wilting_trillium | create:milling | create:milling minecraft:brown_dye minecraft:light_gray_dye neoforge:compound neoforge:mod_loaded regions_unexplored:wilting_trillium
create:milling/compat/regions_unexplored/yellow_lupine | create:milling | create:milling minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:yellow_lupine
create:milling/compat/regions_unexplored/yellow_snowbelle | create:milling | create:milling minecraft:yellow_dye neoforge:compound neoforge:mod_loaded regions_unexplored:yellow_snowbelle
create:milling/compat/supplementaries/flax | create:milling | create:milling minecraft:string neoforge:compound neoforge:mod_loaded supplementaries:flax supplementaries:flax_seeds
create:milling/compat/tconstruct/nercotic_bone | create:milling | create:milling minecraft:black_dye minecraft:bone_meal neoforge:compound neoforge:mod_loaded tconstruct:necrotic_bone
create:milling/compat/upgrade_aquatic/flowering_rush | create:milling | create:milling minecraft:pink_dye neoforge:compound neoforge:mod_loaded upgrade_aquatic:flowering_rush
create:milling/compat/upgrade_aquatic/pink_searocket | create:milling | create:milling minecraft:green_dye minecraft:pink_dye neoforge:compound neoforge:mod_loaded upgrade_aquatic:pink_searocket
create:milling/compat/upgrade_aquatic/white_searocket | create:milling | create:milling minecraft:green_dye minecraft:white_dye neoforge:compound neoforge:mod_loaded upgrade_aquatic:white_searocket
create:milling/cornflower | create:milling | create:milling minecraft:blue_dye minecraft:cornflower
create:milling/dandelion | create:milling | create:milling minecraft:dandelion minecraft:yellow_dye
create:milling/dripstone_block | create:milling | create:milling minecraft:clay_ball minecraft:dripstone_block
create:milling/fern | create:milling | create:milling minecraft:fern minecraft:green_dye minecraft:wheat_seeds
create:milling/granite | create:milling | create:milling minecraft:granite minecraft:red_sand
create:milling/gravel | create:milling | create:milling minecraft:flint minecraft:gravel
create:milling/ink_sac | create:milling | create:milling minecraft:black_dye minecraft:gray_dye minecraft:ink_sac
create:milling/lapis_lazuli | create:milling | create:milling minecraft:blue_dye minecraft:lapis_lazuli
create:milling/large_fern | create:milling | create:milling minecraft:green_dye minecraft:large_fern minecraft:wheat_seeds
create:milling/lilac | create:milling | create:milling minecraft:lilac minecraft:magenta_dye minecraft:purple_dye
create:milling/lily_of_the_valley | create:milling | create:milling minecraft:lily_of_the_valley minecraft:lime_dye minecraft:white_dye
create:milling/orange_tulip | create:milling | create:milling minecraft:lime_dye minecraft:orange_dye minecraft:orange_tulip
create:milling/oxeye_daisy | create:milling | create:milling minecraft:light_gray_dye minecraft:oxeye_daisy minecraft:white_dye minecraft:yellow_dye
create:milling/peony | create:milling | create:milling minecraft:magenta_dye minecraft:peony minecraft:pink_dye
create:milling/pink_petals | create:milling | create:milling minecraft:lime_dye minecraft:pink_dye minecraft:pink_petals
create:milling/pink_tulip | create:milling | create:milling minecraft:lime_dye minecraft:pink_dye minecraft:pink_tulip
create:milling/pitcher_plant | create:milling | create:milling minecraft:cyan_dye minecraft:pitcher_plant minecraft:purple_dye
create:milling/poppy | create:milling | create:milling minecraft:green_dye minecraft:poppy minecraft:red_dye
create:milling/red_tulip | create:milling | create:milling minecraft:lime_dye minecraft:red_dye minecraft:red_tulip
create:milling/rose_bush | create:milling | create:milling minecraft:green_dye minecraft:red_dye minecraft:rose_bush
create:milling/saddle | create:milling | create:milling minecraft:leather minecraft:saddle
create:milling/sandstone | create:milling | create:milling minecraft:sand minecraft:sandstone
create:milling/sea_pickle | create:milling | create:milling minecraft:green_dye minecraft:lime_dye minecraft:sea_pickle
create:milling/short_grass | create:milling | create:milling minecraft:short_grass minecraft:wheat_seeds
create:milling/sugar_cane | create:milling | create:milling minecraft:sugar minecraft:sugar_cane
create:milling/sunflower | create:milling | create:milling minecraft:orange_dye minecraft:sunflower minecraft:yellow_dye
create:milling/tall_grass | create:milling | create:milling minecraft:tall_grass minecraft:wheat_seeds
create:milling/terracotta | create:milling | create:milling minecraft:red_sand minecraft:terracotta
create:milling/torchflower | create:milling | create:milling minecraft:green_dye minecraft:orange_dye minecraft:torchflower
create:milling/wheat | create:milling | create:milling create:wheat_flour minecraft:wheat minecraft:wheat_seeds
create:milling/white_tulip | create:milling | create:milling minecraft:lime_dye minecraft:white_dye minecraft:white_tulip
create:milling/wither_rose | create:milling | create:milling minecraft:black_dye minecraft:wither_rose
create:milling/wool | create:milling | create:milling minecraft:string minecraft:wool
create:mixing/andesite_alloy | create:mixing | c:nuggets/iron create:andesite_alloy create:mixing minecraft:andesite
create:mixing/andesite_alloy_from_zinc | create:mixing | c:nuggets/zinc create:andesite_alloy create:mixing minecraft:andesite
create:mixing/brass_ingot | create:mixing | c:ingots/copper c:ingots/zinc create:brass_ingot create:mixing
create:mixing/cardboard_pulp | create:mixing | create:mixing create:pulp create:pulpifiable minecraft:water neoforge:single
create:mixing/chocolate | create:mixing | c:milk create:chocolate create:mixing minecraft:cocoa_beans minecraft:sugar neoforge:tag
create:mixing/chocolate_melting | create:mixing | create:bar_of_chocolate create:chocolate create:mixing
create:mixing/compat/ae2/fluix_crystal | create:mixing | ae2:charged_certus_quartz_crystal ae2:fluix_crystal c:dusts/redstone c:gems/quartz create:mixing minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single
create:mixing/compat/regions_unexplored/peat_mud | create:mixing | create:mixing minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single regions_unexplored:peat_dirt regions_unexplored:peat_mud
create:mixing/compat/regions_unexplored/silt_mud | create:mixing | create:mixing minecraft:water neoforge:compound neoforge:mod_loaded neoforge:single regions_unexplored:silt_dirt regions_unexplored:silt_mud
create:mixing/dough_by_mixing | create:mixing | c:flours/wheat create:dough create:mixing minecraft:water neoforge:single
create:mixing/honey | create:mixing | create:honey create:mixing minecraft:honey_block
create:mixing/lava_from_cobble | create:mixing | c:cobblestones create:mixing minecraft:lava
create:mixing/mud_by_mixing | create:mixing | create:mixing minecraft:convertable_to_mud minecraft:mud minecraft:water neoforge:block_tag neoforge:single
create:mixing/tea | create:mixing | c:milk create:mixing create:tea minecraft:leaves minecraft:water neoforge:single neoforge:tag
create:oak_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:oak_window minecraft:crafting_shaped minecraft:oak_planks
create:oak_window_pane | minecraft:crafting_shaped | create:oak_window create:oak_window_pane minecraft:crafting_shaped
create:ochrum_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:ochrum create:stone_types/ochrum minecraft:stonecutting
create:ochrum_pillar_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:ochrum_pillar create:stone_types/ochrum minecraft:stonecutting
create:ornate_iron_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:ornate_iron_window minecraft:crafting_shaped minecraft:iron_nugget
create:ornate_iron_window_pane | minecraft:crafting_shaped | create:ornate_iron_window create:ornate_iron_window_pane minecraft:crafting_shaped
create:oxidized_copper_shingle_slab | minecraft:crafting_shaped | create:oxidized_copper_shingle_slab create:oxidized_copper_shingles minecraft:crafting_shaped
create:oxidized_copper_shingle_slab_from_oxidized_copper_shingles_stonecutting | minecraft:stonecutting | create:oxidized_copper_shingle_slab create:oxidized_copper_shingles minecraft:stonecutting
create:oxidized_copper_shingle_stairs | minecraft:crafting_shaped | create:oxidized_copper_shingle_stairs create:oxidized_copper_shingles minecraft:crafting_shaped
create:oxidized_copper_shingle_stairs_from_oxidized_copper_shingles_stonecutting | minecraft:stonecutting | create:oxidized_copper_shingle_stairs create:oxidized_copper_shingles minecraft:stonecutting
create:oxidized_copper_tile_slab | minecraft:crafting_shaped | create:oxidized_copper_tile_slab create:oxidized_copper_tiles minecraft:crafting_shaped
create:oxidized_copper_tile_slab_from_oxidized_copper_tiles_stonecutting | minecraft:stonecutting | create:oxidized_copper_tile_slab create:oxidized_copper_tiles minecraft:stonecutting
create:oxidized_copper_tile_stairs | minecraft:crafting_shaped | create:oxidized_copper_tile_stairs create:oxidized_copper_tiles minecraft:crafting_shaped
create:oxidized_copper_tile_stairs_from_oxidized_copper_tiles_stonecutting | minecraft:stonecutting | create:oxidized_copper_tile_stairs create:oxidized_copper_tiles minecraft:stonecutting
create:polished_cut_andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:polished_cut_andesite create:stone_types/andesite minecraft:stonecutting
create:polished_cut_andesite_slab | minecraft:crafting_shaped | create:polished_cut_andesite create:polished_cut_andesite_slab minecraft:crafting_shaped
create:polished_cut_andesite_slab_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:polished_cut_andesite_slab create:stone_types/andesite minecraft:stonecutting
create:polished_cut_andesite_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_andesite create:polished_cut_andesite_slab minecraft:crafting_shapeless
create:polished_cut_andesite_stairs | minecraft:crafting_shaped | create:polished_cut_andesite create:polished_cut_andesite_stairs minecraft:crafting_shaped
create:polished_cut_andesite_stairs_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:polished_cut_andesite_stairs create:stone_types/andesite minecraft:stonecutting
create:polished_cut_andesite_wall | minecraft:crafting_shaped | create:polished_cut_andesite create:polished_cut_andesite_wall minecraft:crafting_shaped
create:polished_cut_andesite_wall_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:polished_cut_andesite_wall create:stone_types/andesite minecraft:stonecutting
create:polished_cut_asurine_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:polished_cut_asurine create:stone_types/asurine minecraft:stonecutting
create:polished_cut_asurine_slab | minecraft:crafting_shaped | create:polished_cut_asurine create:polished_cut_asurine_slab minecraft:crafting_shaped
create:polished_cut_asurine_slab_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:polished_cut_asurine_slab create:stone_types/asurine minecraft:stonecutting
create:polished_cut_asurine_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_asurine create:polished_cut_asurine_slab minecraft:crafting_shapeless
create:polished_cut_asurine_stairs | minecraft:crafting_shaped | create:polished_cut_asurine create:polished_cut_asurine_stairs minecraft:crafting_shaped
create:polished_cut_asurine_stairs_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:polished_cut_asurine_stairs create:stone_types/asurine minecraft:stonecutting
create:polished_cut_asurine_wall | minecraft:crafting_shaped | create:polished_cut_asurine create:polished_cut_asurine_wall minecraft:crafting_shaped
create:polished_cut_asurine_wall_from_stone_types_asurine_stonecutting | minecraft:stonecutting | create:polished_cut_asurine_wall create:stone_types/asurine minecraft:stonecutting
create:polished_cut_calcite_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:polished_cut_calcite create:stone_types/calcite minecraft:stonecutting
create:polished_cut_calcite_slab | minecraft:crafting_shaped | create:polished_cut_calcite create:polished_cut_calcite_slab minecraft:crafting_shaped
create:polished_cut_calcite_slab_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:polished_cut_calcite_slab create:stone_types/calcite minecraft:stonecutting
create:polished_cut_calcite_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_calcite create:polished_cut_calcite_slab minecraft:crafting_shapeless
create:polished_cut_calcite_stairs | minecraft:crafting_shaped | create:polished_cut_calcite create:polished_cut_calcite_stairs minecraft:crafting_shaped
create:polished_cut_calcite_stairs_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:polished_cut_calcite_stairs create:stone_types/calcite minecraft:stonecutting
create:polished_cut_calcite_wall | minecraft:crafting_shaped | create:polished_cut_calcite create:polished_cut_calcite_wall minecraft:crafting_shaped
create:polished_cut_calcite_wall_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:polished_cut_calcite_wall create:stone_types/calcite minecraft:stonecutting
create:polished_cut_crimsite_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:polished_cut_crimsite create:stone_types/crimsite minecraft:stonecutting
create:polished_cut_crimsite_slab | minecraft:crafting_shaped | create:polished_cut_crimsite create:polished_cut_crimsite_slab minecraft:crafting_shaped
create:polished_cut_crimsite_slab_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:polished_cut_crimsite_slab create:stone_types/crimsite minecraft:stonecutting
create:polished_cut_crimsite_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_crimsite create:polished_cut_crimsite_slab minecraft:crafting_shapeless
create:polished_cut_crimsite_stairs | minecraft:crafting_shaped | create:polished_cut_crimsite create:polished_cut_crimsite_stairs minecraft:crafting_shaped
create:polished_cut_crimsite_stairs_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:polished_cut_crimsite_stairs create:stone_types/crimsite minecraft:stonecutting
create:polished_cut_crimsite_wall | minecraft:crafting_shaped | create:polished_cut_crimsite create:polished_cut_crimsite_wall minecraft:crafting_shaped
create:polished_cut_crimsite_wall_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:polished_cut_crimsite_wall create:stone_types/crimsite minecraft:stonecutting
create:polished_cut_deepslate_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:polished_cut_deepslate create:stone_types/deepslate minecraft:stonecutting
create:polished_cut_deepslate_slab | minecraft:crafting_shaped | create:polished_cut_deepslate create:polished_cut_deepslate_slab minecraft:crafting_shaped
create:polished_cut_deepslate_slab_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:polished_cut_deepslate_slab create:stone_types/deepslate minecraft:stonecutting
create:polished_cut_deepslate_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_deepslate create:polished_cut_deepslate_slab minecraft:crafting_shapeless
create:polished_cut_deepslate_stairs | minecraft:crafting_shaped | create:polished_cut_deepslate create:polished_cut_deepslate_stairs minecraft:crafting_shaped
create:polished_cut_deepslate_stairs_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:polished_cut_deepslate_stairs create:stone_types/deepslate minecraft:stonecutting
create:polished_cut_deepslate_wall | minecraft:crafting_shaped | create:polished_cut_deepslate create:polished_cut_deepslate_wall minecraft:crafting_shaped
create:polished_cut_deepslate_wall_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:polished_cut_deepslate_wall create:stone_types/deepslate minecraft:stonecutting
create:polished_cut_diorite_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:polished_cut_diorite create:stone_types/diorite minecraft:stonecutting
create:polished_cut_diorite_slab | minecraft:crafting_shaped | create:polished_cut_diorite create:polished_cut_diorite_slab minecraft:crafting_shaped
create:polished_cut_diorite_slab_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:polished_cut_diorite_slab create:stone_types/diorite minecraft:stonecutting
create:polished_cut_diorite_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_diorite create:polished_cut_diorite_slab minecraft:crafting_shapeless
create:polished_cut_diorite_stairs | minecraft:crafting_shaped | create:polished_cut_diorite create:polished_cut_diorite_stairs minecraft:crafting_shaped
create:polished_cut_diorite_stairs_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:polished_cut_diorite_stairs create:stone_types/diorite minecraft:stonecutting
create:polished_cut_diorite_wall | minecraft:crafting_shaped | create:polished_cut_diorite create:polished_cut_diorite_wall minecraft:crafting_shaped
create:polished_cut_diorite_wall_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:polished_cut_diorite_wall create:stone_types/diorite minecraft:stonecutting
create:polished_cut_dripstone_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:polished_cut_dripstone create:stone_types/dripstone minecraft:stonecutting
create:polished_cut_dripstone_slab | minecraft:crafting_shaped | create:polished_cut_dripstone create:polished_cut_dripstone_slab minecraft:crafting_shaped
create:polished_cut_dripstone_slab_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:polished_cut_dripstone_slab create:stone_types/dripstone minecraft:stonecutting
create:polished_cut_dripstone_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_dripstone create:polished_cut_dripstone_slab minecraft:crafting_shapeless
create:polished_cut_dripstone_stairs | minecraft:crafting_shaped | create:polished_cut_dripstone create:polished_cut_dripstone_stairs minecraft:crafting_shaped
create:polished_cut_dripstone_stairs_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:polished_cut_dripstone_stairs create:stone_types/dripstone minecraft:stonecutting
create:polished_cut_dripstone_wall | minecraft:crafting_shaped | create:polished_cut_dripstone create:polished_cut_dripstone_wall minecraft:crafting_shaped
create:polished_cut_dripstone_wall_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:polished_cut_dripstone_wall create:stone_types/dripstone minecraft:stonecutting
create:polished_cut_granite_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:polished_cut_granite create:stone_types/granite minecraft:stonecutting
create:polished_cut_granite_slab | minecraft:crafting_shaped | create:polished_cut_granite create:polished_cut_granite_slab minecraft:crafting_shaped
create:polished_cut_granite_slab_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:polished_cut_granite_slab create:stone_types/granite minecraft:stonecutting
create:polished_cut_granite_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_granite create:polished_cut_granite_slab minecraft:crafting_shapeless
create:polished_cut_granite_stairs | minecraft:crafting_shaped | create:polished_cut_granite create:polished_cut_granite_stairs minecraft:crafting_shaped
create:polished_cut_granite_stairs_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:polished_cut_granite_stairs create:stone_types/granite minecraft:stonecutting
create:polished_cut_granite_wall | minecraft:crafting_shaped | create:polished_cut_granite create:polished_cut_granite_wall minecraft:crafting_shaped
create:polished_cut_granite_wall_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:polished_cut_granite_wall create:stone_types/granite minecraft:stonecutting
create:polished_cut_limestone_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:polished_cut_limestone create:stone_types/limestone minecraft:stonecutting
create:polished_cut_limestone_slab | minecraft:crafting_shaped | create:polished_cut_limestone create:polished_cut_limestone_slab minecraft:crafting_shaped
create:polished_cut_limestone_slab_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:polished_cut_limestone_slab create:stone_types/limestone minecraft:stonecutting
create:polished_cut_limestone_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_limestone create:polished_cut_limestone_slab minecraft:crafting_shapeless
create:polished_cut_limestone_stairs | minecraft:crafting_shaped | create:polished_cut_limestone create:polished_cut_limestone_stairs minecraft:crafting_shaped
create:polished_cut_limestone_stairs_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:polished_cut_limestone_stairs create:stone_types/limestone minecraft:stonecutting
create:polished_cut_limestone_wall | minecraft:crafting_shaped | create:polished_cut_limestone create:polished_cut_limestone_wall minecraft:crafting_shaped
create:polished_cut_limestone_wall_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:polished_cut_limestone_wall create:stone_types/limestone minecraft:stonecutting
create:polished_cut_ochrum_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:polished_cut_ochrum create:stone_types/ochrum minecraft:stonecutting
create:polished_cut_ochrum_slab | minecraft:crafting_shaped | create:polished_cut_ochrum create:polished_cut_ochrum_slab minecraft:crafting_shaped
create:polished_cut_ochrum_slab_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:polished_cut_ochrum_slab create:stone_types/ochrum minecraft:stonecutting
create:polished_cut_ochrum_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_ochrum create:polished_cut_ochrum_slab minecraft:crafting_shapeless
create:polished_cut_ochrum_stairs | minecraft:crafting_shaped | create:polished_cut_ochrum create:polished_cut_ochrum_stairs minecraft:crafting_shaped
create:polished_cut_ochrum_stairs_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:polished_cut_ochrum_stairs create:stone_types/ochrum minecraft:stonecutting
create:polished_cut_ochrum_wall | minecraft:crafting_shaped | create:polished_cut_ochrum create:polished_cut_ochrum_wall minecraft:crafting_shaped
create:polished_cut_ochrum_wall_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:polished_cut_ochrum_wall create:stone_types/ochrum minecraft:stonecutting
create:polished_cut_scorchia_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:polished_cut_scorchia create:stone_types/scorchia minecraft:stonecutting
create:polished_cut_scorchia_slab | minecraft:crafting_shaped | create:polished_cut_scorchia create:polished_cut_scorchia_slab minecraft:crafting_shaped
create:polished_cut_scorchia_slab_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:polished_cut_scorchia_slab create:stone_types/scorchia minecraft:stonecutting
create:polished_cut_scorchia_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_scorchia create:polished_cut_scorchia_slab minecraft:crafting_shapeless
create:polished_cut_scorchia_stairs | minecraft:crafting_shaped | create:polished_cut_scorchia create:polished_cut_scorchia_stairs minecraft:crafting_shaped
create:polished_cut_scorchia_stairs_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:polished_cut_scorchia_stairs create:stone_types/scorchia minecraft:stonecutting
create:polished_cut_scorchia_wall | minecraft:crafting_shaped | create:polished_cut_scorchia create:polished_cut_scorchia_wall minecraft:crafting_shaped
