createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:minecraft/crafting/pumpkin_custard_bottle_from_crafting | minecraft:crafting_shapeless | c:pumpkin_custard_bucket createfood:enabled createfood:pumpkin_custard_bottle minecraft:crafting_shapeless minecraft:glass_bottle
createfood:minecraft/crafting/pumpkin_custard_bucket_from_crafting | minecraft:crafting_shapeless | c:pumpkin_custard createfood:enabled createfood:pumpkin_custard_bucket minecraft:bucket minecraft:crafting_shapeless
createfood:minecraft/crafting/pumpkin_puree_bottle_from_crafting | minecraft:crafting_shapeless | c:pumpkin_puree_bucket createfood:enabled createfood:pumpkin_puree_bottle minecraft:crafting_shapeless minecraft:glass_bottle
createfood:minecraft/crafting/pumpkin_puree_bucket_from_crafting | minecraft:crafting_shapeless | c:pumpkin_puree_bottle createfood:enabled createfood:pumpkin_puree_bucket minecraft:bucket minecraft:crafting_shapeless
createfood:minecraft/crafting/purple_gelatin_dessert_block_from_crafting | minecraft:crafting_shapeless | c:purple_gelatin_mix_bucket createfood:enabled createfood:purple_gelatin_dessert_block minecraft:crafting_shapeless minecraft:ice
createfood:minecraft/crafting/purple_gelatin_dessert_block_from_crafting_alt | minecraft:crafting_shapeless | c:dyes/purple c:gelatin_dessert_block createfood:enabled createfood:purple_gelatin_dessert_block minecraft:crafting_shapeless
createfood:minecraft/crafting/purple_gelatin_mix_bucket_from_crafting | minecraft:crafting_shapeless | c:dyes/purple c:gelatin_mix_bucket createfood:enabled createfood:purple_gelatin_mix_bucket minecraft:bucket minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_burrito_rice_from_crafting | minecraft:crafting_shapeless | c:cooked_rabbit c:cooked_rice c:taco_shell_ingredient createfood:enabled createfood:rabbit_burrito_rice minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_meatball_sandwich_from_crafting | minecraft:crafting_shapeless | c:small_rabbit_meatballs createfood:enabled createfood:rabbit_meatball_sandwich minecraft:bread minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_meatball_stick_1_from_crafting | minecraft:crafting_shapeless | c:rabbit_meatball createfood:enabled createfood:rabbit_meatball_stick_1 minecraft:crafting_shapeless minecraft:stick
createfood:minecraft/crafting/rabbit_meatball_stick_2_from_crafting | minecraft:crafting_shapeless | c:rabbit_meatball createfood:enabled createfood:rabbit_meatball_stick_1 createfood:rabbit_meatball_stick_2 minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_meatball_stick_2_from_crafting_alt | minecraft:crafting_shapeless | c:rabbit_meatball createfood:enabled createfood:rabbit_meatball_stick_2 minecraft:crafting_shapeless minecraft:stick
createfood:minecraft/crafting/rabbit_meatball_stick_3_from_crafting | minecraft:crafting_shapeless | c:rabbit_meatball createfood:enabled createfood:rabbit_meatball_stick_2 createfood:rabbit_meatball_stick_3 minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_meatball_stick_3_from_crafting_alt | minecraft:crafting_shapeless | c:rabbit_meatball createfood:enabled createfood:rabbit_meatball_stick_3 minecraft:crafting_shapeless minecraft:stick
createfood:minecraft/crafting/rabbit_taco_from_crafting | minecraft:crafting_shapeless | c:cooked_rabbit c:taco_shell createfood:enabled createfood:rabbit_taco minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_taco_lettuce_from_crafting | minecraft:crafting_shapeless | c:cooked_rabbit c:foods/leafy_green c:taco_shell createfood:enabled createfood:rabbit_taco_lettuce minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_taco_lettuce_from_crafting_alt | minecraft:crafting_shapeless | c:foods/leafy_green c:rabbit_taco createfood:enabled createfood:rabbit_taco_lettuce minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_taco_lettuce_taco_sauce_from_crafting | minecraft:crafting_shapeless | c:cooked_rabbit c:foods/leafy_green c:taco_sauce_bottle c:taco_shell createfood:enabled createfood:rabbit_taco_lettuce_taco_sauce minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_taco_lettuce_taco_sauce_from_crafting_alt | minecraft:crafting_shapeless | c:rabbit_taco_lettuce c:taco_sauce_bottle createfood:enabled createfood:rabbit_taco_lettuce_taco_sauce minecraft:crafting_shapeless
createfood:minecraft/crafting/rabbit_wrap_onion_potato_from_crafting | minecraft:crafting_shapeless | c:cooked_rabbit c:onion c:potato c:taco_shell_ingredient createfood:enabled createfood:rabbit_wrap_onion_potato minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_apple_cheesecake_from_crafting | minecraft:crafting_shapeless | c:apple c:raw_cheesecake createfood:enabled createfood:raw_apple_cheesecake minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_apple_pie_from_crafting | minecraft:crafting_shapeless | c:apple_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_apple_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_bacon_calzone_from_crafting | minecraft:crafting_shapeless | c:cooked_pork c:raw_cheese_calzone createfood:enabled createfood:raw_bacon_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_bacon_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_pork c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_bacon_pizza_from_crafting | minecraft:crafting_shapeless | c:cooked_pork c:raw_cheese_pizza createfood:enabled createfood:raw_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_beef_calzone_from_crafting | minecraft:crafting_shapeless | c:cooked_beef c:raw_cheese_calzone createfood:enabled createfood:raw_beef_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_berry_cheesecake_from_crafting | minecraft:crafting_shapeless | c:raw_cheesecake createfood:enabled createfood:raw_berry_cheesecake minecraft:crafting_shapeless minecraft:sweet_berries
createfood:minecraft/crafting/raw_berry_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_berry_cookie minecraft:crafting_shapeless minecraft:sweet_berries
createfood:minecraft/crafting/raw_berry_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs c:sugar createfood:enabled createfood:raw_berry_cookie minecraft:crafting_shapeless minecraft:sweet_berries minecraft:wheat
createfood:minecraft/crafting/raw_berry_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:sugar createfood:enabled createfood:raw_berry_cookie minecraft:crafting_shapeless minecraft:sweet_berries minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_berry_pie_from_crafting | minecraft:crafting_shapeless | c:berry_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_berry_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_butterscotch_chip_chocolate_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:chocolate_sweet_dough createfood:enabled createfood:raw_butterscotch_chip_chocolate_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_butterscotch_chip_chocolate_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:cocoa_powder c:eggs c:sugar createfood:enabled createfood:raw_butterscotch_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_butterscotch_chip_chocolate_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:cocoa_powder c:sugar createfood:enabled createfood:raw_butterscotch_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_butterscotch_chip_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:sweet_dough createfood:enabled createfood:raw_butterscotch_chip_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_butterscotch_chip_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:eggs c:sugar createfood:enabled createfood:raw_butterscotch_chip_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_butterscotch_chip_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:butterscotch_chips c:sugar createfood:enabled createfood:raw_butterscotch_chip_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_caramel_chip_chocolate_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:caramel_chips c:chocolate_sweet_dough createfood:enabled createfood:raw_caramel_chip_chocolate_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_caramel_chip_chocolate_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:caramel_chips c:cocoa_powder c:eggs c:sugar createfood:enabled createfood:raw_caramel_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_caramel_chip_chocolate_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:caramel_chips c:cocoa_powder c:sugar createfood:enabled createfood:raw_caramel_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_caramel_chip_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:caramel_chips c:sweet_dough createfood:enabled createfood:raw_caramel_chip_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_caramel_chip_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:caramel_chips c:eggs c:sugar createfood:enabled createfood:raw_caramel_chip_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_caramel_chip_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:caramel_chips c:sugar createfood:enabled createfood:raw_caramel_chip_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_cheese_calzone_from_crafting | minecraft:crafting_shapeless | c:cheeses c:raw_calzone createfood:enabled createfood:raw_cheese_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_cheese_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_cheese_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_cheese_pizza_from_crafting | minecraft:crafting_shapeless | c:cheeses c:pizza_dough_tomato_sauce createfood:enabled createfood:raw_cheese_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_cheesecake_from_crafting | minecraft:crafting_shapeless | c:cheesecake_filling_bucket c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_cheesecake minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chicken_calzone_from_crafting | minecraft:crafting_shapeless | c:cooked_chicken c:raw_cheese_calzone createfood:enabled createfood:raw_chicken_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chicken_patty_from_crafting | minecraft:crafting_shapeless | c:bread_crumbs c:unbreaded_chicken_patty createfood:enabled createfood:raw_chicken_patty minecraft:crafting_shapeless minecraft:egg
createfood:minecraft/crafting/raw_chocolate_chip_chocolate_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:chocolate_sweet_dough createfood:enabled createfood:raw_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_chip_chocolate_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:cocoa_powder c:eggs c:sugar createfood:enabled createfood:raw_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_chip_chocolate_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:cocoa_powder c:sugar createfood:enabled createfood:raw_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_chocolate_chip_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:sweet_dough createfood:enabled createfood:raw_chocolate_chip_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_chip_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:eggs c:sugar createfood:enabled createfood:raw_chocolate_chip_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_chocolate_chip_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:chocolate_chips c:sugar createfood:enabled createfood:raw_chocolate_chip_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_chocolate_graham_cracker_pie_crust_from_crafting | minecraft:crafting_shapeless | c:butter c:chocolate_graham_cracker_crumbs c:sugar createfood:enabled createfood:raw_chocolate_graham_cracker_pie_crust minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_pastry_base_from_crafting | minecraft:crafting_shapeless | c:butter c:chocolate_sweet_dough createfood:enabled createfood:raw_chocolate_pastry_base minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_pie_from_crafting | minecraft:crafting_shapeless | c:chocolate_bottle c:raw_pie_crust createfood:enabled createfood:raw_chocolate_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_pie_graham_cracker_from_crafting | minecraft:crafting_shapeless | c:chocolate_bottle c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_chocolate_pie_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chocolate_sweet_roll_base_from_crafting | minecraft:crafting_shapeless | c:chocolate_sweet_dough c:sugar createfood:enabled createfood:raw_chocolate_sweet_roll_base minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chorus_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_chorus_cookie ends_delight:chorus_fruit_grain fabric:all_mods_loaded minecraft:crafting_shapeless neoforge:mod_loaded
createfood:minecraft/crafting/raw_chorus_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs createfood:enabled createfood:raw_chorus_cookie ends_delight:chorus_fruit_grain fabric:all_mods_loaded minecraft:crafting_shapeless minecraft:wheat neoforge:mod_loaded
createfood:minecraft/crafting/raw_chorus_cookie_from_wheat_crafting | minecraft:crafting_shapeless | createfood:enabled createfood:raw_chorus_cookie ends_delight:chorus_fruit_grain fabric:all_mods_loaded minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat neoforge:mod_loaded
createfood:minecraft/crafting/raw_chorus_fruit_cheesecake_from_crafting | minecraft:crafting_shapeless | c:chorus_fruit c:raw_cheesecake createfood:enabled createfood:raw_chorus_fruit_cheesecake minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_chorus_fruit_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_chorus_fruit_cookie minecraft:crafting_shapeless minecraft:sweet_berries
createfood:minecraft/crafting/raw_chorus_fruit_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs c:sugar createfood:enabled createfood:raw_chorus_fruit_cookie minecraft:crafting_shapeless minecraft:sweet_berries minecraft:wheat
createfood:minecraft/crafting/raw_chorus_fruit_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:sugar createfood:enabled createfood:raw_chorus_fruit_cookie minecraft:crafting_shapeless minecraft:sweet_berries minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_chorus_fruit_pie_from_crafting | minecraft:crafting_shapeless | c:chorus_fruit_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_chorus_fruit_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_cinnamon_sweet_roll_base_from_crafting | minecraft:crafting_shapeless | c:dusts/cinnamon c:sugar c:sweet_dough createfood:enabled createfood:raw_cinnamon_sweet_roll_base fabric:tags_populated minecraft:crafting_shapeless minecraft:item neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_cream_pie_chocolate_graham_cracker_from_crafting | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_chocolate_graham_cracker_pie_crust createfood:enabled createfood:raw_cream_pie_chocolate_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_cream_pie_graham_cracker_from_crafting | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_graham_cracker_pie_crust createfood:enabled createfood:raw_cream_pie_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_dark_chocolate_chip_chocolate_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:chocolate_sweet_dough c:dark_chocolate_chips createfood:enabled createfood:raw_dark_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_dark_chocolate_chip_chocolate_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:cocoa_powder c:dark_chocolate_chips c:eggs c:sugar createfood:enabled createfood:raw_dark_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_dark_chocolate_chip_chocolate_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:cocoa_powder c:dark_chocolate_chips c:sugar createfood:enabled createfood:raw_dark_chocolate_chip_chocolate_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_dark_chocolate_chip_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:dark_chocolate_chips c:sweet_dough createfood:enabled createfood:raw_dark_chocolate_chip_cookie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_dark_chocolate_chip_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:dark_chocolate_chips c:eggs c:sugar createfood:enabled createfood:raw_dark_chocolate_chip_cookie minecraft:crafting_shapeless minecraft:wheat
createfood:minecraft/crafting/raw_dark_chocolate_chip_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:dark_chocolate_chips c:sugar createfood:enabled createfood:raw_dark_chocolate_chip_cookie minecraft:crafting_shapeless minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_fish_bacon_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_fishes c:cooked_pork c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_fish_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_bacon_pizza_from_crafting | minecraft:crafting_shapeless | c:cooked_pork c:raw_fish_pizza createfood:enabled createfood:raw_fish_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_bacon_pizza_from_crafting_alt_2 | minecraft:crafting_shapeless | c:cooked_fishes c:raw_bacon_pizza createfood:enabled createfood:raw_fish_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_calzone_from_crafting | minecraft:crafting_shapeless | c:cooked_fishes c:raw_cheese_calzone createfood:enabled createfood:raw_fish_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_onion_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_fishes c:onion c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_fish_onion_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_onion_pizza_from_crafting | minecraft:crafting_shapeless | c:onion c:raw_fish_pizza createfood:enabled createfood:raw_fish_onion_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_onion_pizza_from_crafting_alt_2 | minecraft:crafting_shapeless | c:cooked_fishes c:raw_onion_pizza createfood:enabled createfood:raw_fish_onion_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_fishes c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_fish_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_pizza_from_crafting | minecraft:crafting_shapeless | c:cooked_fishes c:raw_cheese_pizza createfood:enabled createfood:raw_fish_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_fish_sticks_from_crafting | minecraft:crafting_shapeless | c:bread_crumbs c:foods/raw_fish createfood:enabled createfood:raw_fish_sticks minecraft:crafting_shapeless minecraft:egg
createfood:minecraft/crafting/raw_fishcake_from_crafting | minecraft:crafting_shapeless | c:bread_crumbs c:foods/raw_fish createfood:enabled createfood:raw_fishcake minecraft:crafting_shapeless minecraft:dried_kelp
createfood:minecraft/crafting/raw_flesh_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_flesh_cookie minecraft:crafting_shapeless minecraft:rotten_flesh
createfood:minecraft/crafting/raw_flesh_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs createfood:enabled createfood:raw_flesh_cookie minecraft:crafting_shapeless minecraft:rotten_flesh minecraft:wheat
createfood:minecraft/crafting/raw_flesh_cookie_from_wheat_crafting | minecraft:crafting_shapeless | createfood:enabled createfood:raw_flesh_cookie minecraft:crafting_shapeless minecraft:rotten_flesh minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_ginger_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:crops/ginger c:sweet_dough createfood:enabled createfood:raw_ginger_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_ginger_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:crops/ginger c:eggs createfood:enabled createfood:raw_ginger_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item minecraft:wheat neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_ginger_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:crops/ginger createfood:enabled createfood:raw_ginger_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item minecraft:water_bucket minecraft:wheat neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_glow_berry_cheesecake_from_crafting | minecraft:crafting_shapeless | c:raw_cheesecake createfood:enabled createfood:raw_glow_berry_cheesecake minecraft:crafting_shapeless minecraft:glow_berries
createfood:minecraft/crafting/raw_glow_berry_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_glow_berry_cookie minecraft:crafting_shapeless minecraft:glow_berries
createfood:minecraft/crafting/raw_glow_berry_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs c:sugar createfood:enabled createfood:raw_glow_berry_cookie minecraft:crafting_shapeless minecraft:glow_berries minecraft:wheat
createfood:minecraft/crafting/raw_glow_berry_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:sugar createfood:enabled createfood:raw_glow_berry_cookie minecraft:crafting_shapeless minecraft:glow_berries minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_glow_berry_pie_from_crafting | minecraft:crafting_shapeless | c:glow_berry_pie_filling_bucket c:raw_pie_crust createfood:enabled createfood:raw_glow_berry_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_graham_cracker_pie_crust_from_crafting | minecraft:crafting_shapeless | c:butter c:graham_cracker_crumbs c:sugar createfood:enabled createfood:raw_graham_cracker_pie_crust minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_green_tea_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:crops/green_tea_leaves c:sweet_dough createfood:enabled createfood:raw_green_tea_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_green_tea_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:crops/green_tea_leaves c:eggs createfood:enabled createfood:raw_green_tea_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item minecraft:wheat neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_green_tea_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:crops/green_tea_leaves createfood:enabled createfood:raw_green_tea_cookie fabric:tags_populated minecraft:crafting_shapeless minecraft:item minecraft:water_bucket minecraft:wheat neoforge:not neoforge:tag_empty
createfood:minecraft/crafting/raw_gyro_meat_block_from_crafting | minecraft:crafting_shapeless | c:foods/raw_meats/raw_mutton c:gyro_meat_ingredients createfood:enabled createfood:raw_gyro_meat_block minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_honey_cookie_from_dough_crafting | minecraft:crafting_shapeless | c:sweet_dough createfood:enabled createfood:raw_honey_cookie minecraft:crafting_shapeless minecraft:honey_bottle
createfood:minecraft/crafting/raw_honey_cookie_from_egg_crafting | minecraft:crafting_shapeless | c:eggs c:sugar createfood:enabled createfood:raw_honey_cookie minecraft:crafting_shapeless minecraft:honey_bottle minecraft:wheat
createfood:minecraft/crafting/raw_honey_cookie_from_wheat_crafting | minecraft:crafting_shapeless | c:sugar createfood:enabled createfood:raw_honey_cookie minecraft:crafting_shapeless minecraft:honey_bottle minecraft:water_bucket minecraft:wheat
createfood:minecraft/crafting/raw_meat_pie_from_crafting | minecraft:crafting_shapeless | c:meat_pie_filling c:raw_pie_crust createfood:enabled createfood:raw_meat_pie minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mini_chocolate_pie_graham_cracker | minecraft:crafting_shapeless | c:chocolate_bottle c:raw_mini_graham_cracker_pie_crust createfood:enabled createfood:raw_mini_chocolate_pie_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mini_cream_pie_chocolate_graham_cracker | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_mini_chocolate_graham_cracker_pie_crust createfood:enabled createfood:raw_mini_cream_pie_chocolate_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mini_cream_pie_chocolate_graham_cracker_alt | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_mini_chocolate_graham_cracker_pie_crust createfood:enabled createfood:raw_mini_cream_pie_chocolate_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mini_cream_pie_graham_cracker | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_mini_graham_cracker_pie_crust createfood:enabled createfood:raw_mini_cream_pie_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mini_cream_pie_graham_cracker_alt | minecraft:crafting_shapeless | c:cream_pie_filling_bucket c:raw_mini_graham_cracker_pie_crust createfood:enabled createfood:raw_mini_cream_pie_graham_cracker minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mozzarella_sticks_from_crafting | minecraft:crafting_shapeless | c:bread_crumbs c:cheeses createfood:enabled createfood:raw_mozzarella_sticks minecraft:crafting_shapeless minecraft:egg
createfood:minecraft/crafting/raw_mushroom_bacon_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_pork c:mushrooms c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_mushroom_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mushroom_bacon_pizza_from_crafting | minecraft:crafting_shapeless | c:cooked_pork c:raw_mushroom_pizza createfood:enabled createfood:raw_mushroom_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mushroom_bacon_pizza_from_crafting_alt_2 | minecraft:crafting_shapeless | c:mushrooms c:raw_bacon_pizza createfood:enabled createfood:raw_mushroom_bacon_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mushroom_calzone_from_crafting | minecraft:crafting_shapeless | c:mushrooms c:raw_cheese_calzone createfood:enabled createfood:raw_mushroom_calzone minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mushroom_fish_pizza_alt_1_from_crafting | minecraft:crafting_shapeless | c:cheeses c:cooked_fishes c:mushrooms c:pizza_dough c:tomato_sauce createfood:enabled createfood:raw_mushroom_fish_pizza minecraft:crafting_shapeless
createfood:minecraft/crafting/raw_mushroom_fish_pizza_from_crafting | minecraft:crafting_shapeless | c:cooked_fishes c:raw_mushroom_pizza createfood:enabled createfood:raw_mushroom_fish_pizza minecraft:crafting_shapeless
