s_a_b:badlandsbase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:steelblockgrass s_a_b:steelblockgrassbadlands
s_a_b:stonecutting/letters/numbers/4 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:four
s_a_b:stonecutting/letters/numbers/5 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:five
s_a_b:stonecutting/letters/numbers/6 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:six
s_a_b:stonecutting/letters/numbers/7 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:seven
s_a_b:stonecutting/letters/numbers/8 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:eight
s_a_b:stonecutting/letters/numbers/9 | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:nine
s_a_b:stonecutting/letters/symbols/bundeswehrcross | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:bundeswehrcross
s_a_b:stonecutting/letters/symbols/comma | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:comma
s_a_b:stonecutting/letters/symbols/dot | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:dot
s_a_b:stonecutting/letters/symbols/doubledot | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:doubledot
s_a_b:stonecutting/letters/symbols/equality | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:equality
s_a_b:stonecutting/letters/symbols/exclamation | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:exclamation
s_a_b:stonecutting/letters/symbols/minus | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:minus
s_a_b:stonecutting/letters/symbols/plus | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:plus
s_a_b:stonecutting/letters/symbols/question | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:question
s_a_b:stonecutting/letters/symbols/redstar | minecraft:stonecutting | create:iron_sheet minecraft:stonecutting s_a_b:redstar
s_a_b:stonecutting/letters_brass/cyrilic/brassae | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassbrassae
s_a_b:stonecutting/letters_brass/cyrilic/brassbb | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassbb
s_a_b:stonecutting/letters_brass/cyrilic/brasscc | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasscc
s_a_b:stonecutting/letters_brass/cyrilic/brassch | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassch
s_a_b:stonecutting/letters_brass/cyrilic/brassdd | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassdd
s_a_b:stonecutting/letters_brass/cyrilic/brassff | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassff
s_a_b:stonecutting/letters_brass/cyrilic/brassgg | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassgg
s_a_b:stonecutting/letters_brass/cyrilic/brassii | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassii
s_a_b:stonecutting/letters_brass/cyrilic/brassll | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassll
s_a_b:stonecutting/letters_brass/cyrilic/brassmyag | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassmyag
s_a_b:stonecutting/letters_brass/cyrilic/brasspp | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasspp
s_a_b:stonecutting/letters_brass/cyrilic/brasssh | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasssh
s_a_b:stonecutting/letters_brass/cyrilic/brasssha | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasssha
s_a_b:stonecutting/letters_brass/cyrilic/brasstverd | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasstverd
s_a_b:stonecutting/letters_brass/cyrilic/brassuu | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassuu
s_a_b:stonecutting/letters_brass/cyrilic/brassya | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassya
s_a_b:stonecutting/letters_brass/cyrilic/brassyi | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassyi
s_a_b:stonecutting/letters_brass/cyrilic/brassyu | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassyu
s_a_b:stonecutting/letters_brass/cyrilic/brasszh | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasszh
s_a_b:stonecutting/letters_brass/cyrilic/brasszz | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasszz
s_a_b:stonecutting/letters_brass/letters/brassa | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassa
s_a_b:stonecutting/letters_brass/letters/brassb | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassb
s_a_b:stonecutting/letters_brass/letters/brassc | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassc
s_a_b:stonecutting/letters_brass/letters/brassd | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassd
s_a_b:stonecutting/letters_brass/letters/brasse | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasse
s_a_b:stonecutting/letters_brass/letters/brassf | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassf
s_a_b:stonecutting/letters_brass/letters/brassg | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassg
s_a_b:stonecutting/letters_brass/letters/brassh | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassh
s_a_b:stonecutting/letters_brass/letters/brassi | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassi
s_a_b:stonecutting/letters_brass/letters/brassj | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassj
s_a_b:stonecutting/letters_brass/letters/brassk | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassk
s_a_b:stonecutting/letters_brass/letters/brassl | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassl
s_a_b:stonecutting/letters_brass/letters/brassm | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassm
s_a_b:stonecutting/letters_brass/letters/brassn | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassn
s_a_b:stonecutting/letters_brass/letters/brasso | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasso
s_a_b:stonecutting/letters_brass/letters/brassp | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassp
s_a_b:stonecutting/letters_brass/letters/brassq | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassq
s_a_b:stonecutting/letters_brass/letters/brassr | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassr
s_a_b:stonecutting/letters_brass/letters/brasss | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasss
s_a_b:stonecutting/letters_brass/letters/brasst | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasst
s_a_b:stonecutting/letters_brass/letters/brassu | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassu
s_a_b:stonecutting/letters_brass/letters/brassv | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassv
s_a_b:stonecutting/letters_brass/letters/brassw | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassw
s_a_b:stonecutting/letters_brass/letters/brassx | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassx
s_a_b:stonecutting/letters_brass/letters/brassy | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassy
s_a_b:stonecutting/letters_brass/letters/brassz | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassz
s_a_b:stonecutting/letters_brass/numbers/brass0 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass0
s_a_b:stonecutting/letters_brass/numbers/brass1 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass1
s_a_b:stonecutting/letters_brass/numbers/brass2 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass2
s_a_b:stonecutting/letters_brass/numbers/brass3 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass3
s_a_b:stonecutting/letters_brass/numbers/brass4 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass4
s_a_b:stonecutting/letters_brass/numbers/brass5 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass5
s_a_b:stonecutting/letters_brass/numbers/brass6 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass6
s_a_b:stonecutting/letters_brass/numbers/brass7 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass7
s_a_b:stonecutting/letters_brass/numbers/brass8 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass8
s_a_b:stonecutting/letters_brass/numbers/brass9 | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brass9
s_a_b:stonecutting/letters_brass/symbols/brasscomma | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brasscomma
s_a_b:stonecutting/letters_brass/symbols/brassdot | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassdot
s_a_b:stonecutting/letters_brass/symbols/brassdoubledot | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassdoubledot
s_a_b:stonecutting/letters_brass/symbols/brassequality | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassequality
s_a_b:stonecutting/letters_brass/symbols/brassexclamation | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassbrassexclamation
s_a_b:stonecutting/letters_brass/symbols/brassminus | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassminus
s_a_b:stonecutting/letters_brass/symbols/brassplus | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassplus
s_a_b:stonecutting/letters_brass/symbols/brassquestion | minecraft:stonecutting | create:brass_sheet minecraft:stonecutting s_a_b:brassquestion
