ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:smooth_sourcestone_alternating_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:smooth_sourcestone_alternating_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_alternating_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_basketweave_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:smooth_sourcestone_basketweave_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_basketweave_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:smooth_sourcestone_basketweave_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_basketweave_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:smooth_sourcestone_basketweave_slab minecraft:stonecutting
ars_nouveau:smooth_sourcestone_basketweave_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:smooth_sourcestone_basketweave_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_basketweave_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_grate | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone ars_nouveau:smooth_sourcestone_grate minecraft:crafting_shaped minecraft:iron_bars
ars_nouveau:smooth_sourcestone_large_bricks_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:smooth_sourcestone_large_bricks_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_large_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:smooth_sourcestone_large_bricks_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_large_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:smooth_sourcestone_large_bricks_slab minecraft:stonecutting
ars_nouveau:smooth_sourcestone_large_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:smooth_sourcestone_large_bricks_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_large_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_mosaic_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:smooth_sourcestone_mosaic_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_mosaic_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:smooth_sourcestone_mosaic_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_mosaic_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:smooth_sourcestone_mosaic_slab minecraft:stonecutting
ars_nouveau:smooth_sourcestone_mosaic_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:smooth_sourcestone_mosaic_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_mosaic_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone ars_nouveau:smooth_sourcestone_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_small_bricks_slab | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:smooth_sourcestone_small_bricks_slab minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_small_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:smooth_sourcestone_small_bricks_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_small_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:smooth_sourcestone_small_bricks_slab minecraft:stonecutting
ars_nouveau:smooth_sourcestone_small_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:smooth_sourcestone_small_bricks_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_small_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:smooth_sourcestone_stairs | minecraft:crafting_shaped | ars_nouveau:smooth_sourcestone ars_nouveau:smooth_sourcestone_stairs minecraft:crafting_shaped
ars_nouveau:smooth_sourcestone_stone_cutterslab | minecraft:stonecutting | ars_nouveau:smooth_sourcestone ars_nouveau:smooth_sourcestone_slab minecraft:stonecutting
ars_nouveau:smooth_sourcestone_stonecutter_stair | minecraft:stonecutting | ars_nouveau:smooth_sourcestone ars_nouveau:smooth_sourcestone_stairs minecraft:stonecutting
ars_nouveau:smooth_sourcestone_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:smooth_sourcestone ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:sorcerer_boots | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber ars_nouveau:sorcerer_boots minecraft:golden_boots
ars_nouveau:sorcerer_hood | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber ars_nouveau:sorcerer_hood minecraft:golden_helmet
ars_nouveau:sorcerer_leggings | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber ars_nouveau:sorcerer_leggings minecraft:golden_leggings
ars_nouveau:sorcerer_robes | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber ars_nouveau:sorcerer_robes minecraft:golden_chestplate
ars_nouveau:source_berry_pie | minecraft:crafting_shapeless | ars_nouveau:magebloom ars_nouveau:source_berry_pie ars_nouveau:sourceberry_bush minecraft:crafting_shapeless minecraft:egg minecraft:sugar
ars_nouveau:source_berry_roll | minecraft:crafting_shapeless | ars_nouveau:source_berry_roll ars_nouveau:sourceberry_bush minecraft:crafting_shapeless minecraft:wheat
ars_nouveau:source_gem_block | minecraft:crafting_shaped | ars_nouveau:source_gem_block c:gems/source minecraft:crafting_shaped
ars_nouveau:source_gem_block_2 | minecraft:crafting_shapeless | ars_nouveau:source_gem ars_nouveau:source_gem_block minecraft:crafting_shapeless
ars_nouveau:source_jar | minecraft:crafting_shaped | ars_nouveau:archwood_slab ars_nouveau:source_jar c:glass_blocks minecraft:crafting_shaped
ars_nouveau:source_lamp | minecraft:crafting_shaped | ars_nouveau:source_lamp c:dusts/redstone c:gems/source c:rods/blaze minecraft:crafting_shaped
ars_nouveau:sourceberry_sack | minecraft:crafting_shapeless | ars_nouveau:sourceberry_bush ars_nouveau:sourceberry_sack minecraft:crafting_shapeless
ars_nouveau:sourceberry_sack_to_bush | minecraft:crafting_shapeless | ars_nouveau:sourceberry_bush ars_nouveau:sourceberry_sack minecraft:crafting_shapeless
ars_nouveau:sourceberry_to_purple | minecraft:crafting_shapeless | ars_nouveau:sourceberry_bush minecraft:crafting_shapeless minecraft:purple_dye
ars_nouveau:sourcestone | minecraft:crafting_shaped | ars_nouveau:sourcestone c:gems/source c:stones minecraft:crafting_shaped
ars_nouveau:sourcestone_1 | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_mosaic minecraft:stonecutting
ars_nouveau:sourcestone_10 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_11 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_12 | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_mosaic ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_13 | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_14 | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_15 | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_16 | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_17 | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_mosaic ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_18 | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_basketweave ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_19 | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_alternating ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_2 | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_basketweave minecraft:stonecutting
ars_nouveau:sourcestone_20 | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_21 | minecraft:stonecutting | ars_nouveau:smooth_gilded_sourcestone_small_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_3 | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_alternating minecraft:stonecutting
ars_nouveau:sourcestone_4 | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_large_bricks minecraft:stonecutting
ars_nouveau:sourcestone_5 | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_small_bricks minecraft:stonecutting
ars_nouveau:sourcestone_6 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_basketweave ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_7 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_mosaic ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_8 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_alternating ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_9 | minecraft:stonecutting | ars_nouveau:smooth_sourcestone_large_bricks ars_nouveau:sourcestone minecraft:stonecutting
ars_nouveau:sourcestone_alternating_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone_alternating ars_nouveau:sourcestone_alternating_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_alternating_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone_alternating ars_nouveau:sourcestone_alternating_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_alternating_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone_alternating ars_nouveau:sourcestone_alternating_slab minecraft:stonecutting
ars_nouveau:sourcestone_alternating_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone_alternating ars_nouveau:sourcestone_alternating_stairs minecraft:stonecutting
ars_nouveau:sourcestone_alternating_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_alternating minecraft:crafting_shapeless
ars_nouveau:sourcestone_basketweave_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone_basketweave ars_nouveau:sourcestone_basketweave_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_basketweave_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone_basketweave ars_nouveau:sourcestone_basketweave_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_basketweave_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone_basketweave ars_nouveau:sourcestone_basketweave_slab minecraft:stonecutting
ars_nouveau:sourcestone_basketweave_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone_basketweave ars_nouveau:sourcestone_basketweave_stairs minecraft:stonecutting
ars_nouveau:sourcestone_basketweave_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_basketweave minecraft:crafting_shapeless
ars_nouveau:sourcestone_grate | minecraft:crafting_shaped | ars_nouveau:sourcestone ars_nouveau:sourcestone_grate minecraft:crafting_shaped minecraft:iron_bars
ars_nouveau:sourcestone_large_bricks_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone_large_bricks ars_nouveau:sourcestone_large_bricks_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_large_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone_large_bricks ars_nouveau:sourcestone_large_bricks_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_large_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone_large_bricks ars_nouveau:sourcestone_large_bricks_slab minecraft:stonecutting
ars_nouveau:sourcestone_large_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone_large_bricks ars_nouveau:sourcestone_large_bricks_stairs minecraft:stonecutting
ars_nouveau:sourcestone_large_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_large_bricks minecraft:crafting_shapeless
ars_nouveau:sourcestone_mosaic_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone_mosaic ars_nouveau:sourcestone_mosaic_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_mosaic_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone_mosaic ars_nouveau:sourcestone_mosaic_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_mosaic_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone_mosaic ars_nouveau:sourcestone_mosaic_slab minecraft:stonecutting
ars_nouveau:sourcestone_mosaic_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone_mosaic ars_nouveau:sourcestone_mosaic_stairs minecraft:stonecutting
ars_nouveau:sourcestone_mosaic_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_mosaic minecraft:crafting_shapeless
ars_nouveau:sourcestone_sconce | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_sconce c:gems/source minecraft:crafting_shapeless
ars_nouveau:sourcestone_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone ars_nouveau:sourcestone_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_small_bricks_slab | minecraft:crafting_shaped | ars_nouveau:sourcestone_small_bricks ars_nouveau:sourcestone_small_bricks_slab minecraft:crafting_shaped
ars_nouveau:sourcestone_small_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone_small_bricks ars_nouveau:sourcestone_small_bricks_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_small_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone_small_bricks ars_nouveau:sourcestone_small_bricks_slab minecraft:stonecutting
ars_nouveau:sourcestone_small_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone_small_bricks ars_nouveau:sourcestone_small_bricks_stairs minecraft:stonecutting
ars_nouveau:sourcestone_small_bricks_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:sourcestone ars_nouveau:sourcestone_small_bricks minecraft:crafting_shapeless
ars_nouveau:sourcestone_stairs | minecraft:crafting_shaped | ars_nouveau:sourcestone ars_nouveau:sourcestone_stairs minecraft:crafting_shaped
ars_nouveau:sourcestone_stone_cutterslab | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_slab minecraft:stonecutting
ars_nouveau:sourcestone_stonecutter_stair | minecraft:stonecutting | ars_nouveau:sourcestone ars_nouveau:sourcestone_stairs minecraft:stonecutting
ars_nouveau:spell_bow | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:spell_bow c:storage_blocks/gold c:storage_blocks/source minecraft:bow
ars_nouveau:spell_crossbow | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:spell_crossbow c:storage_blocks/gold c:storage_blocks/source minecraft:crossbow
ars_nouveau:spell_prism | minecraft:crafting_shaped | ars_nouveau:archwood_planks ars_nouveau:spell_prism c:ingots/gold c:storage_blocks/quartz minecraft:crafting_shaped
ars_nouveau:spell_sensor | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:spell_sensor minecraft:sculk_sensor
ars_nouveau:spell_turret | ars_nouveau:enchanting_apparatus | ars_nouveau:basic_spell_turret ars_nouveau:enchanting_apparatus ars_nouveau:spell_turret c:rods/blaze c:storage_blocks/source
ars_nouveau:spell_write | ars_nouveau:spell_write | ars_nouveau:spell_parchment ars_nouveau:spell_write
ars_nouveau:spike_to_arrow | minecraft:crafting_shaped | ars_nouveau:wilden_spike minecraft:arrow minecraft:crafting_shaped minecraft:feather minecraft:stick
ars_nouveau:spike_to_dye | minecraft:crafting_shapeless | ars_nouveau:wilden_spike minecraft:crafting_shapeless minecraft:orange_dye
ars_nouveau:splash_flask_cannon | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:splash_flask_cannon c:gunpowders c:ingots/gold c:rods/blaze minecraft:dispenser
ars_nouveau:stable_warp_scroll | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:stable_warp_scroll ars_nouveau:warp_scroll c:ender_pearls minecraft:blaze_powder
ars_nouveau:starbuncle_charm | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:starbuncle_charm ars_nouveau:starbuncle_shards c:ingots/gold
ars_nouveau:starbuncle_shades | minecraft:crafting_shaped | ars_nouveau:source_gem ars_nouveau:starbuncle_shades minecraft:crafting_shaped minecraft:tinted_glass
ars_nouveau:stone | ars_nouveau:crush | ars_nouveau:crush c:stones minecraft:gravel
ars_nouveau:storage_lectern | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:storage_lectern c:chests minecraft:lectern
ars_nouveau:stripped_blue_archwood_wood | minecraft:crafting_shaped | ars_nouveau:stripped_blue_archwood_log ars_nouveau:stripped_blue_archwood_wood minecraft:crafting_shaped
ars_nouveau:stripped_green_archwood_wood | minecraft:crafting_shaped | ars_nouveau:stripped_green_archwood_log ars_nouveau:stripped_green_archwood_wood minecraft:crafting_shaped
ars_nouveau:stripped_purple_archwood_wood | minecraft:crafting_shaped | ars_nouveau:stripped_purple_archwood_log ars_nouveau:stripped_purple_archwood_wood minecraft:crafting_shaped
ars_nouveau:stripped_red_archwood_wood | minecraft:crafting_shaped | ars_nouveau:stripped_red_archwood_log ars_nouveau:stripped_red_archwood_wood minecraft:crafting_shaped
ars_nouveau:sugar_cane | ars_nouveau:crush | ars_nouveau:crush minecraft:sugar minecraft:sugar_cane
ars_nouveau:summon_focus | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:summon_focus ars_nouveau:wilden_horn ars_nouveau:wilden_spike ars_nouveau:wilden_tribute ars_nouveau:wilden_wing c:ingots/gold c:storage_blocks/source
ars_nouveau:summon_ritual/bats | ars_nouveau:summon_ritual | ars_nouveau:summon_ritual minecraft:amethyst_shard minecraft:bat
ars_nouveau:sunrise_2 | minecraft:crafting_shapeless | ars_nouveau:red_archwood_log ars_nouveau:ritual_sunrise minecraft:crafting_shapeless minecraft:sunflower
ars_nouveau:sweeping_edge_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:sweeping_edge
ars_nouveau:sweeping_edge_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:sweeping_edge
ars_nouveau:sweeping_edge_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:manipulation_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:sweeping_edge
ars_nouveau:terracotta | ars_nouveau:crush | ars_nouveau:crush minecraft:red_sand minecraft:terracotta
ars_nouveau:thorns_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:wilden_spike c:storage_blocks/lapis c:storage_blocks/source minecraft:thorns
ars_nouveau:thorns_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:wilden_spike c:storage_blocks/lapis c:storage_blocks/source minecraft:thorns
ars_nouveau:thorns_3 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:wilden_spike c:storage_blocks/lapis c:storage_blocks/source minecraft:thorns
ars_nouveau:thread_amethyst_golem | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_amethyst_golem c:obsidians
ars_nouveau:thread_chilling | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_chilling ars_nouveau:water_essence minecraft:blue_ice minecraft:powder_snow_bucket
ars_nouveau:thread_depths | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_depths ars_nouveau:water_essence minecraft:fishes minecraft:pufferfish
ars_nouveau:thread_drygmy | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:drygmy_shard ars_nouveau:earth_essence ars_nouveau:enchanting_apparatus ars_nouveau:thread_drygmy minecraft:rabbit_foot
ars_nouveau:thread_feather | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_feather c:feathers
ars_nouveau:thread_gliding | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_gliding minecraft:elytra
ars_nouveau:thread_heights | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_heights minecraft:rabbit_hide minecraft:spider_eye
ars_nouveau:thread_high_step | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_high_step
ars_nouveau:thread_immolation | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:fire_essence ars_nouveau:thread_immolation
ars_nouveau:thread_kindling | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:fire_essence ars_nouveau:thread_kindling minecraft:fire_charge minecraft:magma_cream
ars_nouveau:thread_life_drain | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:mendosteen_pod ars_nouveau:thread_life_drain minecraft:sculk_catalyst
ars_nouveau:thread_magic_capacity | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:magebloom ars_nouveau:sourceberry_bush ars_nouveau:thread_magic_capacity
ars_nouveau:thread_repairing | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:thread_repairing minecraft:anvil
ars_nouveau:thread_spellpower | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:air_essence ars_nouveau:blank_thread ars_nouveau:conjuration_essence ars_nouveau:earth_essence ars_nouveau:enchanting_apparatus ars_nouveau:fire_essence ars_nouveau:magebloom ars_nouveau:manipulation_essence ars_nouveau:thread_spellpower ars_nouveau:water_essence
ars_nouveau:thread_starbuncle | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:starbuncle_shards ars_nouveau:thread_starbuncle minecraft:sugar
ars_nouveau:thread_undying | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_undying minecraft:phantom_membrane minecraft:totem_of_undying
ars_nouveau:thread_warding | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:magebloom_fiber ars_nouveau:thread_warding
ars_nouveau:thread_whirlisprig | ars_nouveau:enchanting_apparatus | ars_nouveau:blank_thread ars_nouveau:earth_essence ars_nouveau:enchanting_apparatus ars_nouveau:thread_whirlisprig ars_nouveau:whirlisprig_shards minecraft:golden_apple
ars_nouveau:thread_wixie | ars_nouveau:enchanting_apparatus | ars_nouveau:abjuration_essence ars_nouveau:blank_thread ars_nouveau:enchanting_apparatus ars_nouveau:thread_wixie ars_nouveau:wixie_shards c:crops/nether_wart minecraft:blaze_rod
ars_nouveau:timer_spell_turret | ars_nouveau:enchanting_apparatus | ars_nouveau:basic_spell_turret ars_nouveau:enchanting_apparatus ars_nouveau:timer_spell_turret minecraft:clock
ars_nouveau:tomes/alex_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_burst ars_nouveau:glyph_dampen ars_nouveau:glyph_phantom_block ars_nouveau:glyph_pierce ars_nouveau:glyph_self ars_nouveau:glyph_sensitive ars_nouveau:rainbow ars_nouveau:tempestry_family
ars_nouveau:tomes/arachne_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_projectile ars_nouveau:glyph_snare ars_nouveau:glyph_split
ars_nouveau:tomes/aurellia_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_extend_time ars_nouveau:glyph_fangs ars_nouveau:glyph_lightning ars_nouveau:glyph_linger ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:tempestry_family
ars_nouveau:tomes/bailey_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_delay ars_nouveau:glyph_explosion ars_nouveau:glyph_launch ars_nouveau:glyph_projectile
ars_nouveau:tomes/beepsterr_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:gaia_family ars_nouveau:glyph_aoe ars_nouveau:glyph_extend_time ars_nouveau:glyph_grow ars_nouveau:glyph_orbit ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:glyph_split
ars_nouveau:tomes/bugcolez_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_self ars_nouveau:glyph_summon_vex
