minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
modulargolems:sequenced_assembly/poseidite_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:poseidite l2complements:poseidite_ingot modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_dog_golem_body | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_dog_golem_legs | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_humanoid_golem_arms | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_humanoid_golem_body | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_humanoid_golem_legs | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_metal_golem_arm | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_metal_golem_body | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/railway_assemble_metal_golem_legs | create:sequenced_assembly | c:plates/brass create:deploying create:electron_tube create:precision_mechanism create:pressing create:railway create:sequenced_assembly create:sturdy_sheet create:wrench modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/sculk_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs modulargolems:sculk modulargolems:sculk_materials neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/shulkerate_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:shulkerate l2complements:shulkerate_ingot modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/steeleaf_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/steeleaf_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/steeleaf create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded twilightforest:steeleaf
modulargolems:sequenced_assembly/storm_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/storm_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:storm create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs modulargolems:storm_construct neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/totemic_gold_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly l2complements:totemic_gold l2complements:totemic_gold_ingot modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_dog_golem_body | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_dog_golem_legs | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_humanoid_golem_arms | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_humanoid_golem_body | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_humanoid_golem_legs | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_metal_golem_arm | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_metal_golem_body | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/unobtainium_assemble_metal_golem_legs | create:sequenced_assembly | allthemodium:unobtainium allthemodium:unobtainium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_dog_golem_body | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_dog_golem_legs | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_humanoid_golem_arms | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_humanoid_golem_body | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_humanoid_golem_legs | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_metal_golem_arm | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_metal_golem_body | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/vibranium_assemble_metal_golem_legs | create:sequenced_assembly | allthemodium:vibranium allthemodium:vibranium_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_dog_golem_body | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_dog_golem_legs | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_humanoid_golem_arms | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_humanoid_golem_body | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_humanoid_golem_legs | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_metal_golem_arm | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_metal_golem_body | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/witherite_assemble_metal_golem_legs | create:sequenced_assembly | cataclysm:witherite cataclysm:witherite_ingot create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_dog_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_dog_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_humanoid_golem_arms | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_humanoid_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_humanoid_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_metal_golem_arm | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_metal_golem_body | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/wroughtnaut_assemble_metal_golem_legs | create:sequenced_assembly | create:deploying create:pressing create:sequenced_assembly modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs modulargolems:wroughtnaut_ingot mowziesmobs:wroughtnaut neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_dog_golem_body | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:dog_golem_body modulargolems:incomplete_dog_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_dog_golem_legs | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:dog_golem_legs modulargolems:incomplete_dog_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_humanoid_golem_arms | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:humanoid_golem_arms modulargolems:incomplete_humanoid_golem_arms neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_humanoid_golem_body | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:humanoid_golem_body modulargolems:incomplete_humanoid_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_humanoid_golem_legs | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:humanoid_golem_legs modulargolems:incomplete_humanoid_golem_legs neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_metal_golem_arm | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:incomplete_metal_golem_arm modulargolems:metal_golem_arm neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_metal_golem_body | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:incomplete_metal_golem_body modulargolems:metal_golem_body neoforge:mod_loaded
modulargolems:sequenced_assembly/zinc_assemble_metal_golem_legs | create:sequenced_assembly | c:ingots/zinc create:deploying create:pressing create:sequenced_assembly create:zinc modulargolems:incomplete_metal_golem_legs modulargolems:metal_golem_legs neoforge:mod_loaded
modulargolems:size_upgrade | minecraft:crafting_shaped | minecraft:copper_block minecraft:crafting_shaped minecraft:iron_block modulargolems:empty_upgrade modulargolems:size_upgrade
modulargolems:slow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dragon_breath minecraft:fermented_spider_eye minecraft:redstone minecraft:sugar modulargolems:empty_upgrade modulargolems:slow
modulargolems:soul_flame | minecraft:crafting_shaped | l2complements:hellfire_blade l2complements:hellfire_thorn l2complements:soul_flame l2core:enchantment minecraft:crafting_shaped minecraft:gold_ingot modulargolems:empty_upgrade modulargolems:soul_flame neoforge:mod_loaded
modulargolems:speed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:rabbit_foot modulargolems:empty_upgrade modulargolems:speed
modulargolems:speed_high | minecraft:crafting_shapeless | l2complements:captured_wind minecraft:crafting_shapeless modulargolems:speed modulargolems:speed_high neoforge:mod_loaded
modulargolems:sponge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:wet_sponge modulargolems:empty_upgrade modulargolems:sponge
modulargolems:squad_wand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick minecraft:white_banner modulargolems:metal_golem_template modulargolems:squad_wand
modulargolems:steeleaf | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:steeleaf neoforge:mod_loaded twilightforest:steeleaf_ingot
modulargolems:steeleaf_golem_axe | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:steeleaf_golem_axe neoforge:mod_loaded twilightforest:liveroot twilightforest:steeleaf_ingot
modulargolems:steeleaf_golem_spear | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:steeleaf_golem_spear neoforge:mod_loaded twilightforest:liveroot twilightforest:steeleaf_ingot
modulargolems:steeleaf_golem_sword | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:metal_golem_template modulargolems:steeleaf_golem_sword neoforge:mod_loaded twilightforest:liveroot twilightforest:steeleaf_ingot
modulargolems:storm_construct | minecraft:crafting_shaped | cataclysm:essence_of_the_storm minecraft:crafting_shaped modulargolems:azure_cube modulargolems:storm_construct neoforge:mod_loaded
modulargolems:summon_wand | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dispenser minecraft:stick modulargolems:metal_golem_template modulargolems:summon_wand
modulargolems:swim | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:heart_of_the_sea modulargolems:empty_upgrade modulargolems:swim
modulargolems:talented | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:nether_star minecraft:skulls modulargolems:empty_upgrade modulargolems:talented
modulargolems:target_filter_default | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_ingot minecraft:paper modulargolems:metal_golem_template modulargolems:target_filter_default
modulargolems:target_filter_friendly | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless minecraft:ink_sac minecraft:paper modulargolems:metal_golem_template modulargolems:target_filter_name
modulargolems:target_filter_name | minecraft:crafting_shapeless | minecraft:book minecraft:crafting_shapeless minecraft:ink_sac modulargolems:metal_golem_template modulargolems:target_filter_name
modulargolems:target_filter_type | minecraft:crafting_shapeless | minecraft:clay_ball minecraft:crafting_shapeless minecraft:paper modulargolems:metal_golem_template modulargolems:target_filter_type
modulargolems:target_filter_uuid | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:ink_sac minecraft:paper modulargolems:metal_golem_template modulargolems:target_filter_uuid
modulargolems:teleport | minecraft:crafting_shapeless | l2complements:void_eye minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:teleport neoforge:mod_loaded
